Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten,KG,2025-04-17T14:09:49+00:00
Strand,1.1,,Nutrition and Physical Activity,KG,2025-04-17T14:09:49+00:00
Standard,1.1.1,,Core Concepts,KG,2025-04-17T14:09:49+00:00
Expectation,1.1.1.1,K.1.1,Describe how consuming a variety of healthy foods and beverages helps a person stay healthy.,KG,2025-04-17T14:09:49+00:00
Expectation,1.1.1.2,K.1.2,Describe how being physically active helps a person stay healthy.,KG,2025-04-17T14:09:49+00:00
Expectation,1.1.1.3,K.1.3,Describe how drinking water helps a person stay healthy.,KG,2025-04-17T14:09:49+00:00
Standard,1.1.2,,Health Behaviors,KG,2025-04-17T14:09:49+00:00
Expectation,1.1.2.1,K.1.4,Generate examples of physical activities that are personally enjoyable.,KG,2025-04-17T14:09:49+00:00
Expectation,1.1.2.2,K.1.5,Select a variety of foods that can be eaten for healthy snacks.,KG,2025-04-17T14:09:49+00:00
Strand,1.2,,"Alcohol, Tobacco, and Other Drugs",KG,2025-04-17T14:09:49+00:00
Standard,1.2.1,,Core Concepts,KG,2025-04-17T14:09:49+00:00
Expectation,1.2.1.1,K.2.1,"Identify household products that are harmful if touched, ingested, or inhaled.",KG,2025-04-17T14:09:49+00:00
Expectation,1.2.1.2,K.2.2,Describe ways that over-the-counter and prescription medicines can be helpful or harmful.,KG,2025-04-17T14:09:49+00:00
Standard,1.2.2,,Access Information,KG,2025-04-17T14:09:49+00:00
Expectation,1.2.2.1,K.2.3,Identify trustworthy sources of accurate information about potentially poisonous household products.,KG,2025-04-17T14:09:49+00:00
Standard,1.2.3,,Health Behaviors,KG,2025-04-17T14:09:49+00:00
Expectation,1.2.3.1,K.2.4,Explain rules for handling household products and avoiding poisons.,KG,2025-04-17T14:09:49+00:00
Expectation,1.2.3.2,K.2.5,Describe how to safely use medicines.,KG,2025-04-17T14:09:49+00:00
Strand,1.3,,Safety,KG,2025-04-17T14:09:49+00:00
Standard,1.3.1,,Core Concepts,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.1.1,K.3.1,Describe pedestrian hazards and safe pedestrian behaviors.,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.1.2,K.3.2,Identify dangerous objects and weapons.,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.1.3,K.3.3,Describe the characteristics of appropriate touch and inappropriate touch.,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.1.4,K.3.4,Explain that a child is not at fault if someone touches him or her in an inappropriate way.,KG,2025-04-17T14:09:49+00:00
Standard,1.3.2,,Access Information,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.2.1,K.3.5,Demonstrate the procedure for calling 911 and explain when it is appropriate to do so.,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.2.2,K.3.6,Demonstrate how to ask trusted adults for help.,KG,2025-04-17T14:09:49+00:00
Standard,1.3.3,,Health Behaviors,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.3.1,K.3.7,Demonstrate safe pedestrian behaviors.,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.3.2,K.3.8,Describe dangerous and destructive situations that need to be reported to an adult.,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.3.3,K.3.9,Apply a rule and demonstrate actions to use in hypothetical situations when weapons may be present.,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.3.4,K.3.10,Generate examples of safe places one might go if feeling personally threatened.,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.3.5,K.3.11,Apply strategies to avoid personally unsafe situations.,KG,2025-04-17T14:09:49+00:00
Expectation,1.3.3.6,K.3.12,Apply strategies to get away in hypothetical cases of inappropriate touching or abduction.,KG,2025-04-17T14:09:49+00:00
Strand,1.4,,Social and Emotional Health,KG,2025-04-17T14:09:49+00:00
Standard,1.4.1,,Core Concepts,KG,2025-04-17T14:09:49+00:00
Expectation,1.4.1.1,K.4.1,Identify and describe different kinds of feelings.,KG,2025-04-17T14:09:49+00:00
Standard,1.4.2,,Access Information,KG,2025-04-17T14:09:49+00:00
Expectation,1.4.2.1,K.4.2,Identify and locate people who can help at home and school.,KG,2025-04-17T14:09:49+00:00
Standard,1.4.3,,Health Behaviors,KG,2025-04-17T14:09:49+00:00
Expectation,1.4.3.1,K.4.3,Describe and demonstrate ways to be responsible at home and school.,KG,2025-04-17T14:09:49+00:00
Expectation,1.4.3.2,K.4.4,Demonstrate the ability to recognize and express a variety of feelings appropriately.,KG,2025-04-17T14:09:49+00:00
Expectation,1.4.3.3,K.4.5,Identify and demonstrate strategies to manage strong feelings.,KG,2025-04-17T14:09:49+00:00
Standard,1.4.4,,Social Skills,KG,2025-04-17T14:09:49+00:00
Expectation,1.4.4.1,K.4.6,Identify and practice strategies to make friends.,KG,2025-04-17T14:09:49+00:00
Expectation,1.4.4.2,K.4.7,Demonstrate giving and accepting a compliment or statement of appreciation.,KG,2025-04-17T14:09:49+00:00
Expectation,1.4.4.3,K.4.8,"Describe situations when it is appropriate to use “please,” “thank you,” “excuse me,” and “I am sorry.”",KG,2025-04-17T14:09:49+00:00
Expectation,1.4.4.4,K.4.9,"Apply “please,” “thank you,” “excuse me,” and “I am sorry” to appropriate situations.",KG,2025-04-17T14:09:49+00:00
Strand,1.5,,Personal Health and Wellness,KG,2025-04-17T14:09:49+00:00
Standard,1.5.1,,Core Concepts,KG,2025-04-17T14:09:49+00:00
Expectation,1.5.1.1,K.5.1,Explain the importance of taking care of teeth and having one’s own toothbrush to prevent disease.,KG,2025-04-17T14:09:49+00:00
Expectation,1.5.1.2,K.5.2,Explain the importance of dental health cleanings and exams.,KG,2025-04-17T14:09:49+00:00
Expectation,1.5.1.3,K.5.3,Explain the importance of proper hand washing to prevent disease.,KG,2025-04-17T14:09:49+00:00
Standard,1.5.2,,Health Behaviors,KG,2025-04-17T14:09:49+00:00
Expectation,1.5.2.1,K.5.4,Demonstrate proper tooth brushing techniques.,KG,2025-04-17T14:09:49+00:00
Expectation,1.5.2.2,K.5.5,Demonstrate proper hand washing to prevent the spread of germs.,KG,2025-04-17T14:09:49+00:00
Standard,1.5.3,,Advocacy,KG,2025-04-17T14:09:49+00:00
Expectation,1.5.3.1,K.5.6,Encourage peers to make positive choices for personal health and wellness.,KG,2025-04-17T14:09:49+00:00
Grade,2,,Grade 1,01,2025-04-17T14:09:57+00:00
Strand,2.1,,Nutrition and Physical Activity,01,2025-04-17T14:09:57+00:00
Standard,2.1.1,,Core Concepts,01,2025-04-17T14:09:57+00:00
Expectation,2.1.1.1,1.1.1,Describe the benefits of eating healthy snacks.,01,2025-04-17T14:09:57+00:00
Expectation,2.1.1.2,1.1.2,Describe the benefits of being physically active.,01,2025-04-17T14:09:57+00:00
Expectation,2.1.1.3,1.1.3,"Describe the health benefits of drinking water, compared to other beverages.",01,2025-04-17T14:09:57+00:00
Expectation,2.1.1.4,1.1.4,Classify foods according to the food groups.,01,2025-04-17T14:09:57+00:00
Expectation,2.1.1.5,1.1.5,"Describe how physical activity, rest, and sleep help a person stay healthy.",01,2025-04-17T14:09:57+00:00
Standard,2.1.2,,Health Behaviors,01,2025-04-17T14:09:57+00:00
Expectation,2.1.2.1,1.1.6,Explain the importance of eating a variety of foods from all of the food groups.,01,2025-04-17T14:09:57+00:00
Expectation,2.1.2.2,1.1.7,Suggest a food from each of the food groups that could be eaten as a healthy snack.,01,2025-04-17T14:09:57+00:00
Strand,2.2,,"Alcohol, Tobacco, and Other Drugs",01,2025-04-17T14:09:57+00:00
Standard,2.2.1,,Core Concepts,01,2025-04-17T14:09:57+00:00
Expectation,2.2.1.1,1.2.1,"Identify household products that are harmful if touched, ingested, or inhaled.",01,2025-04-17T14:09:57+00:00
Expectation,2.2.1.2,1.2.2,Describe ways that over-the-counter and prescription medicines can be helpful or harmful.,01,2025-04-17T14:09:57+00:00
Expectation,2.2.1.3,1.2.3,Explain the differences between over-the-counter and prescription medicines and illicit drugs.,01,2025-04-17T14:09:57+00:00
Expectation,2.2.1.4,1.2.4,"State that all forms of tobacco products contain harmful chemicals, including the drug nicotine.",01,2025-04-17T14:09:57+00:00
Standard,2.2.2,,Access Information,01,2025-04-17T14:09:57+00:00
Expectation,2.2.2.1,1.2.5,Identify trustworthy adults who are sources of accurate information about potentially poisonous household products.,01,2025-04-17T14:09:57+00:00
Expectation,2.2.2.2,1.2.6,Apply knowledge of product label warnings to gain accurate information about potentially poisonous household products.,01,2025-04-17T14:09:57+00:00
Standard,2.2.3,,Health Behaviors,01,2025-04-17T14:09:57+00:00
Expectation,2.2.3.1,1.2.7,Apply rules for handling household products and avoiding poisons.,01,2025-04-17T14:09:57+00:00
Expectation,2.2.3.2,1.2.8,Describe how to safely use medicines.,01,2025-04-17T14:09:57+00:00
Expectation,2.2.3.3,1.2.9,Apply strategies to hypothetical situations to avoid exposure to secondhand smoke.,01,2025-04-17T14:09:57+00:00
Strand,2.3,,Safety,01,2025-04-17T14:09:57+00:00
Standard,2.3.1,,Core Concepts,01,2025-04-17T14:09:57+00:00
