Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Grouping,1,,Core Practices,KG-12,2025-05-16T14:07:18+00:00
Practice,1.1,CP.1,Fostering an Inclusive Computing Culture,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.1.1,CP.1.1,Include the unique perspectives of others,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.1.2,CP.1.2,Address the needs of diverse end users,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.1.3,CP.1.3,Employ self- and peer-advocacy,KG-12,2025-05-16T14:07:18+00:00
Practice,1.2,CP.2,Collaborating Around Computing,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.2.1,CP.2.1,Cultivate working relationships,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.2.2,CP.2.2,"Create team norms, expectations, and equitable workloads",KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.2.3,CP.2.3,Solicit and incorporate feedback,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.2.4,CP.2.4,Evaluate and select technological tools,KG-12,2025-05-16T14:07:18+00:00
Practice,1.3,CP.3,Recognizing and Defining Computational Problems,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.3.1,CP.3.1,"Identify complex, interdisciplinary, real-world problems",KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.3.2,CP.3.2,Decompose complex real-world problems,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.3.3,CP.3.3,Evaluate whether it is appropriate and feasible,KG-12,2025-05-16T14:07:18+00:00
Practice,1.4,CP.4,Developing and Using Abstractions,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.4.1,CP.4.1,Extract common features,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.4.2,CP.4.2,Evaluate existing technological functionalities and incorporate them,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.4.3,CP.4.3,Create modules and develop points of interaction,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.4.4,CP.4.4,Model phenomena and processes and simulate systems,KG-12,2025-05-16T14:07:18+00:00
Practice,1.5,CP.5,Creating Computational Artifacts,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.5.1,CP.5.1,Plan the development,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.5.2,CP.5.2,Create a computational artifact,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.5.3,CP.5.3,Modify an existing artifact,KG-12,2025-05-16T14:07:18+00:00
Practice,1.6,CP.6,Testing and Refining Computational Artifacts,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.6.1,CP.6.1,Systematically test Identify and fix errors,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.6.2,CP.6.2,Evaluate and refine,KG-12,2025-05-16T14:07:18+00:00
Practice,1.7,CP.7,Communicating About Computing,KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.7.1,CP.7.1,"Select, organize, and interpret",KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.7.2,CP.7.2,"Describe, justify, and document",KG-12,2025-05-16T14:07:18+00:00
Subpractice,1.7.3,CP.7.3,Articulate ideas responsibly,KG-12,2025-05-16T14:07:18+00:00
Grade Band,2,,Level 1A: Lower Elementary (Grades K-2),KG-02,2025-04-03T12:58:36+00:00
Concept,2.1,,Computing systems,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.1.1,,Devices,KG-02,2025-04-03T12:58:36+00:00
Standard,2.1.1.1,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.1.2,,Hardware & Software,KG-02,2025-04-03T12:58:36+00:00
Standard,2.1.2.1,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.1.3,,Troubleshooting,KG-02,2025-04-03T12:58:36+00:00
Standard,2.1.3.1,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,KG-02,2025-04-03T12:58:36+00:00
Concept,2.2,,Networks and the Internet,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.2.1,,Cybersecurity,KG-02,2025-04-03T12:58:36+00:00
Standard,2.2.1.1,1A-NI-04,"Explain what passwords are and why we use them, and use strong passwords to protect devices and information from unauthorized access.",KG-02,2025-04-03T12:58:36+00:00
Concept,2.3,,Data and Analysis,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.3.1,,Storage,KG-02,2025-04-03T12:58:36+00:00
Standard,2.3.1.1,1A-DA-05,"Store, copy, search, retrieve, modify, and delete information using a computing device and define the information stored as data.",KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.3.2,,"Collection, Visualization & Transformation",KG-02,2025-04-03T12:58:36+00:00
Standard,2.3.2.1,1A-DA-06,Collect and present the same data in various visual formats.,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.3.3,,Inference & Models,KG-02,2025-04-03T12:58:36+00:00
Standard,2.3.3.1,1A-DA-07,"Identify and describe patterns in data visualizations, such as charts or graphs, to make predictions.",KG-02,2025-04-03T12:58:36+00:00
Concept,2.4,,Algorithms and Programming,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.4.1,,Algorithms,KG-02,2025-04-03T12:58:36+00:00
Standard,2.4.1.1,1A-AP-08,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.4.2,,Variables,KG-02,2025-04-03T12:58:36+00:00
Standard,2.4.2.1,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.4.3,,Control,KG-02,2025-04-03T12:58:36+00:00
Standard,2.4.3.1,1A-AP-10,"Develop programs with sequences and simple loops, to express ideas or address a problem.",KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.4.4,,Modularity,KG-02,2025-04-03T12:58:36+00:00
Standard,2.4.4.1,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.4.5,,Program Development,KG-02,2025-04-03T12:58:36+00:00
Standard,2.4.5.1,1A-AP-12,"Develop plans that describe a programís sequence of events, goals, and expected outcomes.",KG-02,2025-04-03T12:58:36+00:00
Standard,2.4.5.2,1A-AP-13,Give attribution when using the ideas and creations of others while developing programs,KG-02,2025-04-03T12:58:36+00:00
Standard,2.4.5.3,1A-AP-14,Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.,KG-02,2025-04-03T12:58:36+00:00
Standard,2.4.5.4,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",KG-02,2025-04-03T12:58:36+00:00
Concept,2.5,,Impacts of Computing,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.5.1,,Culture,KG-02,2025-04-03T12:58:36+00:00
Standard,2.5.1.1,1A-IC-16,Compare how people live and work before and after the implementation or adoption of new computing technology.,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.5.2,,Social Interactions,KG-02,2025-04-03T12:58:36+00:00
Standard,2.5.2.1,1A-IC-17,Work respectfully and responsibly with others online.,KG-02,2025-04-03T12:58:36+00:00
Subconcept,2.5.3,,Safety Law & Ethics,KG-02,2025-04-03T12:58:36+00:00
Standard,2.5.3.1,1A-IC-18,"Keep login information private, and log off of devices appropriately.",KG-02,2025-04-03T12:58:36+00:00
Grade Band,3,,Level 1B: Upper Elementary (Grades 3-5),03-05,2025-04-03T12:58:36+00:00
Concept,3.1,,Computing systems,03-05,2025-04-03T12:58:36+00:00
Subconcept,3.1.1,,Devices,03-05,2025-04-03T12:58:36+00:00
Standard,3.1.1.1,1B-CS-01,Describe how internal and external parts of computing devices function to form a system.,03-05,2025-04-03T12:58:36+00:00
Subconcept,3.1.2,,Hardware & Software,03-05,2025-04-03T12:58:36+00:00
Standard,3.1.2.1,1B-CS-02,Model how computer hardware and software work together as a system to accomplish tasks,03-05,2025-04-03T12:58:36+00:00
Subconcept,3.1.3,,Troubleshooting,03-05,2025-04-03T12:58:36+00:00
