Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten,KG,2025-04-01T13:07:14+00:00
Standard,1.1,,Demonstrates competency in a variety of motor skills and movement patterns.,KG,2025-04-01T13:07:14+00:00
Cluster,1.1.1,,Locomotor,KG,2025-04-01T13:07:14+00:00
Outcome,1.1.1.1,S1.1.K,"**Hopping, galloping, running, sliding, skipping, leaping:** Performs locomotor skills while maintaining balance.",KG,2025-04-01T13:07:14+00:00
Outcome,1.1.1.2,S1.3.K,"**Jumping and landing, horizontal:** Performs jumping and landing actions with balance.",KG,2025-04-01T13:07:14+00:00
Outcome,1.1.1.3,S1.4.K,"**Jumping and Landing, vertical:** Performs jumping and landing actions with balance.",KG,2025-04-01T13:07:14+00:00
Outcome,1.1.1.4,S1.5.K,**Dance:** Performs locomotor skills in response to teacher-led creative dance.,KG,2025-04-01T13:07:14+00:00
Cluster,1.1.2,,Nonlocomotor (stability),KG,2025-04-01T13:07:14+00:00
Outcome,1.1.2.1,S1.7.K.a,**Balance:** Maintains momentary stillness on different bases of support.,KG,2025-04-01T13:07:14+00:00
Outcome,1.1.2.2,S1.7.K.b,"**Balance:** Forms wide, narrow, curled, and twisted body shapes.",KG,2025-04-01T13:07:14+00:00
Outcome,1.1.2.3,S1.9.K,"**Weight Transfer, rolling:** Rolls sideways in a narrow body shape.",KG,2025-04-01T13:07:14+00:00
Outcome,1.1.2.4,S1.10.K,**Curling and Stretching; twisting and bending:** Contrasts the actions of curling and stretching.,KG,2025-04-01T13:07:14+00:00
Cluster,1.1.3,,Manipulative,KG,2025-04-01T13:07:14+00:00
Outcome,1.1.3.1,S1.13.K,**Throwing Underhand:** Throws underhand with opposite foot forward.,KG,2025-04-01T13:07:14+00:00
Outcome,1.1.3.2,S1.16.K.a,**Catching:** Drops a ball and catches it before it bounces twice.,KG,2025-04-01T13:07:14+00:00
Outcome,1.1.3.3,S1.16.K.b,**Catching:** Catches a large ball tossed by a skilled thrower.,KG,2025-04-01T13:07:14+00:00
Outcome,1.1.3.4,S1.17.K,"**Dribbling/ball control with hands:** Dribbles a ball with one hand, attempting the second contact.",KG,2025-04-01T13:07:14+00:00
Outcome,1.1.3.5,S1.18.K,"**Dribbling/ball control with feet:** Taps a ball using the inside of the foot, sending it forward.",KG,2025-04-01T13:07:14+00:00
Outcome,1.1.3.6,S1.21.K,"**Kicking:** Kicks a stationary ball from a stationary position, demonstrating 2 of the 5 elements of a mature kicking pattern.",KG,2025-04-01T13:07:14+00:00
Outcome,1.1.3.7,S1.22.K,"**Volleying Underhand:** Volleys a light weight object (balloon), sending it upward.",KG,2025-04-01T13:07:14+00:00
Outcome,1.1.3.8,S1.24.K,"**Striking, short implement:** Strikes a light-weight object with a paddle or short-handled racket.",KG,2025-04-01T13:07:14+00:00
Outcome,1.1.3.9,S1.27.K.a,**Jumping Rope:** Executes a single jump with self-turned rope.,KG,2025-04-01T13:07:14+00:00
Outcome,1.1.3.10,S1.27.K.b,**Jumping Rope:** Jumps a long rope with teacher-assisted turning.,KG,2025-04-01T13:07:14+00:00
Cluster,1.1.4,,Aquatics,KG,2025-04-01T13:07:14+00:00
Outcome,1.1.4.1,S1.28.K,Demonstrate selected elements of basic aquatics skills of front float and back float with flotation and instructor support in isolated settings.,KG,2025-04-01T13:07:14+00:00
Outcome,1.1.4.2,S1.29.K,Demonstrate selected elements of safe water entry and exit with flotation and instructor support in isolated settings.,KG,2025-04-01T13:07:14+00:00
Standard,1.2,,"Applies knowledge of concepts, principles, strategies and tactics related to movement and performance.",KG,2025-04-01T13:07:14+00:00
Cluster,1.2.1,,"Movement concepts, principles and knowledge",KG,2025-04-01T13:07:14+00:00
Outcome,1.2.1.1,S2.1.K.a,**Space:** Differentiates between movement in personal (self-space) and general space.,KG,2025-04-01T13:07:14+00:00
Outcome,1.2.1.2,S2.1.K.b,**Space:** Moves in personal space to a rhythm.,KG,2025-04-01T13:07:14+00:00
Outcome,1.2.1.3,S2.2.K,"**Pathways, shapes, levels:** Travels in 3 different pathways.",KG,2025-04-01T13:07:14+00:00
Outcome,1.2.1.4,S2.3.K,"**Speed, direction, force:** Travels in general space with different speeds.",KG,2025-04-01T13:07:14+00:00
Standard,1.3,,Demonstrates the knowledge and skills to achieve and maintain a health-enhanced level of physical activity and fitness.,KG,2025-04-01T13:07:14+00:00
Cluster,1.3.1,,Physical activity knowledge,KG,2025-04-01T13:07:14+00:00
Outcome,1.3.1.1,S3.1.K,Identifies active-play opportunities outside physical education class.,KG,2025-04-01T13:07:14+00:00
Cluster,1.3.2,,Engages in physical activity,KG,2025-04-01T13:07:14+00:00
Outcome,1.3.2.1,S3.2.K,Actively participates in physical education class.,KG,2025-04-01T13:07:14+00:00
Cluster,1.3.3,,Fitness Knowledge,KG,2025-04-01T13:07:14+00:00
Outcome,1.3.3.1,S3.3.K,"Recognizes that when you move fast, your heart beats faster and you breathe faster.",KG,2025-04-01T13:07:14+00:00
Cluster,1.3.4,,Nutrition,KG,2025-04-01T13:07:14+00:00
Outcome,1.3.4.1,S3.6.K,Recognizes that food provides energy for physical activity.,KG,2025-04-01T13:07:14+00:00
Standard,1.4,,Exhibits responsible personal and social behavior that respects self and others.,KG,2025-04-01T13:07:14+00:00
Cluster,1.4.1,,Personal Responsibility,KG,2025-04-01T13:07:14+00:00
Outcome,1.4.1.1,S4.1.K,"Follows directions in group settings (e.g. safe behaviors, following rules, taking turns).",KG,2025-04-01T13:07:14+00:00
Outcome,1.4.1.2,S4.2.K,Acknowledges responsibility for behavior when prompted.,KG,2025-04-01T13:07:14+00:00
Cluster,1.4.2,,Accepting Feedback,KG,2025-04-01T13:07:14+00:00
Outcome,1.4.2.1,S4.3.K,Follows instruction/directions when prompted.,KG,2025-04-01T13:07:14+00:00
Cluster,1.4.3,,Working with Others,KG,2025-04-01T13:07:14+00:00
Outcome,1.4.3.1,S4.4.K,Shares equipment and space with others.,KG,2025-04-01T13:07:14+00:00
Cluster,1.4.4,,Rules and Etiquette,KG,2025-04-01T13:07:14+00:00
Outcome,1.4.4.1,S4.5.K,Recognizes the established protocols for class activities.,KG,2025-04-01T13:07:14+00:00
