Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Primary School (Kindergarten - Grade 2),KG-02,2023-08-24T16:56:07+00:00
,1.1,,Arc of Inquiry: Grades K-2,KG-02,2023-08-24T16:53:33+00:00
Dimension,1.1.1,D1,Developing Questions and Planning Inquiries,KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.1.1,,"Individually and collaboratively, students construct compelling questions and explain why the compelling question is important to students.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.1.2,,"Individually and collaboratively, students construct compelling questions and identify disciplinary ideas associated with a compelling question.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.1.3,,"Individually and collaboratively, students construct compelling questions and identify facts and concepts associated with a compelling question.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.1.4,,"Individually and collaboratively, students construct compelling questions and make connections between supporting questions and compelling questions.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.1.5,,"Individually and collaboratively, students construct compelling questions and determine the kinds of sources that will be helpful in answering compelling and supporting questions.",KG-02,2023-08-24T16:53:33+00:00
Dimension,1.1.2,D2,Applying Disciplinary Concepts and Tools,KG-02,2023-08-24T16:53:33+00:00
Dimension,1.1.3,D3,Evaluating Sources and Using Evidence,KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.3.1,,"Individually and collaboratively, students gather relevant information from one or two sources while using the origin and structure to guide their selection.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.3.2,,"Individually and collaboratively, students evaluate a source by distinguishing between fact and opinion.",KG-02,2023-08-24T16:53:33+00:00
Dimension,1.1.4,D4,Communicating Conclusions and Taking Informed Action,KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.4.1,,"Individually and collaboratively, students construct an argument with reasons.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.4.2,,"Individually and collaboratively, students construct explanations using correct sequence and relevant information.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.4.3,,"Individually and collaboratively, students present a summary of an argument using print, oral, and digital technologies.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.4.4,,"Individually and collaboratively, students ask and answer questions about arguments.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.4.5,,"Individually and collaboratively, students ask and answer questions about explanations.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.4.6,,"Individually and collaboratively, students identify and explain a range of local, regional, and global problems and some ways in which people are trying to address these problems.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.4.7,,"Individually and collaboratively, students identify ways to take action and help address local, regional, and global problems.",KG-02,2023-08-24T16:53:33+00:00
Indicator,1.1.4.8,,"Individually and collaboratively, students use listening, consensus building, and voting procedures to decide on and take action in their classrooms",KG-02,2023-08-24T16:53:33+00:00
,1.2,,Social Studies Process and Skills Standards K-2,KG-02,2023-08-24T16:53:33+00:00
Process and Skill,1.2.1,P1,Reading and communication - read and communicate effectively,KG-02,2023-08-24T16:53:33+00:00
Process and Skill Standard,1.2.1.1,P1.1,"Use appropriate strategies to read and interpret basic social science tables, graphs, graphics, maps, and texts.",KG-02,2023-08-24T16:53:33+00:00
Process and Skill Standard,1.2.1.2,P1.2,Differentiate between primary and secondary source documents.,KG-02,2023-08-24T16:53:33+00:00
Process and Skill Standard,1.2.1.3,P1.3,"Express social science ideas or information in written, spoken, and graphic forms including tables, line graphs, bar graphs, and maps.",KG-02,2023-08-24T16:53:33+00:00
Process and Skill Standard,1.2.1.4,P1.4,Identify point of view and bias.,KG-02,2023-08-24T16:53:33+00:00
Process and Skill,1.2.2,P2,"Inquiry, Research, and Analysis",KG-02,2023-08-24T16:53:33+00:00
Process and Skill Standard,1.2.2.1,P2.1,Use compelling and supporting questions to investigate social studies problems.,KG-02,2023-08-24T16:53:33+00:00
Process and Skill Standard,1.2.2.2,P2.2,Differentiate between compelling questions and supporting questions.,KG-02,2023-08-24T16:53:33+00:00
