Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Academic Standards,,2023-05-24T16:19:10+00:00
Grade,1.1,,Kindergarten,KG,2023-09-19T20:07:22+00:00
Strand,1.1.1,1,Exploring phenomena or engineering problems,KG,2023-09-19T20:07:22+00:00
Substrand,1.1.1.1,1.1,Asking questions and defining problems,KG,2023-09-19T20:07:22+00:00
Standard,1.1.1.1.1,1.1.1,"Students will be able to ask questions about aspects of the phenomena they observe, the conclusions they draw from their models or scientific investigations, each other’s ideas, and the information they read.",KG,2023-09-19T20:07:22+00:00
Content Area,1.1.1.1.1.1,,Earth and Space Science,KG,2023-09-19T20:07:22+00:00
Benchmark,1.1.1.1.1.1.1,0E.1.1.1.1,"Ask questions to obtain information from weather forecasts to prepare for and respond to severe weather.* (P: 1, CC: 7, CI: ESS3, ETS2)",KG,2023-09-19T20:07:22+00:00
Benchmark,1.1.1.1.1.1.2,0E.1.1.1.2,"Ask questions about how a person may reduce the amount of natural resources the individual uses.* (P: 1, CC: 2, CI: ESS3)",KG,2023-09-19T20:07:22+00:00
Substrand,1.1.1.2,1.2,Planning and carrying out investigations,KG,2023-09-19T20:07:22+00:00
Standard,1.1.1.2.1,1.2.1,"Students will be able to design and conduct investigations in the classroom, laboratory, and/or field to test students’ ideas and questions, and will organize and collect data to provide evidence to support claims the students make about phenomena.",KG,2023-09-19T20:07:22+00:00
Content Area,1.1.1.2.1.1,,Physical Science,KG,2023-09-19T20:07:22+00:00
Benchmark,1.1.1.2.1.1.1,0P.1.2.1.1,"Collect and organize observational data to determine the effect of sunlight on Earth’s surface. (P: 3, CC: 2, CI: PS3, ETS2)",KG,2023-09-19T20:07:22+00:00
Content Area,1.1.1.2.1.2,,Life Science,KG,2023-09-19T20:07:22+00:00
Benchmark,1.1.1.2.1.2.1,0L.1.2.1.2,"Make observations of plants and animals to compare the diversity of life in different habitats. (P: 3, CC: 1, CI: LS4)",KG,2023-09-19T20:07:22+00:00
Strand,1.1.2,2,Looking at data and empirical evidence to understand phenomena or solve problems,KG,2023-09-19T20:07:22+00:00
Substrand,1.1.2.1,2.1,Analyzing and interpreting data,KG,2023-09-19T20:07:22+00:00
Standard,1.1.2.1.1,2.1.1,"Students will be able to represent observations and data in order to recognize patterns in the data, the meaning of those patterns, and possible relationships between variables.",KG,2023-09-19T20:07:22+00:00
Content Area,1.1.2.1.1.1,,Physical Science,KG,2023-09-19T20:07:22+00:00
Benchmark,1.1.2.1.1.1.1,0P.2.1.1.1,"Sort objects in terms of natural/human-made, color, size, shape, and texture, then communicate the reasoning for the sorting system. (P: 4, CC: 2, CI: PS1)",KG,2023-09-19T20:07:22+00:00
Content Area,1.1.2.1.1.2,,Earth and Space Science,KG,2023-09-19T20:07:22+00:00
Benchmark,1.1.2.1.1.2.1,0E.2.1.1.2,"Make daily and seasonal observations of local weather conditions to describe patterns over time.** (P: 4, CC: 1, CI: ESS2)",KG,2023-09-19T20:07:22+00:00
Content Area,1.1.2.1.1.3,,Life Science,KG,2023-09-19T20:07:22+00:00
Benchmark,1.1.2.1.1.3.1,0L.2.1.1.3,"Record and use observations to describe patterns of what plants and animals (including humans) need to survive.** (P: 4, CC: 1, CI: LS1)",KG,2023-09-19T20:07:22+00:00
Substrand,1.1.2.2,2.2,Using mathematics and computational thinking,KG,2023-09-19T20:07:22+00:00
Standard,1.1.2.2.1,2.2.1,Students will be able to use mathematics to represent physical variables and their relationships; compare mathematical expressions to the real world; and engage in computational thinking as they use or develop algorithms to describe the natural or designed worlds.,KG,2023-09-19T20:07:22+00:00
Content Area,1.1.2.2.1.1,,Physical Science,KG,2023-09-19T20:07:22+00:00
