Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Kindergarten,KG,2021-03-01T21:28:32+00:00
Standard,1.1,0.1,Demonstrate competency in a variety of motor skills and movement patterns.,KG,2023-05-30T14:50:22+00:00
Focus Area,1.1.1,0.1.1,Locomotor,KG,2020-11-03T16:20:15+00:00
Benchmark,1.1.1.1,0.1.1.1,"Hop, gallop, slide, skip, and run while maintaining balance.",KG,2020-11-03T16:04:30+00:00
Benchmark,1.1.1.2,0.1.1.2,Jump and land in the horizontal plane while maintaining balance.,KG,2020-11-03T16:04:50+00:00
Benchmark,1.1.1.3,0.1.1.3,Jump and land in the vertical plane while maintaining balance.,KG,2020-11-03T16:05:12+00:00
Benchmark,1.1.1.4,0.1.1.4,Perform locomotor skills in educational dance while maintaining balance.,KG,2023-05-30T14:52:03+00:00
Focus Area,1.1.2,0.1.2,Non-Locomotor,KG,2020-11-03T16:20:15+00:00
Benchmark,1.1.2.1,0.1.2.1,Maintain momentary stillness on different bases of support with different body shapes.,KG,2020-11-03T18:20:13+00:00
Benchmark,1.1.2.2,0.1.2.2,Developmentally appropriate and emerging benchmarks first appear in Grade 1.,KG,2020-11-03T18:20:30+00:00
Benchmark,1.1.2.3,0.1.2.3,"Roll sideways in a narrow body shape. For example: pencil roll, log roll.",KG,2020-11-03T18:20:13+00:00
Benchmark,1.1.2.4,0.1.2.4,Perform non-locomotor skills.,KG,2020-11-03T18:20:13+00:00
Benchmark,1.1.2.5,0.1.2.5,Developmentally appropriate and emerging benchmarks first appear in Grade 2.,KG,2020-11-03T18:20:13+00:00
Focus Area,1.1.3,0.1.3,Manipulative,KG,2020-11-03T16:20:15+00:00
Benchmark,1.1.3.1,0.1.3.1,Roll and throw underhand with opposite foot forward.,KG,2020-11-03T16:12:06+00:00
Benchmark,1.1.3.2,0.1.3.2,Throw overhand while maintaining balance.,KG,2020-11-03T16:14:12+00:00
Benchmark,1.1.3.3,0.1.3.3,Developmentally appropriate and emerging benchmarks first appear in Grade 3.,KG,2020-11-03T16:14:27+00:00
Benchmark,1.1.3.4,0.1.3.4,Drop and catch a ball before it bounces twice.,KG,2020-11-03T16:14:40+00:00
