Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Arts Area,1,,Dance,KG-12,2023-11-19T00:00:00+00:00
Grade Level,1.1,,Kindergarten,KG,2023-11-19T00:00:00+00:00
Strand,1.1.1,,Foundations,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.1.1,Anchor Standard 1,"Use foundational knowledge and skills while responding to, creating, and presenting artistic work.",KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.1.1.1,Note:,"The benchmarks are integrated across the other strands, highlighted in bold.",KG,2023-11-19T00:00:00+00:00
Strand,1.1.2,,Create,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2.1,Anchor Standard 2,Generate and develop original artistic ideas.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.2.1.1,1.0.2.2.1,Respond in movement to a stimulus/stimuli.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.2.1.2,1.0.2.2.2,Demonstrate different **locomotor** and **non-locomotor** movements.,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2.2,Anchor Standard 3,Create original artistic work.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.2.2.1,1.0.2.3.1,Improvise movement that starts and stops on cue.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.2.2.2,1.0.2.3.2,"Express an idea, feeling, or image through movement.",KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2.3,Anchor Standard 4,Revise and complete original artistic work.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.2.3.1,1.0.2.4.1,Respond to suggestions for changing movement in a guided improvisation.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.2.3.2,1.0.2.4.2,"Document a dance or movement by drawing a picture, using a symbol, or utilizing technology.**",KG,2023-11-19T00:00:00+00:00
Strand,1.1.3,,Perform,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.3.1,Anchor Standard 5,Develop and refine artistic techniques and work for performance.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.3.1.1,1.0.3.5.1,Demonstrate a range of **body shapes**.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.3.1.2,1.0.3.5.2,Move safely in **space** to cues.,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.3.2,Anchor Standard 6,Make artistic choices in order to convey meaning through performance.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.3.2.1,1.0.3.6.1,Explore different props and materials while moving.,KG,2023-11-19T00:00:00+00:00
Strand,1.1.4,,Respond,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.4.1,Anchor Standard 7,Analyze and construct interpretations of artistic work.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.4.1.1,1.0.4.7.1,Identify movements using **dance terminology**.,KG,2023-11-19T00:00:00+00:00
Benchmark,1.1.4.1.2,1.0.4.7.2,Identify dance movements from a specific dance.,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.4.2,Anchor Standard 8,Evaluate artistic work by applying criteria.,KG,2023-11-19T00:00:00+00:00
