Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Domain,1,,Anchor Standards,KG-12,2025-04-07T20:39:15+00:00
Strand,1.1,,Reading,KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.1.1,R1,"**Foundations of Reading** Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.1.2,R2,"Read and comprehend independently A) both self-selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.1.3,R3,Read and comprehend independently both self-selected and teacher-directed complex literary and informational texts representing perspectives of historical and contemporary Dakota and Anishinaabe people.,KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.1.4,R4,"Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.1.5,R5,Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.1.6,R6,"Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.1.7,R7,Evaluate arguments and specific claims from complex informational texts.,KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.1.8,R8,"Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.1.9,R9,"**Media Literacy in Reading** Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",KG-12,2025-04-07T20:39:15+00:00
Strand,1.2,,Writing,KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.2.1,W1,"**Foundations of Writing** Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.2.2,W2,"Write routinely for various purposes and disciplines, representing one’s own personal perspective, identity and voice.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.2.3,W3,"Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.2.4,W4,"Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.2.5,W5,"Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.2.6,W6,"Write narratives, poetry and other creative texts with details and effective technique to express ideas.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.2.7,W7,Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.2.8,W8,"**Media Literacy in Writing** Support writing with evidence from sources, correctly citing those sources, and demonstrating an understanding of the rights and obligations of using intellectual property.",KG-12,2025-04-07T20:39:15+00:00
Strand,1.3,,"Listening, Speaking, Viewing and Exchanging Ideas",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.3.1,LSVEI.1,"Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.3.2,LSVEI.2,"Communicate with others, applying knowledge of vocabulary, language, structure and features of spoken language, considering audience and context.",KG-12,2025-04-07T20:39:15+00:00
Anchor Standard,1.3.3,LSVEI.3,"**Media Literacy in Exchanging Ideas** Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",KG-12,2025-04-07T20:39:15+00:00
Grade,2,,Kindergarten,KG,2025-04-07T20:28:41+00:00
Strand,2.1,,Reading,KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.1.1,0.1.1,"**Foundations of Reading** Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.1.1,0.1.1.0,Demonstrate understanding of the basic features of print:,KG,2025-04-07T20:28:41+00:00
Component,2.1.1.1.1,0.1.1.0.a,"*Demonstrate understanding of the basic features of print:* follow words from left to right, top to bottom and page by page.",KG,2025-05-19T19:08:24+00:00
Component,2.1.1.1.2,0.1.1.0.b,*Demonstrate understanding of the basic features of print:* Recognize and name all uppercase and lowercase letters of the alphabet.,KG,2025-05-19T19:08:24+00:00
Component,2.1.1.1.3,0.1.1.0.c,*Demonstrate understanding of the basic features of print:* Understand that words are separated by spaces in print.,KG,2025-05-19T19:08:24+00:00
Benchmark,2.1.1.2,0.1.1.1,"Demonstrate understanding of spoken words, syllables and sounds (phonemes):",KG,2025-04-07T20:28:41+00:00
Component,2.1.1.2.1,0.1.1.1.a,"*Demonstrate understanding of spoken words, syllables and sounds (phonemes):* identify and orally produce rhyming words, onset-rime and alliteration.",KG,2025-04-07T20:37:20+00:00
Component,2.1.1.2.2,0.1.1.1.b,"*Demonstrate understanding of spoken words, syllables and sounds (phonemes):* identify, count, pronounce, blend, segment and manipulate (add, delete or substitute) compound words and syllables in multi syllabic words.",KG,2025-04-07T20:37:20+00:00
Component,2.1.1.2.3,0.1.1.1.c,"*Demonstrate understanding of spoken words, syllables and sounds (phonemes):* isolate, pronounce and manipulate sounds in three-phoneme CVC words.",KG,2025-04-07T20:37:20+00:00
Benchmark,2.1.1.3,0.1.1.2,Know and apply grade-level phonics and word analysis skills in decoding words:,KG,2025-04-07T20:28:41+00:00
Component,2.1.1.3.1,0.1.1.2.a,"*Know and apply grade-level phonics and word analysis skills in decoding words:* decode words using one-to-one letter sound correspondences in three-phoneme CVC words and knowledge of word families, demonstrating both accuracy and automaticity.",KG,2025-04-07T20:37:20+00:00
Component,2.1.1.3.2,0.1.1.2.b,"*Know and apply grade-level phonics and word analysis skills in decoding words:* read high-frequency words, in and out of context, demonstrating both accuracy and automaticity.",KG,2025-04-07T20:37:20+00:00
Benchmark,2.1.1.4,0.1.1.3,"Read decodable texts accurately, with guidance and support. (Decodable texts are those that include words taught in phonics lesson.)",KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.1.2,0.1.2,"Read and comprehend independently A) both self selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.2.1,0.1.2.1,"With guidance and support, read and monitor understanding of grade-level text, self-correcting as needed, using strategies including, but not limited to, decoding, asking questions and making connections.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.2.2,0.1.2.2,Benchmarks begin in grade 1.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.2.3,0.1.2.3,"Choose and read texts that explore personal identity and interests, with prompting and support.",KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.1.3,0.1.3,Read and comprehend independently both self-selected and teacher-directed complex literary and informational texts representing perspectives of historical and contemporary Dakota and Anishinaabe people.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.3.1,0.1.3.1,"Choose and read texts that represent perspectives and identities of historical and contemporary Dakota and Anishinaabe people, with prompting and support.",KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.1.4,0.1.4,"Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.4.1,0.1.4.1,"Ask and answer questions about key details in a text, with prompting and support.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.4.2,0.1.4.2,"Identify the topic of a text, with prompting and support.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.4.3,0.1.4.3,"Identify characters and setting, in a literary text, with prompting and support.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.4.4,0.1.4.4,"Describe the connection between two pieces of information, events, people or ideas in informational text, with prompting and support.",KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.1.5,0.1.5,Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.5.1,0.1.5.2,"Recognize the difference between literary and informational text, through listening or reading.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.5.2,0.1.5.3,Recognize the connection between illustrations and text.,KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.1.6,0.1.6,"Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.6.1,0.1.6.1,Define the role of an author and illustrator in telling the story.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.6.2,0.1.6.2,Benchmarks begin in grade 1.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.6.3,0.1.6.3,"Recognize common types of text (e.g., storybooks, informational, poems), through listening or reading.",KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.1.7,0.1.7,Evaluate arguments and specific claims from complex informational texts.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.7.1,0.1.7.1,Benchmarks begin in grade 3.,KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.1.8,0.1.8,"Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.8.1,0.1.8.1,"Recognize rhythm, alliteration and repeated lines in a story, poem or song read aloud.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.8.2,0.1.8.2,Ask and answer questions about unfamiliar vocabulary in informational text read aloud.,KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.1.9,0.1.9,"**Media Literacy in Reading** Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.9.1,0.1.9.1,Benchmarks begin in grade 1.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.1.9.2,0.1.9.2,Benchmarks begin in grade 1.,KG,2025-04-07T20:28:41+00:00
Strand,2.2,,Writing,KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.2.1,0.2.1,"**Foundations of Writing** Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.1.1,0.2.1.0,Print many uppercase and lowercase letters.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.1.2,0.2.1.1,"Recognize that words are represented in written language by specific sequences of letters, which are separated by spaces, and put in a specific order to create a sentence.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.1.3,0.2.1.2,Demonstrate one-to-one letter-sound correspondence.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.1.4,0.2.1.3,Benchmarks begin in grade 1.,KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.2.2,0.2.2,"Write routinely for various purposes and disciplines, representing one’s own personal perspective, identity and voice.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.2.1,0.2.2.1,"Write routinely (may include a combination of drawing, dictating and writing), with support and guidance.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.2.2,0.2.2.2,"Share personal perspective, identity and voice, verbally or visually.",KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.2.3,0.2.3,"Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.3.1,0.2.3.1,"Plan and draft writing (may include a combination of drawing, dictating and writing) and revise to strengthen writing in a shared setting.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.3.2,0.2.3.2,Benchmarks begin in grade 3.,KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.2.4,0.2.4,"Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.4.1,0.2.4.1,"State a personal opinion for the purpose of sharing, verbally, visually orin written form, with support and guidance.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.4.2,0.2.4.2,Benchmarks begin in grade 3.,KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.2.5,0.2.5,"Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.5.1,0.2.5.1,"Make a statement about a topic and offer one or two details about the topic, verbally, visually or in written form, with support and guidance.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.5.2,0.2.5.2,"Verbally or visually respond to a story, with support and guidance.",KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.2.6,0.2.6,"Write narratives, poetry and other creative texts with details and effective technique to express ideas.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.6.1,0.2.6.1,"Tell a story about a personal experience or that of a character, verbally, visually or in written form.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.6.2,0.2.6.2,"Correctly order beginning, middle and end of a story, with support and guidance.",KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.2.7,0.2.7,Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.7.1,0.2.7.1,Ask questions to participate in shared research and writing projects.,KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.7.2,0.2.7.2,Benchmarks begin in grade 1.,KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.2.8,0.2.8,"**Media Literacy in Writing** Support writing with evidence from sources, correctly citing those sources, and demonstrating an understanding of the rights and obligations of using intellectual property.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.2.8.1,0.2.8.1,Benchmarks begin in grade 1.,KG,2025-04-07T20:28:41+00:00
Strand,2.3,,"Listening, Speaking, Viewing and Exchanging Ideas",KG,2025-04-07T20:28:41+00:00
Anchor Standard,2.3.1,0.3.1,"Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",KG,2025-04-07T20:28:41+00:00
Benchmark,2.3.1.1,0.3.1.1,"Exchange ideas in storytelling, discussion and collaboration, with intentional inclusion of voices of Dakota and Anishinaabe people and other perspectives.",KG,2025-04-07T20:28:41+00:00
