Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Grouping,1,,Goal Areas and Standards,KG-12,2025-05-16T15:02:23+00:00
Goal Area,1.1,,**Communication:** Communicate effectively in more than one language in order to function in a variety of situations and for multiple purposes,KG-12,2025-05-02T19:21:55+00:00
Standard,1.1.1,,"**Interpersonal Communication:** Learners interact and negotiate meaning in spoken, signed, or written conversations to share information, reactions, feelings, and opinions.",KG-12,2025-05-02T19:21:55+00:00
Standard,1.1.2,,"**Interpretive Communication:** Learners understand, interpret, and analyze what is heard, read, or viewed on a variety of topics.",KG-12,2025-05-02T19:21:55+00:00
Standard,1.1.3,,"**Presentational Communication:** Learners present information, concepts, and ideas to inform, explain, persuade, and narrate on a variety of topics using appropriate media and adapting to various audiences of listeners, readers, or viewers.",KG-12,2025-05-02T19:21:55+00:00
Goal Area,1.2,,**Cultures:** Interact with cultural competence and understanding,KG-12,2025-05-02T19:21:55+00:00
Standard,1.2.1,,"**Relating Cultural Practices to Perspectives:** Learners use the language to investigate, explain, and reflect on the relationship between the practices and perspectives of the cultures studied.",KG-12,2025-05-02T19:21:55+00:00
Standard,1.2.2,,"**Relating Cultural Products to Perspectives:** Learners use the language to investigate, explain, and reflect on the relationship between the products and perspectives of the cultures studied.",KG-12,2025-05-02T19:21:55+00:00
Goal Area,1.3,,**Connections:** Connect with other disciplines and acquire information and diverse perspectives in order to use the language to function in academic and career- related situations,KG-12,2025-05-02T19:21:55+00:00
Standard,1.3.1,,"**Making Connections:** Learners build, reinforce, and expand their knowledge of other disciplines while using the language to develop critical thinking and to solve problems creatively.",KG-12,2025-05-02T19:21:55+00:00
Standard,1.3.2,,**Acquiring information and diverse Perspectives:** Learners access and evaluate information and diverse perspectives that are available through the language and its cultures.,KG-12,2025-05-02T19:21:55+00:00
Goal Area,1.4,,**Comparisons:** Develop insight into the nature of language and culture in order to interact with cultural competence,KG-12,2025-05-02T19:21:55+00:00
Standard,1.4.1,,"**Language Comparisons:** Learners use the language to investigate, explain, and reflect on the nature of language through comparisons of the language studied and their own.",KG-12,2025-05-02T19:21:55+00:00
Standard,1.4.2,,"**Cultural Comparisons:** Learners use the language to investigate, explain, and reflect on the concept of culture through comparisons of the cultures studied and their own.",KG-12,2025-05-02T20:24:15+00:00
Goal Area,1.5,,**Communities:** Communicate and interact with cultural competence in order to participate in multilingual communities at home and around the world,KG-12,2025-05-02T19:21:55+00:00
Standard,1.5.1,,**School and global Communities:** Learners use the language both within and beyond the classroom to interact and collaborate in their community and the globalized world.,KG-12,2025-05-02T19:21:55+00:00
Standard,1.5.2,,"**Lifelong learning:** Learners set goals and reflect on their progress in using languages for enjoyment, enrichment, and advancement.",KG-12,2025-05-02T19:21:55+00:00
Competency Grouping,2,,Can-Do Statements / Proficiency Benchmarks / Performance Indicators,KG-12,2025-05-16T15:02:53+00:00
Benchmark Group,2.1,,"**Interpretive Communication:** Learners understand, interpret, and analyze what is heard, read, or viewed on a variety of topics.",KG-12,2025-05-02T19:21:55+00:00
Proficiency Benchmark,2.1.1,,"**Novice:** *I can* identify the general topic and some basic information in both very familiar and everyday contexts by recognizing practiced or memorized words, phrases, and simple sentences in texts that are spoken, written, or signed.",KG-12,2025-05-02T19:21:55+00:00
Performance Indicator Group,2.1.1.1,,"What can I understand, interpret or analyze in authentic informational texts that I hear, read or view?",KG-12,2025-05-02T19:21:55+00:00
Performance Indicator,2.1.1.1.1,,**Novice Low:** *I can* identify memorized or familiar words when they are supported by gestures or visuals in informational texts.,KG-12,2025-05-02T19:21:55+00:00
Performance Indicator,2.1.1.1.2,,**Novice Mid:** *I can* identify some basic facts from memorized or familiar words and phrases when they are supported by gestures or visuals in informational texts.,KG-12,2025-05-02T19:21:55+00:00
Performance Indicator,2.1.1.1.3,,**Novice High:** *I can* identify the topic and some isolated facts from simple sentences in informational texts.,KG-12,2025-05-02T19:21:55+00:00
Performance Indicator Group,2.1.1.2,,"What can I understand, interpret or analyze in authentic fictional texts that I hear, read or view?",KG-12,2025-05-02T19:21:55+00:00
Performance Indicator,2.1.1.2.1,,**Novice Low:** *I can* identify memorized or familiar words when they are supported by gestures or visuals in fictional texts.,KG-12,2025-05-02T19:21:55+00:00
Performance Indicator,2.1.1.2.2,,**Novice Mid:** *I can* identify some basic facts from memorized or familiar words and phrases when they are supported by gestures or visuals in fictional texts.,KG-12,2025-05-02T19:21:55+00:00
Performance Indicator,2.1.1.2.3,,**Novice High:** *I can* identify the topic and some isolated elements from simple sentences in short fictional texts.,KG-12,2025-05-02T19:21:55+00:00
Performance Indicator Group,2.1.1.3,,"What can I understand, interpret or analyze in conversations and discussions that I hear, read or view, in which I am not a participant?",KG-12,2025-05-02T19:21:55+00:00
Performance Indicator,2.1.1.3.1,,**Novice Low:** *I can* understand memorized or familiar words when they are supported by gestures or visuals in conversations.,KG-12,2025-05-02T19:21:55+00:00
Performance Indicator,2.1.1.3.2,,**Novice Mid:** *I can* identify some basic facts from memorized or familiar words and phrases when they are supported by gestures or visuals in conversations.,KG-12,2025-05-02T19:21:55+00:00
