Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten,KG,2025-04-01T12:59:08+00:00
Strand,1.1,,Functions and Interrelationships of Systems,KG,2025-04-01T12:59:08+00:00
Big Idea,1.1.1,,Structure and Functions of the Body,KG,2025-04-01T12:59:08+00:00
Concept,1.1.1.1,,Sensory System,KG,2025-04-01T12:59:08+00:00
Expectation,1.1.1.1.1,FS.1.A.K,Identify the five senses,KG,2025-04-01T12:59:08+00:00
Concept,1.1.1.2,,Muscular System,KG,2025-04-01T12:59:08+00:00
Expectation,1.1.1.2.1,FS.1.B.K,Tell why people have muscles,KG,2025-04-01T12:59:08+00:00
Concept,1.1.1.3,,Skeletal System,KG,2025-04-01T12:59:08+00:00
Expectation,1.1.1.3.1,FS.1.C.K,Tell why people have bones,KG,2025-04-01T12:59:08+00:00
Concept,1.1.1.4,,Cardio-respiratory / Circulatory System,KG,2025-04-01T12:59:08+00:00
Expectation,1.1.1.4.1,FS.1.E.K,Show the location of the heart,KG,2025-04-01T12:59:08+00:00
Big Idea,1.1.2,,"Social, Emotional and Mental Health",KG,2025-04-01T12:59:08+00:00
Concept,1.1.2.1,,Influence of Family and Peers,KG,2025-04-01T12:59:08+00:00
Expectation,1.1.2.1.1,FS.2.A.K.a,State qualities of a good friend,KG,2025-04-01T12:59:08+00:00
Expectation,1.1.2.1.2,FS.2.A.K.b,Recognize similarities and differences of families,KG,2025-04-01T12:59:08+00:00
Concept,1.1.2.2,,Communication Skills,KG,2025-04-01T12:59:08+00:00
Expectation,1.1.2.2.1,FS.2.C.K.a,Recognize different emotions,KG,2025-04-01T12:59:08+00:00
Expectation,1.1.2.2.2,FS.2.C.K.b,"Identify appropriate ways of expressing feelings and recognize verbal and nonverbal cues associated with each (e.g., happy, sad, mad, and afraid)",KG,2025-04-01T12:59:08+00:00
Strand,1.2,,Health Maintenance and Enhancement,KG,2025-04-01T12:59:08+00:00
Big Idea,1.2.1,,Personal and Family Health,KG,2025-04-01T12:59:08+00:00
Concept,1.2.1.1,,Personal Health,KG,2025-04-01T12:59:08+00:00
Expectation,1.2.1.1.1,ME.1.A.K,"Identify behaviors that keep a person healthy (e.g., physical activity, sleep, good nutrition, clothing, hygiene)",KG,2025-04-01T12:59:08+00:00
Concept,1.2.1.2,,Health and Skill Related Fitness,KG,2025-04-01T12:59:08+00:00
Expectation,1.2.1.2.1,ME.1.D.K,Recognize that active play makes people strong and healthy,KG,2025-04-01T12:59:08+00:00
Big Idea,1.2.2,,Nutrition,KG,2025-04-01T12:59:08+00:00
Concept,1.2.2.1,,"Balance, Variety and Moderation",KG,2025-04-01T12:59:08+00:00
Expectation,1.2.2.1.1,ME.2.B.K,Recognize we need a variety of foods each day,KG,2025-04-01T12:59:08+00:00
Concept,1.2.2.2,,Food Handling and Safety,KG,2025-04-01T12:59:08+00:00
Expectation,1.2.2.2.1,ME.2.D.K,"Recognize how germs are spread and apply practices to reduce germs in our community (e.g., hand washing, not eating food off floor, not touching others’ food, wash fruits and vegetables)",KG,2025-04-01T12:59:08+00:00
Big Idea,1.2.3,,Consumer Health and Safety,KG,2025-04-01T12:59:08+00:00
Concept,1.2.3.1,,Community Services/Careers,KG,2025-04-01T12:59:08+00:00
Expectation,1.2.3.1.1,ME.3.C.K,"Identify community helpers and health professionals (e.g., fire, police, nurse, doctor, dentist, pediatrician, pharmacist, safety patrol)",KG,2025-04-01T12:59:08+00:00
Big Idea,1.2.4,,Life Management Skills,KG,2025-04-01T12:59:08+00:00
Concept,1.2.4.1,,Decision Making and Problem Solving,KG,2025-04-01T12:59:08+00:00
Expectation,1.2.4.1.1,ME.4.A.K,Recognize that people have disagreements and choices on how to resolve them,KG,2025-04-01T12:59:08+00:00
Concept,1.2.4.2,,Refusal/Assertive Skills and Conflict Resolution,KG,2025-04-01T12:59:08+00:00
Expectation,1.2.4.2.1,ME.4.B.K,"Recognize and practice saying ""no"" to unhealthy actions and behaviors toward them (e.g., stop, get away, and tell an adult or No, Go, and Tell)",KG,2025-04-01T12:59:08+00:00
Concept,1.2.4.3,,Harassment/Bullying and Violence Prevention,KG,2025-04-01T12:59:08+00:00
Expectation,1.2.4.3.1,ME.4.E.K,"Define “private parts” (e.g., what is covered by a swimming suit) and distinguish between “safe” and “unsafe” touch",KG,2025-04-01T12:59:08+00:00
Strand,1.3,,Risk Assessment and Reduction,KG,2025-04-01T12:59:08+00:00
Big Idea,1.3.1,,Disease Prevention and Control,KG,2025-04-01T12:59:08+00:00
Concept,1.3.1.1,,Communicable vs. Non-Communicable Diseases,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.1.1.1,RA.1.A.K,Recognize that germs cause illness,KG,2025-04-01T12:59:08+00:00
Concept,1.3.1.2,,Body Defenses and Recovery,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.1.2.1,RA.1.B.K,Model proper hand washing and hygiene,KG,2025-04-01T12:59:08+00:00
Concept,1.3.1.3,,HIV/AIDS Prevention Education,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.1.3.1,RA.1.E.K.a,"Identify bodily fluids (e.g., blood, saliva, urine, tears, sweat, mucus)",KG,2025-04-01T12:59:08+00:00
Expectation,1.3.1.3.2,RA.1.E.K.b,Identify how gloves protect us from bodily fluids,KG,2025-04-01T12:59:08+00:00
Big Idea,1.3.2,,Injury Prevention and Safety,KG,2025-04-01T12:59:08+00:00
Concept,1.3.2.1,,"Safety for Home, School, and Communities",KG,2025-04-01T12:59:08+00:00
Expectation,1.3.2.1.1,RA.2.A.K.a,"Identify safe and unsafe practices and conditions at home, school, and in the community",KG,2025-04-01T12:59:08+00:00
Expectation,1.3.2.1.2,RA.2.A.K.b,"Recognize warning labels that identify harmful items and substances (e.g., cleaning products, “Mr. Yuk” symbol, plastic bags)",KG,2025-04-01T12:59:08+00:00
Concept,1.3.2.2,,First Aid Procedures,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.2.2.1,RA.2.B.K.a,Tell what first aid is and give an example,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.2.2.2,RA.2.B.K.b,Explain how to make emergency phone calls,KG,2025-04-01T12:59:08+00:00
Concept,1.3.2.3,,Activity Related Injuries and Environmental Conditions,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.2.3.1,RA.2.C.K,"Recognize that safety equipment is necessary to protect the body during participation in sports and recreational activities (e.g., helmet, mouth piece, shin guards, eye protection)",KG,2025-04-01T12:59:08+00:00
Concept,1.3.2.4,,Water-Related Emergencies,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.2.4.1,RA.2.D.K.a,Recognize the importance of safety rules in and around water,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.2.4.2,RA.2.D.K.b,"Identify specific safe practices in and around water (e.g., life jackets, buddy system, inclement weather)",KG,2025-04-01T12:59:08+00:00
Big Idea,1.3.3,,Substance Education,KG,2025-04-01T12:59:08+00:00
Concept,1.3.3.1,,Safe and Unsafe Substances,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.3.1.1,RA.3.A.K.a,Recognize that there are safe and unsafe substances that can be taken into the body,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.3.1.2,RA.3.A.K.b,Identify ways to stay away from dangerous substances,KG,2025-04-01T12:59:08+00:00
Concept,1.3.3.2,,"Purpose and Guidelines for Prescription, OTC Drugs and Natural Substances",KG,2025-04-01T12:59:08+00:00
Expectation,1.3.3.2.1,RA.3.B.K,"Recognize that medicine is used to prevent or treat certain health problems, taken under adult supervision",KG,2025-04-01T12:59:08+00:00
Concept,1.3.3.3,,Substance Use vs. Non-Use,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.3.3.1,RA.3.C.K,"Recognize that TAOD (tobacco, alcohol, and other drugs) can have dangerous effects on the body",KG,2025-04-01T12:59:08+00:00
Big Idea,1.3.4,,Environmental Health,KG,2025-04-01T12:59:08+00:00
Concept,1.3.4.1,,Effects of Pollution on Health,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.4.1.1,RA.4.A.K,Recognize how the environment affects a person’s health,KG,2025-04-01T12:59:08+00:00
Concept,1.3.4.2,,Individual Responsibility,KG,2025-04-01T12:59:08+00:00
Expectation,1.3.4.2.1,RA.4.B.K,"Identify ways to protect the body from the environment (e.g., sunscreen, insect repellant, sunglasses, goggles, hats)",KG,2025-04-01T12:59:08+00:00
Grade,2,,Grade 1,01,2025-04-01T12:59:08+00:00
Strand,2.1,,Functions and Interrelationships of Systems,01,2025-04-01T12:59:08+00:00
Big Idea,2.1.1,,Structure and Functions of the Body,01,2025-04-01T12:59:08+00:00
Concept,2.1.1.1,,Sensory System,01,2025-04-01T12:59:08+00:00
Expectation,2.1.1.1.1,FS.1.A.1,"Illustrate the functions of the five senses (e.g., eyes to see)",01,2025-04-01T12:59:08+00:00
Concept,2.1.1.2,,Muscular System,01,2025-04-01T12:59:08+00:00
Expectation,2.1.1.2.1,FS.1.B.1,"Identify a muscle in each region of the body (e.g., arms, torso, legs)",01,2025-04-01T12:59:08+00:00
Concept,2.1.1.3,,Skeletal System,01,2025-04-01T12:59:08+00:00
Expectation,2.1.1.3.1,FS.1.C.1,"Identify a bone in each region of the body (i.e., head, arms, torso, and legs)",01,2025-04-01T12:59:08+00:00
Concept,2.1.1.4,,Cardio-respiratory / Circulatory System,01,2025-04-01T12:59:08+00:00
Expectation,2.1.1.4.1,FS.1.E.1,Predict what happens to your heart rate during physical activity,01,2025-04-01T12:59:08+00:00
Concept,2.1.1.5,,Respiratory System,01,2025-04-01T12:59:08+00:00
Expectation,2.1.1.5.1,FS.1.F.1,"Identify the basic components of the respiratory system (e.g., nose, mouth, lungs)",01,2025-04-01T12:59:08+00:00
Big Idea,2.1.2,,"Social, Emotional and Mental Health",01,2025-04-01T12:59:08+00:00
Concept,2.1.2.1,,Influence of Family and Peers,01,2025-04-01T12:59:08+00:00
Expectation,2.1.2.1.1,FS.2.A.1,Identify responsibilities within a family and describe characteristics needed to be a responsible family member,01,2025-04-01T12:59:08+00:00
Concept,2.1.2.2,,Responsibilities in Society,01,2025-04-01T12:59:08+00:00
Expectation,2.1.2.2.1,FS.2.B.1,"Recognize how each person has a unique contribution (e.g., physical, mental, cultural, ethnicity) to their community (e.g., classroom, school, neighborhood)",01,2025-04-01T12:59:08+00:00
Concept,2.1.2.3,,Communication Skills,01,2025-04-01T12:59:08+00:00
Expectation,2.1.2.3.1,FS.2.C.1,Identify a variety of feelings and situations that may require adult assistance,01,2025-04-01T12:59:08+00:00
Strand,2.2,,Health Maintenance and Enhancement,01,2025-04-01T12:59:08+00:00
Big Idea,2.2.1,,Personal and Family Health,01,2025-04-01T12:59:08+00:00
Concept,2.2.1.1,,Personal Health,01,2025-04-01T12:59:08+00:00
Expectation,2.2.1.1.1,ME.1.A.1,"Show the cause and effect of healthy behaviors (e.g., physical activity, sleep, good nutrition, clothing, hygiene)",01,2025-04-01T12:59:08+00:00
Concept,2.2.1.2,,Preventive Care,01,2025-04-01T12:59:08+00:00
Expectation,2.2.1.2.1,ME.1.B.1,"Identify preventive health care (e.g., immunizations, regular health and dental check-ups)",01,2025-04-01T12:59:08+00:00
Concept,2.2.1.3,,Health and Skill Related Fitness,01,2025-04-01T12:59:08+00:00
Expectation,2.2.1.3.1,ME.1.D.1,Recognize that physical activity increases heart and respiratory rate,01,2025-04-01T12:59:08+00:00
Big Idea,2.2.2,,Nutrition,01,2025-04-01T12:59:08+00:00
Concept,2.2.2.1,,Essential Nutrients and Food Groupings,01,2025-04-01T12:59:08+00:00
Expectation,2.2.2.1.1,ME.2.A.1.a,Recognize that foods come from plant and animal sources and provide the body with fuel (energy),01,2025-04-01T12:59:08+00:00
