Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Kindergarten,KG,2025-02-27T17:12:33+00:00
Concept,1.1,,Computing Systems,KG,2025-03-04T14:01:00+00:00
Subconcept,1.1.1,,Devices,KG,2025-03-04T14:01:00+00:00
Standard,1.1.1.1,K.CS.D.01,"With guidance, follow directions and make appropriate choices to use computing devices to perform a variety of tasks.",KG,2025-03-04T14:01:00+00:00
Subconcept,1.1.2,,Hardware & Software,KG,2025-03-04T14:01:00+00:00
Standard,1.1.2.1,K.CS.HS.01,"Use appropriate terminology in naming and describing the function of common computing devices and components (e.g., mouse is used to control the cursor, desktop computer, laptop computer, tablet device, monitor, keyboard, mouse, printer).",KG,2025-03-04T14:01:00+00:00
Standard,1.1.2.2,K.CS.HS.02,"With guidance, choose appropriate software to perform a variety of tasks.",KG,2025-03-04T14:01:00+00:00
Subconcept,1.1.3,,Troubleshooting,KG,2025-03-04T14:01:00+00:00
Standard,1.1.3.1,K.CS.T.01,"Recognize that computing systems might not work as expected and learn to use accurate terminology to identify simple hardware or software problems (e.g., volume turned down on turned down on headphones, monitor turned off, keyboard not working, mouse not working).",KG,2025-03-04T14:01:00+00:00
Concept,1.2,,Networks & the Internet,KG,2025-03-04T14:01:00+00:00
Subconcept,1.2.1,,Network Communication & Organization,KG,2025-03-04T14:01:00+00:00
Standard,1.2.1.1,K.NI.NCO.01,"Discuss that computing devices can be connected together. (e.g., printers connect to devices, phone/tablet share information).",KG,2025-03-04T14:01:00+00:00
Subconcept,1.2.2,,Cybersecurity,KG,2025-03-04T14:01:00+00:00
Standard,1.2.2.1,K.NI.C.01,"Discuss what passwords are and why we do not share them with others. With guidance, use passwords to access technological devices, apps, etc.",KG,2025-03-04T14:01:00+00:00
Concept,1.3,,Data & Analysis,KG,2025-03-04T14:01:00+00:00
Subconcept,1.3.1,,Storage,KG,2025-03-04T14:01:00+00:00
Standard,1.3.1.1,K.DA.S.01,"With guidance, locate, open, modify and save an existing file with a computing device.",KG,2025-03-04T14:01:00+00:00
Subconcept,1.3.2,,"Collection, Visualization & Transformation",KG,2025-03-04T14:01:00+00:00
Standard,1.3.2.1,K.DA.CVT.01,"With guidance, collect data and present it visually.",KG,2025-03-04T14:01:00+00:00
Subconcept,1.3.3,,Inference & Models,KG,2025-03-04T14:01:00+00:00
Standard,1.3.3.1,K.DA.IM.01,"With guidance, draw conclusions and make predictions based on picture graphs or patterns (e.g., make predictions based on weather data presented in a picture graph or complete a pattern).",KG,2025-03-04T14:01:00+00:00
Concept,1.4,,Algorithms & Programming,KG,2025-03-04T14:01:00+00:00
Subconcept,1.4.1,,Algorithms,KG,2025-03-04T14:01:00+00:00
Standard,1.4.1.1,K.AP.A.01,"With guidance, model daily processes and follow algorithms (sets of step‐by‐step instructions) to complete tasks verbally, kinesthetically, with robot devices or a programing language.",KG,2025-03-04T14:01:00+00:00
Subconcept,1.4.2,,Variables,KG,2025-03-04T14:01:00+00:00
Standard,1.4.2.1,K.AP.V.01,"With guidance, recognize that computers represent different types of data using numbers or other symbols.",KG,2025-03-04T14:01:00+00:00
Subconcept,1.4.3,,Control,KG,2025-03-04T14:01:00+00:00
Standard,1.4.3.1,K.AP.C.01,"With guidance, independently or collaboratively create programs to accomplish tasks using a programming language, robot device or unplugged activity that includes sequencing (i.e., emphasizing the beginning, middle and end).",KG,2025-03-04T14:01:00+00:00
Subconcept,1.4.4,,Program Development,KG,2025-03-04T14:01:00+00:00
Standard,1.4.4.1,K.AP.PD.01,"With guidance, create a grade level appropriate artifact to illustrate thoughts, ideas or sequence of events (step‐by‐step) manner (e.g., story map, storyboard, sequential graphic organizer).",KG,2025-03-04T14:01:00+00:00
Standard,1.4.4.2,K.AP.PD.02,"Independently or with guidance give credit to ideas, creations and solutions of others while developing algorithms.",KG,2025-03-04T14:01:00+00:00
Course,2,,Grade 1,01,2025-03-10T07:02:55+00:00
Concept,2.1,,Computing Systems,01,2025-03-04T14:01:34+00:00
Subconcept,2.1.1,,Devices,01,2025-03-04T14:01:34+00:00
Standard,2.1.1.1,1.CS.D.01,"With guidance, select and use a computing device to perform a variety of tasks for an intended outcome.",01,2025-03-04T14:01:34+00:00
Subconcept,2.1.2,,Hardware & Software,01,2025-03-04T14:01:34+00:00
Standard,2.1.2.1,1.CS.HS.01,"Use appropriate terminology to locate and identify common computing devices and components, in a variety of environments (e.g., desktop computer, laptop computer, tablet device, monitor, keyboard, mouse, printer).",01,2025-03-04T14:01:34+00:00
Standard,2.1.2.2,1.CS.HS.02,"With little support, choose appropriate software to perform a variety of tasks.",01,2025-03-04T14:01:34+00:00
Subconcept,2.1.3,,Troubleshooting,01,2025-03-04T14:01:34+00:00
Standard,2.1.3.1,1.CS.T.01,"Identify, using accurate terminology, simple hardware and software problems that may occur during use (e.g., app or program is not working as expected, no sound is coming from the device, caps lock turned on).",01,2025-03-04T14:01:34+00:00
Concept,2.2,,Networks & the Internet,01,2025-03-04T14:01:34+00:00
Subconcept,2.2.1,,Network Communication & Organization,01,2025-03-04T14:01:34+00:00
Standard,2.2.1.1,1.NI.NCO.01,"Recognize that by connecting computing devices together they can share information (e.g., remote storage, printing, the internet).",01,2025-03-04T14:01:34+00:00
Subconcept,2.2.2,,Cybersecurity,01,2025-03-04T14:01:34+00:00
Standard,2.2.2.1,1.NI.C.01,"Identify what passwords are and explain why they are not shared. Discuss what makes a password strong. Independently, use passwords to access technological devices, apps, etc.",01,2025-03-04T14:01:34+00:00
Concept,2.3,,Data & Analysis,01,2025-03-04T14:01:34+00:00
Subconcept,2.3.1,,Storage,01,2025-03-04T14:01:34+00:00
Standard,2.3.1.1,1.DA.S.01,"With guidance locate, open, modify and save an existing file, use appropriate file‐naming conventions and recognize that the file exists within an organizational structure (e.g., drive, folder, file).",01,2025-03-04T14:01:34+00:00
Subconcept,2.3.2,,"Collection, Visualization & Transformation",01,2025-03-04T14:01:34+00:00
Standard,2.3.2.1,1.DA.CVT.01,"With guidance, collect data and present it two different ways.",01,2025-03-04T14:01:34+00:00
Subconcept,2.3.3,,Inference & Models,01,2025-03-04T14:01:34+00:00
Standard,2.3.3.1,1.DA.IM.01,"With guidance, identify and interpret data from a chart or graph (visualization) in order to make a prediction, with or without a computing device.",01,2025-03-04T14:01:34+00:00
Concept,2.4,,Algorithms & Programming,01,2025-03-04T14:01:34+00:00
Subconcept,2.4.1,,Algorithms,01,2025-03-04T14:01:34+00:00
Standard,2.4.1.1,1.AP.A.01,"With guidance, model daily processes and follow algorithms (sets of step‐by‐step instructions) to complete tasks verbally, kinesthetically, with robot devices or a programing language.",01,2025-03-04T14:01:34+00:00
Subconcept,2.4.2,,Variables,01,2025-03-04T14:01:34+00:00
Standard,2.4.2.1,1.AP.V.01,"With guidance, model the way that a program accesses stored data using a variable name.",01,2025-03-04T14:01:34+00:00
Subconcept,2.4.3,,Control,01,2025-03-04T14:01:34+00:00
Standard,2.4.3.1,1.AP.C.01,"With guidance, independently or collaboratively create programs to accomplish tasks using a programming language, robot device or unplugged activity that includes sequencing and repetition.",01,2025-03-04T14:01:34+00:00
