Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards for Math Content,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1,,Kindergarten,KG,2023-11-19T00:00:00+00:00
Domain,1.1.1,,Number Sense,KG,2023-11-19T00:00:00+00:00
Cluster,1.1.1.1,K.NS.A,Know number names and count sequence,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.1.1,K.NS.A.1,Count to 100 by ones and tens.,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.1.2,K.NS.A.2,Count forward beginning from a given number between 1 and 20.,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.1.3,K.NS.A.3,Count backward from a given number between 10 and 1.,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.1.4,K.NS.A.4,Read and write numerals and represent a number of objects from 0 to 20.,KG,2023-11-19T00:00:00+00:00
Cluster,1.1.1.2,K.NS.B,Understand the relationship between numbers and quantities; connect counting to cardinality.,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.2.1,K.NS.B.5,"Say the number names when counting objects, in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.2.2,K.NS.B.6,Demonstrate that the last number name said tells the number of objects counted and the number of objects is the same regardless of their arrangement or the order in which they were counted.,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.2.3,K.NS.B.7,Demonstrate that each successive number name refers to a quantity that is one larger than the previous number.,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.2.4,K.NS.B.8,"Recognize, without counting, the quantity of groups up to 5 objects arranged in common patterns.",KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.2.5,K.NS.B.9,Demonstrate that a number can be used to represent “how many” are in a set.,KG,2023-11-19T00:00:00+00:00
Cluster,1.1.1.3,K.NS.C,Compare numbers.,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.3.1,K.NS.C.10,"Compare two or more sets of objects and identify which set is equal to, more than or less than the other.",KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.3.2,K.NS.C.11,"Compare two numerals, between 1 and 10, and determine which is more than or less than the other.",KG,2023-11-19T00:00:00+00:00
Domain,1.1.2,,Number Sense and Operations in Base Ten,KG,2023-11-19T00:00:00+00:00
Cluster,1.1.2.1,K.NBT.A,Work with numbers 11 – 19 to gain foundations for place value.,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.2.1.1,K.NBT.A.1,Compose and decompose numbers from 11 to 19 into sets of tens with additional ones.,KG,2023-11-19T00:00:00+00:00
Domain,1.1.3,,Relationships and Algebraic Thinking,KG,2023-11-19T00:00:00+00:00
