Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Elementary School (Kindergarten - Grade 5),,2023-07-26T17:00:44+00:00
Course,1.1,,Kindergarten,KG,2023-07-26T17:42:38+00:00
Strand,1.1.1,PC.1,Knowledge of the principles expressed in documents shaping constitutional democracy in the United States,KG,2023-07-26T17:42:38+00:00
Concept,1.1.1.1,PC.1.B,Purposes and principles of the Constitution,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.1.1.1,K.PC.1.B.a,Identify reasons for making rules within the school,KG,2023-07-26T17:42:38+00:00
Concept,1.1.1.2,PC.1.C,Processes of governmental systems in decision making,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.1.2.1,K.PC.1.C.a,Discuss the concept of individual rights.,KG,2023-07-26T17:42:38+00:00
Concept,1.1.1.3,PC.1.E,Character traits and civic attitudes of significant individuals.,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.1.3.1,K.PC.1.E.a,Describe the character traits of role models within your family or school.,KG,2023-07-26T17:42:38+00:00
Concept,1.1.1.4,PC.1.F,Knowledge of the symbols of our state and the nation.,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.1.4.1,K.PC.1.F.a,Identify the flag as a symbol of our nation.,KG,2023-07-26T17:42:38+00:00
Grade Level Expectation,1.1.1.4.2,K.PC.1.F.b,Recite the Pledge of Allegiance.,KG,2023-07-26T17:42:38+00:00
Strand,1.1.2,GS.2,Knowledge of principles and processes of governance systems.,KG,2023-07-26T17:42:38+00:00
Concept,1.1.2.1,GS.2.C,Processes of governmental systems in decision making,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.2.1.1,K.GS.2.C.a,Describe why groups need to make decisions and how those decisions are made in families and classrooms.,KG,2023-07-26T17:42:38+00:00
Concept,1.1.2.2,GS.2.D,Functions of governmental systems,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.2.2.1,K.GS.2.D.a,Describe roles and responsibilities of people in authority in families and in groups.,KG,2023-07-26T17:42:38+00:00
Strand,1.1.3,H.3,Knowledge of continuity and change in the history of Missouri and the United States.,KG,2023-07-26T17:42:38+00:00
Concept,1.1.3.1,H.3.B,Historical perspective/Thinking/Passage of time,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.3.1.1,K.H.3.B.a,Create a personal history.,KG,2023-07-26T17:42:38+00:00
Grade Level Expectation,1.1.3.1.2,K.H.3.B.b,Compare your family's life in the past and present.,KG,2023-07-26T17:42:38+00:00
Concept,1.1.3.2,H.3.C,Knowledge of contributions of significant persons in U.S. history.,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.3.2.1,K.H.3.C.a,Describe the contributions of people typically studied in K-5 programs associated with national holidays. (See teacher resources for illustrative examples),KG,2023-07-26T17:42:38+00:00
Strand,1.1.4,E.4,Knowledge of economic concepts and principles,KG,2023-07-26T17:42:38+00:00
Concept,1.1.4.1,E.4.A,Knowledge of basic economic concepts.,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.4.1.1,K.E.4.A.a,Describe examples of scarcity within your family and school.,KG,2023-08-30T23:39:54+00:00
Grade Level Expectation,1.1.4.1.2,K.E.4.A.b,Describe examples of opportunity cost within your family and school.,KG,2023-08-30T23:39:58+00:00
Grade Level Expectation,1.1.4.1.3,K.E.4.A.c,Describe examples of needs and wants within your family and school.,KG,2023-08-30T23:40:02+00:00
Strand,1.1.5,EG.5,Knowledge of major elements of geographical study and analysis and their relationship to changes in society and the environment.,KG,2023-07-26T17:42:38+00:00
Concept,1.1.5.1,EG.5.A,Reading and constructing maps.,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.5.1.1,K.EG.5.A.a,Identify maps as representations of real places.,KG,2023-07-26T17:42:38+00:00
Grade Level Expectation,1.1.5.1.2,K.EG.5.A.b,"With assistance, read, construct, and use maps of familiar places such as the classroom, the home, the bedroom etc.",KG,2023-07-26T17:42:38+00:00
Grade Level Expectation,1.1.5.1.3,K.EG.5.A.c,Match legend symbols to map features.,KG,2023-07-26T17:42:38+00:00
Concept,1.1.5.2,EG.5.B,Understanding the concept of location to make predictions and solve problems.,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.5.2.1,K.EG.5.B.a,Apply positional words to locations within the classroom,KG,2023-07-26T17:42:38+00:00
Strand,1.1.6,RI.6,Knowledge of relationships of the individual and groups to institutions and cultural traditions.,KG,2023-07-26T17:42:38+00:00
Concept,1.1.6.1,RI.6.A,Cultural characteristics of all people,KG,2023-08-30T23:52:11+00:00
Grade Level Expectation,1.1.6.1.1,K.RI.6.A.a,"Describe cultural characteristics of your family and class members including language, celebrations, customs, holidays, artistic expression, food, dress, and traditions.",KG,2023-07-26T17:42:38+00:00
