Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten,KG,2025-03-25T18:51:56+00:00
Strand,1.1,,Efficiency of Human Movement and Performance,KG,2025-03-25T18:51:56+00:00
Big Idea,1.1.1,,Personal Fitness and Healthy Active Living,KG,2025-03-25T18:51:56+00:00
Concept,1.1.1.1,,Health-Related and Skill-Related Fitness,KG,2025-03-25T18:51:56+00:00
Expectation,1.1.1.1.1,HM1AK,Tell what it means to be fit,KG,2025-04-04T16:32:31+00:00
Concept,1.1.1.2,,Body Systems,KG,2025-03-25T18:51:56+00:00
Expectation,1.1.1.2.1,HM1DK,"Identify major body parts (e.g., head, neck, arm, shoulders, elbow, legs, knee, hip, feet, back, fingers, toes)",KG,2025-04-04T16:32:31+00:00
Big Idea,1.1.2,,Responsible Personal and Social Behavior in the Physical Activity Setting,KG,2025-03-25T18:51:56+00:00
Concept,1.1.2.1,,Personal/Social Responsibilities,KG,2025-03-25T18:51:56+00:00
Expectation,1.1.2.1.1,HM2AK,"Demonstrate the ability to share, be cooperative and safe with others",KG,2025-04-04T16:32:31+00:00
Big Idea,1.1.3,,"Injury Prevention, Treatment and Rehabilitation",KG,2025-03-25T18:51:56+00:00
Concept,1.1.3.1,,Prevention,KG,2025-03-25T18:51:56+00:00
Expectation,1.1.3.1.1,HM3AK,Demonstrate safe use of general and personal space,KG,2025-04-04T16:32:31+00:00
Concept,1.1.3.2,,Treatment,KG,2025-03-25T18:51:56+00:00
Expectation,1.1.3.2.1,HM3BK,"Demonstrate how to seek adult help when an injury has occurred (e.g., playground, field trips, lunch room)",KG,2025-04-04T16:32:31+00:00
Strand,1.2,,Physical Activity and Lifetime Wellness,KG,2025-03-25T18:51:56+00:00
Big Idea,1.2.1,,Fundamental Movement Skills and Games,KG,2025-03-25T18:51:56+00:00
Concept,1.2.1.1,,Locomotor,KG,2025-03-25T18:51:56+00:00
Expectation,1.2.1.1.1,PA1AK,"Demonstrate the correct form of three locomotor skills (e.g., walk, run, jump, hop, gallop)",KG,2025-04-04T16:32:31+00:00
Concept,1.2.1.2,,Non-Locomotor,KG,2025-03-25T18:51:56+00:00
Expectation,1.2.1.2.1,PA1BK,"Demonstrate selected non-locomotor skills (e.g., push, pull, bend, twist, stretch, turn)",KG,2025-04-04T16:32:31+00:00
Concept,1.2.1.3,,Manipulative Skills,KG,2025-03-25T18:51:56+00:00
Expectation,1.2.1.3.1,PA1CK,"Demonstrate manipulative skills in a stationary position (e.g., rolling, throwing, catching, kicking)",KG,2025-04-04T16:32:31+00:00
Concept,1.2.1.4,,Body Management,KG,2025-03-25T18:51:56+00:00
Expectation,1.2.1.4.1,PA1DKa,"Demonstrate introductory individual stunts (e.g., crab walk, bear walk, inch worm)",KG,2025-04-04T16:32:31+00:00
Expectation,1.2.1.4.2,PA1DKb,Demonstrate ways to balance on different body parts at different levels,KG,2025-04-04T16:32:31+00:00
Concept,1.2.1.5,,Movement Concepts,KG,2025-03-25T18:51:56+00:00
Expectation,1.2.1.5.1,PA1EKa,"Identify relationship with body parts (e.g., left hand to left shoulder, right elbow to left knee)",KG,2025-04-04T16:32:31+00:00
Expectation,1.2.1.5.2,PA1EKb,Demonstrate the difference between slow and fast movement when performing locomotor movements,KG,2025-04-04T16:32:31+00:00
Expectation,1.2.1.5.3,PA1EKc,Recognize the difference between general and personal space,KG,2025-04-04T16:32:31+00:00
Concept,1.2.1.6,,Developmental Games,KG,2025-03-25T18:51:56+00:00
Expectation,1.2.1.6.1,PA1FKa,Demonstrate cooperation with partners and small groups to accomplish a game objective,KG,2025-04-04T16:32:31+00:00
Expectation,1.2.1.6.2,PA1FKb,"Demonstrate chasing, fleeing, dodging",KG,2025-04-04T16:32:31+00:00
Big Idea,1.2.2,,Rhythms and Dance,KG,2025-03-25T18:51:56+00:00
Concept,1.2.2.1,,Essential Elements of Rhythm,KG,2025-03-25T18:51:56+00:00
Expectation,1.2.2.1.1,PA3AKa,"Demonstrate the concept of beat/rhythm pattern as it applies to music and movement (e.g., clap, drum)",KG,2025-04-04T16:32:31+00:00
Expectation,1.2.2.1.2,PA3AKb,"Demonstrate simple movements to music (e.g., march to beat)",KG,2025-04-04T16:32:31+00:00
Concept,1.2.2.2,,Creative/Interpretive,KG,2025-03-25T18:51:56+00:00
Expectation,1.2.2.2.1,PA3BK,"Demonstrate the ability to use your body as a means of expression (e.g., snowman melting)",KG,2025-04-04T16:32:31+00:00
Grade,2,,Grade 1,01,2025-03-25T18:52:03+00:00
Strand,2.1,,Efficiency of Human Movement and Performance,01,2025-03-25T18:52:03+00:00
Big Idea,2.1.1,,Personal Fitness and Healthy Active Living,01,2025-03-25T18:52:03+00:00
Concept,2.1.1.1,,Health-Related and Skill-Related Fitness,01,2025-03-25T18:52:03+00:00
Expectation,2.1.1.1.1,HM1A1,Name three ways to stay fit,01,2025-04-04T16:32:31+00:00
Concept,2.1.1.2,,Wellness,01,2025-03-25T18:52:03+00:00
Expectation,2.1.1.2.1,HM1B1,"Identify a variety of physical activities that promote wellness (e.g., walking, jogging)",01,2025-04-04T16:32:31+00:00
Concept,2.1.1.3,,Fitness Principles,01,2025-03-25T18:52:03+00:00
Expectation,2.1.1.3.1,HM1C1,"Recognize signs associated with physical activity (e.g., fast heart rate, heavy breathing, perspiration)",01,2025-04-04T16:32:31+00:00
Concept,2.1.1.4,,Body Systems,01,2025-03-25T18:52:03+00:00
Expectation,2.1.1.4.1,HM1D1,Tell why muscles and bones are important to movement,01,2025-04-04T16:32:31+00:00
Big Idea,2.1.2,,"Injury Prevention, Treatment and Rehabilitation",01,2025-03-25T18:52:03+00:00
Concept,2.1.2.1,,Prevention,01,2025-03-25T18:52:03+00:00
Expectation,2.1.2.1.1,HM3A1,Tell the difference between general space awareness and personal space awareness,01,2025-04-04T16:32:31+00:00
Strand,2.2,,Physical Activity and Lifetime Wellness,01,2025-03-25T18:52:03+00:00
Big Idea,2.2.1,,Fundamental Movement Skills and Games,01,2025-03-25T18:52:03+00:00
Concept,2.2.1.1,,Locomotor,01,2025-03-25T18:52:03+00:00
Expectation,2.2.1.1.1,PA1A1,"Demonstrate all locomotor skills (walk, run, leap, jump, hop, slide, gallop, skip)",01,2025-04-04T16:32:31+00:00
Concept,2.2.1.2,,Non-Locomotor,01,2025-03-25T18:52:03+00:00
Expectation,2.2.1.2.1,PA1B1,Demonstrate non-locomotor skills in a variety of activities,01,2025-04-04T16:32:31+00:00
Concept,2.2.1.3,,Manipulative Skills,01,2025-03-25T18:52:03+00:00
Expectation,2.2.1.3.1,PA1C1a,Demonstrate a variety of manipulative skills while stationary and moving,01,2025-04-04T16:32:31+00:00
Expectation,2.2.1.3.2,PA1C1b,"Demonstrate fine motor skills while manipulating small objects (e.g., juggling scarves, small bean bags)",01,2025-04-04T16:32:31+00:00
Concept,2.2.1.4,,Body Management,01,2025-03-25T18:52:03+00:00
Expectation,2.2.1.4.1,PA1D1a,"Demonstrate static and dynamic balance activities (e.g., stork stand, lame dog)",01,2025-04-04T16:32:31+00:00
Expectation,2.2.1.4.2,PA1D1b,"Demonstrate introductory stunts and tumbling skills (e.g., log, forward, egg rolls)",01,2025-04-04T16:32:31+00:00
Concept,2.2.1.5,,Movement Concepts,01,2025-03-25T18:52:03+00:00
Expectation,2.2.1.5.1,PA1E1a,"Demonstrate a variety of pathways, speeds, directions and levels using locomotor movements",01,2025-04-04T16:32:31+00:00
Expectation,2.2.1.5.2,PA1E1b,"Identify and demonstrate a variety of relationships (over, under, through) with objects (e.g., wands, hula hoops)",01,2025-04-04T16:32:31+00:00
Concept,2.2.1.6,,Developmental Games,01,2025-03-25T18:52:03+00:00
Expectation,2.2.1.6.1,PA1F1,Demonstrate motor skills while participating in low organized games,01,2025-04-04T16:32:31+00:00
Big Idea,2.2.2,,Rhythms and Dance,01,2025-03-25T18:52:03+00:00
Concept,2.2.2.1,,Essential Elements of Rhythm,01,2025-03-25T18:52:03+00:00
Expectation,2.2.2.1.1,PA3A1a,"Demonstrate basic cues to music (e.g., hokey pokey)",01,2025-04-04T16:32:31+00:00
Expectation,2.2.2.1.2,PA3A1b,Demonstrate a simple dance step in keeping with a dance tempo,01,2025-04-04T16:32:31+00:00
