Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards by Grade Band,,2023-08-21T22:20:12+00:00
Grade Band,1.1,,By End of Grade 2,KG-02,2023-08-21T22:22:55+00:00
Standard,1.1.1,,6.1 U.S. History: America in the World,KG-02,2023-08-21T22:22:55+00:00
Strand,1.1.1.1,,"Civics Civics, Government, and Human Rights",KG-02,2023-08-21T22:22:55+00:00
Disciplinary Concept,1.1.1.1.1,,Civics and Political Institutions,KG-02,2023-08-21T22:22:55+00:00
Core Idea,1.1.1.1.1.1,,Local community and government leaders have roles and responsibilities to provide services for their community members.,KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.1.1.1.1,6.1.2.CivicsPI.1,"Describe roles and responsibilities of community and local government leaders (e.g., mayor, town council).",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.1.1.1.2,6.1.2.CivicsPI.2,Investigate the importance of services provided by the local government to meet the needs and ensure the safety of community members.,KG-02,2023-08-21T22:22:55+00:00
Core Idea,1.1.1.1.1.2,,"Rules for all to live by are a result of the actions of government, organizations, and individuals.",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.1.1.2.1,6.1.2.CivicsPI.3,Explain how individuals work with different levels of government to make rules.,KG-02,2023-08-21T22:22:55+00:00
Core Idea,1.1.1.1.1.3,,The actions of individuals and government affect decisions made for the common good.,KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.1.1.3.1,6.1.2.CivicsPI.4,"Explain how all people, not just official leaders, play important roles in a community.",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.1.1.3.2,6.1.2.CivicsPI.5,"Describe how communities work to accomplish common tasks, establish responsibilities, and fulfill roles of authority.",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.1.1.3.3,6.1.2.CivicsPI.6,Explain what government is and its function.,KG-02,2023-08-21T22:22:55+00:00
Disciplinary Concept,1.1.1.1.2,,Participation and Deliberation,KG-02,2023-08-21T22:22:55+00:00
Core Idea,1.1.1.1.2.1,,"When all members of the group are given the opportunity to participate in the decisionmaking process, everyone’s voice is heard.",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.1.2.1.1,6.1.2.CivicsPD.1,"Engage in discussions effectively by asking questions, considering facts, listening to the ideas of others, and sharing opinions.",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.1.2.1.2,6.1.2.CivicsPD.2,Establish a process for how individuals can effectively work together to make decisions.,KG-02,2023-08-21T22:22:55+00:00
Strand,1.1.1.2,,"Civics, Government, and Human Rights",KG-02,2023-08-21T22:22:55+00:00
Disciplinary Concept,1.1.1.2.1,,Democratic Principles,KG-02,2023-08-21T22:22:55+00:00
Core Idea,1.1.1.2.1.1,,"The democratic principles this country was founded upon guide the actions of local, state and national government (e.g., authority, rights, responsibility, fairness, privacy, freedom to make choices).",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.2.1.1.1,6.1.2.CivicsDP.1,Explain how national symbols reflect on American values and principles.,KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.2.1.1.2,6.1.2.CivicsDP.2,"Use evidence to describe how democratic principles such as equality, fairness, and respect for legitimate authority and rules have impacted individuals and communities.",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.2.1.1.3,6.1.2.CivicsDP.3,"Explain how historical symbols, monuments and holidays reflect the shared values, principles, and beliefs of the American identity.",KG-02,2023-08-21T22:22:55+00:00
Disciplinary Concept,1.1.1.2.2,,Processes and Rules,KG-02,2023-08-21T22:22:55+00:00
Core Idea,1.1.1.2.2.1,,"Rules and people who have authority are necessary to keep everyone safe, resolve conflicts, and treat people fairly.",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.2.2.1.1,6.1.2.CivicsPR.1,Determine what makes a good rule or law.,KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.2.2.1.2,6.1.2.CivicsPR.2,"Cite evidence that explains why rules and laws are necessary at home, in schools, and in communities.",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.2.2.1.3,6.1.2.CivicsPR.3,Analyze classroom rules and routines and describe how they are designed to benefit the common good.,KG-02,2023-08-21T22:22:55+00:00
Core Idea,1.1.1.2.2.2,,"Processes and rules should be fair, consistent, and respectful of the human rights of all people.",KG-02,2023-08-21T22:22:55+00:00
Performance Expectation,1.1.1.2.2.2.1,6.1.2.CivicsPR.4,"Explain why teachers, local community leaders, and other adults have a responsibility to make rules that fair, consistent, and respectful of individual rights.",KG-02,2023-08-21T22:22:55+00:00
Disciplinary Concept,1.1.1.2.3,,Civic Mindedness,KG-02,2023-08-21T22:22:55+00:00
