Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard,1,2.1,Personal and Mental Health,KG-12,2025-05-16T19:01:32+00:00
Grade Range,1.1,2.1.2,By the End of Grade 2,KG-02,2025-05-16T19:02:03+00:00
Disciplinary Concept,1.1.1,2.1.2.PGD,Personal Growth and Development,KG-02,2025-05-16T19:02:03+00:00
Core Idea,1.1.1.1,,Individuals enjoy different activities and grow at different rates.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.1.1.1,2.1.2.PGD.1,Explore how activity helps all human bodies stay healthy.,KG-02,2025-05-16T19:02:03+00:00
Core Idea,1.1.1.2,,Personal hygiene and self-help skills promote healthy habits.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.1.2.1,2.1.2.PGD.2,"Develop an awareness of healthy habits (e.g., wash hands, cough in arm, brush teeth).",KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.1.2.2,2.1.2.PGD.3,Explain what being “well” means and identify self-care practices that support wellness.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.1.2.3,2.1.2.PGD.4,Use correct terminology to identify body parts and explain how body parts work together to support wellness.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.1.2.4,2.1.2.PGD.5,"List medically accurate names for body parts, including the genitals.",KG-02,2025-05-16T19:02:03+00:00
Disciplinary Concept,1.1.2,2.1.2.PP,Pregnancy and Parenting,KG-02,2025-05-16T19:02:03+00:00
Core Idea,1.1.2.1,,All living things may have the capacity to reproduce.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.2.1.1,2.1.2.PP.1,Define reproduction.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.2.1.2,2.1.2.PP.2,"Explain the ways in which parents may care for their offspring (e.g., animals, people, fish).",KG-02,2025-05-16T19:02:03+00:00
Disciplinary Concept,1.1.3,2.1.2.EH,Emotional Health,KG-02,2025-05-16T19:02:03+00:00
Core Idea,1.1.3.1,,Many factors influence how we think about ourselves and others.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.3.1.1,2.1.2.EH.1,"Explain the meaning of character and how it is reflected in the thoughts, feelings and actions of oneself and others.",KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.3.1.2,2.1.2.EH.2,Identify what it means to be responsible and list personal responsibilities.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.3.1.3,2.1.2.EH.3,"Demonstrate self-control in a variety of settings (e.g., classrooms, playgrounds, special programs).",KG-02,2025-05-16T19:02:03+00:00
Core Idea,1.1.3.2,,"There are different ways that individuals handle stress, and some are healthier than others.",KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.3.2.1,2.1.2.EH.4,"Demonstrate strategies for managing one's own emotions, thoughts and behaviors.",KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.3.2.2,2.1.2.EH.5,Explain healthy ways of coping with stressful situations.,KG-02,2025-05-16T19:02:03+00:00
Disciplinary Concept,1.1.4,2.1.2.SSH,Social and Sexual Health,KG-02,2025-05-16T19:02:03+00:00
Core Idea,1.1.4.1,,"Every individual has unique skills and qualities, which can include the activities they enjoy such as how they may dress, their mannerisms, things they like to do.",KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.4.1.1,2.1.2.SSH.1,Discuss how individuals make their own choices about how to express themselves.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.4.1.2,2.1.2.SSH.2,Discuss the range of ways people express their gender and how gender-role stereotypes may limit behavior.,KG-02,2025-05-16T19:02:03+00:00
Core Idea,1.1.4.2,,"Families shape the way we think about our bodies, our health and our behaviors.",KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.4.2.1,2.1.2.SSH.3,"Describe different kinds of families locally, nationally and globally and note similarities in the ways in which they keep their children safe.",KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.4.2.2,2.1.2.SSH.4,Determine the factors that contribute to healthy relationships within a family.,KG-02,2025-05-16T19:02:03+00:00
Core Idea,1.1.4.3,,People have relationships with others in the local community and beyond.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.4.3.1,2.1.2.SSH.5,Identify basic social needs of all people.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.4.3.2,2.1.2.SSH.6,Determine the factors that contribute to healthy relationships.,KG-02,2025-05-16T19:02:03+00:00
Core Idea,1.1.4.4,,Communication is the basis for strengthening relationships and resolving conflict between people.,KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.4.4.1,2.1.2.SSH.7,Explain healthy ways for friends to express feelings for and to one another.,KG-02,2025-05-16T19:02:03+00:00
Core Idea,1.1.4.5,,"Conflicts between people occur, and there are effective ways to resolve them.",KG-02,2025-05-16T19:02:03+00:00
Performance Expectation,1.1.4.5.1,2.1.2.SSH.8,"Demonstrate healthy ways to respond to disagreements or conflicts with others (e.g., leave, talk to trusted adults, tell a sibling or peer).",KG-02,2025-05-16T19:02:03+00:00
