Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,8.1,Computer Science,,2025-02-27T22:43:08+00:00
Grade Range,1.1,8.1.2,By the End of Grade 2,KG-02,2025-02-27T23:00:55+00:00
Disciplinary Concept,1.1.1,8.1.2.CS,Computing Systems,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.1.1,,Individuals use computing devices to perform a variety of tasks accurately and quickly. Computing devices interpret and follow the instructions they are given literally.,KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.1.1.1,8.1.2.CS.1,Select and operate computing devices that perform a variety of tasks accurately and quickly based on user needs and preferences.,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.1.2,,A computing system is composed of software and hardware.,KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.1.2.1,8.1.2.CS.2,Explain the functions of common software and hardware components of computing systems.,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.1.3,,Describing a problem is the first step toward finding a solution when computing systems do not work as expected.,KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.1.3.1,8.1.2.CS.3,Describe basic hardware and software problems using accurate terminology.,KG-02,2025-02-27T23:00:55+00:00
Disciplinary Concept,1.1.2,8.1.2.NI,Networks and the Internet,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.2.1,,"Computer networks can be used to connect individuals to other individuals, places, information, and ideas. The Internet enables individuals to connect with others worldwide.",KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.2.1.1,8.1.2.NI.1,"Model and describe how individuals use computers to connect to other individuals, places, information, and ideas through a network.",KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.2.1.2,8.1.2.NI.2,Describe how the Internet enables individuals to connect with others worldwide.,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.2.2,,"Connecting devices to a network or the Internet provides great benefits, but care must be taken to use authentication measures, such as strong passwords, to protect devices and information from unauthorized access.",KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.2.2.1,8.1.2.NI.3,Create a password that secures access to a device. Explain why it is important to create unique passwords that are not shared with others.,KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.2.2.2,8.1.2.NI.4,Explain why access to devices need to be secured.,KG-02,2025-02-27T23:00:55+00:00
Disciplinary Concept,1.1.3,8.1.2.IC,Impacts of Computing,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.3.1,,"Computing technology has positively and negatively changed the way individuals live and work (e.g., entertainment, communication, productivity tools).",KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.3.1.1,8.1.2.IC.1,Compare how individuals live and work before and after the implementation of new computing technology.,KG-02,2025-02-27T23:00:55+00:00
Disciplinary Concept,1.1.4,8.1.2.DA,Data & Analysis,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.4.1,,"Individuals collect, use, and display data about individuals and the world around them.",KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.4.1.1,8.1.2.DA.1,"Collect and present data, including climate change data, in various visual formats.",KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.4.2,,"Computers store data that can be retrieved later. Data can be copied, stored in multiple locations, and retrieved.",KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.4.2.1,8.1.2.DA.2,"Store, copy, search, retrieve, modify, and delete data using a computing device.",KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.4.3,,Data can be used to make predictions about the world.,KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.4.3.1,8.1.2.DA.3,Identify and describe patterns in data visualizations.,KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.4.3.2,8.1.2.DA.4,Make predictions based on data using charts or graphs.,KG-02,2025-02-27T23:00:55+00:00
Disciplinary Concept,1.1.5,8.1.2.AP,Algorithms & Programming,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.5.1,,Individuals develop and follow directions as part of daily life. A sequence of steps can be expressed as an algorithm that a computer can process.,KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.5.1.1,8.1.2.AP.1,Model daily processes by creating and following algorithms to complete tasks.,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.5.2,,"Real world information can be stored and manipulated in programs as data (e.g., numbers, words, colors, images).",KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.5.2.1,8.1.2.AP.2,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.5.3,,Computers follow precise sequences of steps that automate tasks.,KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.5.3.1,8.1.2.AP.3,Create programs with sequences and simple loops to accomplish tasks.,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.5.4,,"Complex tasks can be broken down into simpler instructions, some of which can be broken down even further.",KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.5.4.1,8.1.2.AP.4,Break down a task into a sequence of steps.,KG-02,2025-02-27T23:00:55+00:00
Core Idea,1.1.5.5,,"People work together to develop programs for a purpose, such as expressing ideas or addressing problems. The development of a program involves identifying a sequence of events, goals, and expected outcomes, and addressing errors (when necessary).",KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.5.5.1,8.1.2.AP.5,"Describe a program’s sequence of events, goals, and expected outcomes.",KG-02,2025-02-27T23:00:55+00:00
Performance Expectation,1.1.5.5.2,8.1.2.AP.6,Debug errors in an algorithm or program that includes sequences and simple loops.,KG-02,2025-02-27T23:00:55+00:00
Grade Range,1.2,8.1.5,By the End of Grade 5,03-05,2025-02-27T23:01:39+00:00
Disciplinary Concept,1.2.1,8.1.5.CS,Computing Systems,03-05,2025-02-27T23:01:39+00:00
Core Idea,1.2.1.1,,Computing devices may be connected to other devices to form a system as a way to extend their capabilities.,03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.1.1.1,8.1.5.CS.1,Model how computing devices connect to other components to form a system.,03-05,2025-02-27T23:01:39+00:00
Core Idea,1.2.1.2,,"Software and hardware work together as a system to accomplish tasks (e.g., sending, receiving, processing, and storing units of information).",03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.1.2.1,8.1.5.CS.2,Model how computer software and hardware work together as a system to accomplish tasks.,03-05,2025-02-27T23:01:39+00:00
Core Idea,1.2.1.3,,Shared features allow for common troubleshooting strategies that can be effective for many systems.,03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.1.3.1,8.1.5.CS.3,Identify potential solutions for simple hardware and software problems using common troubleshooting strategies.,03-05,2025-02-27T23:01:39+00:00
Disciplinary Concept,1.2.2,8.1.5.NI,Networks and the Internet,03-05,2025-02-27T23:01:39+00:00
Core Idea,1.2.2.1,,Information needs a physical or wireless path to travel to be sent and received.,03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.2.1.1,8.1.5.NI.1,Develop models that successfully transmit and receive information using both wired and wireless methods.,03-05,2025-02-27T23:01:39+00:00
Core Idea,1.2.2.2,,"Distinguishing between public and private information is important for safe and secure online interactions. Information can be protected using various security measures (i.e., physical and digital).",03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.2.2.1,8.1.5.NI.2,Describe physical and digital security measures for protecting sensitive personal information.,03-05,2025-02-27T23:01:39+00:00
Disciplinary Concept,1.2.3,8.1.5.IC,Impacts of Computing,03-05,2025-02-27T23:01:39+00:00
Core Idea,1.2.3.1,,The development and modification of computing technology is driven by individual’s needs and wants and can affect individuals differently.,03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.3.1.1,8.1.5.IC.1,Identify computing technologies that have impacted how individuals live and work and describe the factors that influenced the changes.,03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.3.1.2,8.1.5.IC.2,Identify possible ways to improve the accessibility and usability of computing technologies to address the diverse needs and wants of users.,03-05,2025-02-27T23:01:39+00:00
Disciplinary Concept,1.2.4,8.1.5.DA,Data & Analysis,03-05,2025-02-27T23:01:39+00:00
Core Idea,1.2.4.1,,"Data can be organized, displayed, and presented to highlight relationships.",03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.4.1.1,8.1.5.DA.1,"Collect, organize, and display data in order to highlight relationships or support a claim.",03-05,2025-02-27T23:01:39+00:00
Core Idea,1.2.4.2,,The type of data being stored affects the storage requirements.,03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.4.2.1,8.1.5.DA.2,Compare the amount of storage space required for different types of data.,03-05,2025-02-27T23:01:39+00:00
Core Idea,1.2.4.3,,"Individuals can select, organize, and transform data into different visual representations and communicate insights gained from the data.",03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.4.3.1,8.1.5.DA.3,Organize and present collected data visually to communicate insights gained from different views of the data.,03-05,2025-02-27T23:01:39+00:00
Performance Expectation,1.2.4.3.2,8.1.5.DA.4,Organize and present climate change data visually to highlight relationships or support a claim.,03-05,2025-02-27T23:01:39+00:00
