Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Grades K-1,KG-01,2025-05-16T19:18:00+00:00
Concept,1.1,,Impacts of Computing,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.1.1,,Society,KG-01,2025-05-16T19:18:00+00:00
Standard,1.1.1.1,K-1.IC.1,Identify and discuss how tasks are accomplished with and without computing technology.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.1.1.2,K-1.IC.2,Identify and explain classroom and home rules related to computing technologies.,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.1.2,,Ethics,KG-01,2025-05-16T19:18:00+00:00
Standard,1.1.2.1,K-1.IC.3,"Identify computing technologies in the classroom, home, and community.",KG-01,2025-05-16T19:18:00+00:00
Standard,1.1.2.2,K-1.IC.4,Identify public and private spaces in our daily lives.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.1.2.3,K-1.IC.5,This Standard begins in Grade Band 2-3,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.1.3,,Accessibility,KG-01,2025-05-16T19:18:00+00:00
Standard,1.1.3.1,K-1.IC.6,"With teacher support, identify different ways people interact with computers and computing devices.",KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.1.4,,Career Paths,KG-01,2025-05-16T19:18:00+00:00
Standard,1.1.4.1,K-1.IC.7,Identify multiple jobs that use computing technologies.,KG-01,2025-05-16T19:18:00+00:00
Concept,1.2,,Computational Thinking,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.2.1,,Modeling and Simulation,KG-01,2025-05-16T19:18:00+00:00
Standard,1.2.1.1,K-1.CT.1,"Identify and describe one or more patterns (found in nature or designed), and examine the patterns to find similarities and make predictions.",KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.2.2,,Data Analysis and Visualization,KG-01,2025-05-16T19:18:00+00:00
Standard,1.2.2.1,K-1.CT.2,Identify different kinds of data that can be collected from everyday life.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.2.2.2,K-1.CT.3,"Identify ways to visualize data, and collaboratively create a visualization of data.",KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.2.3,,Abstraction and Decomposition,KG-01,2025-05-16T19:18:00+00:00
Standard,1.2.3.1,K-1.CT.4,Identify a problem or task and discuss ways to break it into multiple smaller steps.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.2.3.2,K-1.CT.5,Recognize that the same task can be described at different levels of detail.,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.2.4,,Algorithms and Programming,KG-01,2025-05-16T19:18:00+00:00
Standard,1.2.4.1,K-1.CT.6,Follow an algorithm to complete a task.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.2.4.2,K-1.CT.7,Identify terms that refer to different concrete values over time.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.2.4.3,K-1.CT.8,"Identify a task consisting of steps that are repeated, and recognize which steps are repeated.",KG-01,2025-05-16T19:18:00+00:00
Standard,1.2.4.4,K-1.CT.9,Identify and fix (debug) errors within a simple algorithm.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.2.4.5,K-1.CT.10,Collaboratively create a plan that outlines the steps needed to complete a task.,KG-01,2025-05-16T19:18:00+00:00
Concept,1.3,,Networks and Systems Design,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.3.1,,Hardware and Software,KG-01,2025-05-16T19:18:00+00:00
Standard,1.3.1.1,K-1.NSD.1,Identify ways people provide input and get output from computing devices.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.3.1.2,K-1.NSD.2,Identify basic hardware components that are found in computing devices.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.3.1.3,K-1.NSD.3,Identify basic hardware and/or software problems.,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.3.2,,Networks and the Internet,KG-01,2025-05-16T19:18:00+00:00
Standard,1.3.2.1,K-1.NSD.4,Identify how protocols/rules help people share information over long distances.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.3.2.2,K-1.NSD.5,Identify physical devices that can store information.,KG-01,2025-05-16T19:18:00+00:00
Concept,1.4,,Cybersecurity,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.4.1,,Risks,KG-01,2025-05-16T19:18:00+00:00
Standard,1.4.1.1,K-1.CY.1,Identify reasons for keeping information private.,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.4.2,,Safeguards,KG-01,2025-05-16T19:18:00+00:00
Standard,1.4.2.1,K-1.CY.2,Identify simple ways to help keep accounts secure.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.4.2.2,K-1.CY.3,This Standard begins in Grade Band 2-3,KG-01,2025-05-16T19:18:00+00:00
Standard,1.4.2.3,K-1.CY.4,Decode a word or short message using a simple code.,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.4.3,,Response,KG-01,2025-05-16T19:18:00+00:00
Standard,1.4.3.1,K-1.CY.5,Identify when it is appropriate to open and/or click on links or files.,KG-01,2025-05-16T19:18:00+00:00
Concept,1.5,,Digital Literacy,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.5.1,,Digital Use,KG-01,2025-05-16T19:18:00+00:00
Standard,1.5.1.1,K-1.DL.1,Identify and explore the keys on a keyboard.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.5.1.2,K-1.DL.2,Communicate and work with others using digital tools.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.5.1.3,K-1.DL.3,Conduct a basic search based on a provided keyword.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.5.1.4,K-1.DL.4,Use a least one digital tool to create a digital artifact.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.5.1.5,K-1.DL.5,This Standard begins in Grade Band 4-6.,KG-01,2025-05-16T19:18:00+00:00
Sub-Concept,1.5.2,,Digital Citizenship,KG-01,2025-05-16T19:18:00+00:00
Standard,1.5.2.1,K-1.DL.6,This Standard begins in Grade Band 2-3.,KG-01,2025-05-16T19:18:00+00:00
Standard,1.5.2.2,K-1.DL.7,"Identify actions that promote good digital citizenship, and those that do not.",KG-01,2025-05-16T19:18:00+00:00
Grade Band,2,,Grades 2-3,02-03,2025-05-16T19:18:07+00:00
Concept,2.1,,Impacts of Computing,02-03,2025-05-16T19:18:07+00:00
Sub-Concept,2.1.1,,Society,02-03,2025-05-16T19:18:07+00:00
Standard,2.1.1.1,2-3.IC.1,Identify and analyze how computing technology has changed the way people live and work.,02-03,2025-05-16T19:18:07+00:00
Standard,2.1.1.2,2-3.IC.2,Compare and explain rules related to computing technologies and digital information.,02-03,2025-05-16T19:18:07+00:00
Sub-Concept,2.1.2,,Ethics,02-03,2025-05-16T19:18:07+00:00
Standard,2.1.2.1,2-3.IC.3,Discuss and explain how computing technology can be used in society and the world.,02-03,2025-05-16T19:18:07+00:00
Standard,2.1.2.2,2-3.IC.4,Identify public and private digital spaces.,02-03,2025-05-16T19:18:07+00:00
Standard,2.1.2.3,2-3.IC.5,Identify and discuss how computers are programmed to make decisions without direct human input in daily life.,02-03,2025-05-16T19:18:07+00:00
Sub-Concept,2.1.3,,Accessibility,02-03,2025-05-16T19:18:07+00:00
