Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Elementary,KG-05,2025-05-16T21:52:12+00:00
Health Education Skill,1.1,,**Self-Management** Demonstrates the ability to practice strategies and skills to enhance personal health and safety,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.1.1,SM.E.1,Conducts a personal assessment of health and safety knowledge and skills,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.1.2,SM.E.2,"Identifies the attributes (knowledge, skills, competencies) of a safe and healthy person",KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.1.3,SM.E.3,Compares the personal assessment results to the healthy attributes to identify personal health and safety strengths and needs (may need adult assistance),KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.1.4,SM.E.4,Explores the benefits and harmful consequences of behaviors based on the personal health and safety assessment,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.1.5,SM.E.5,Selects and applies a health skill to improve personal health and safety,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.1.6,SM.E.6,Identifies and requests support from person(s) who could be helpful,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.1.7,SM.E.7,Identifies health and safety resources that could be helpful,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.1.8,SM.E.8,Celebrates and rewards self for personal health and safety accomplishments,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.1.9,SM.E.9,"If appropriate, extends to relationship and/or health advocacy skill",KG-05,2025-05-16T21:52:12+00:00
Health Education Skill,1.2,,"**Relationship Management** Demonstrates the ability to apply interpersonal and intra-personal strategies and skills to enhance personal, family and community health",KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.2.1,RM.E.1,"Conducts a personal assessment of relationship management (nurturing, empathy, respect, responsibility) knowledge and skills",KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.2.2,RM.E.2,"Identifies the attributes (knowledge, skills, competencies) of a nurturing, empathetic, respectful, responsible person",KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.2.3,RM.E.3,Compares the personal assessment results with the attributes to identify personal strengths and need areas,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.2.4,RM.E.4,Explores the benefits and harmful consequences of behaviors based on the assessment,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.2.5,RM.E.5,Selects and applies a health skill to improve personal health and safety,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.2.6,RM.E.6,Demonstrates positive interpersonal and intra-personal behaviors when working with others (including diverse populations),KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.2.7,RM.E.7,Identifies real-life situations that could lead to conflict and demonstrates win-win resolutions,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.2.8,RM.E.8,Identifies health and safety resources that could be helpful,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.2.9,RM.E.9,Celebrates and rewards self for inter-personal and intrapersonal health and safety accomplishments,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.2.10,RM.E.10,"If appropriate, extends to health advocacy skill",KG-05,2025-05-16T21:52:12+00:00
Health Education Skill,1.3,,**Stress Management** Demonstrates the ability to apply stress management strategies and skills to enhance personal health,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.3.1,ST.E.1,Explains what stress is and discovers personal stressors,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.3.2,ST.E.2,Categorizes stressors on personal health,KG-05,2025-05-16T21:52:12+00:00
Performance Indicator,1.3.3,ST.E.3,Identifies physical and emotional reactions to personal stress,KG-05,2025-05-16T21:52:12+00:00
