Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Elementary,KG-05,2025-05-16T21:34:16+00:00
Standard,1.1,E.S1,Personal Health and Fitness,KG-05,2025-05-16T21:34:16+00:00
Strand,1.1.1,E.S1.HE,Health Education,KG-05,2025-05-16T21:34:16+00:00
Key Idea,1.1.1.1,E.S1.HE.1,Students will understand human growth and development and recognize the relationship between behaviors and healthy development. They will understand ways to promote health and prevent disease and will demonstrate and practice positive health behaviors.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.1.1.1,E.S1.HE.1.a,*Students* know how basic body systems work and interrelate in normal patterns of growth and development.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.1.1.2,E.S1.HE.1.b,*Students* possess basic knowledge and skills which support positive health choices and behaviors.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.1.1.3,E.S1.HE.1.c,"*Students* understand how behaviors such as food selection, exercise, and rest affect growth and development.",KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.1.1.4,E.S1.HE.1.d,*Students* recognize influences which affect health choices and behaviors.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.1.1.5,E.S1.HE.1.e,*Students* know about some diseases and disorders and how they are prevented and treated.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.1.1.6,E.S1.HE.1.f,*Students* practice and support others in making healthy choices.,KG-05,2025-05-16T21:34:16+00:00
Strand,1.1.2,E.S1.PE,Physical Education,KG-05,2025-05-16T21:34:16+00:00
Key Idea,1.1.2.1,E.S1.PE.1,"Students will perform basic motor and manipulative skills. They will attain competency in a variety of physical activities and proficiency in a few select complex motor and sports activities. Students will design personal fitness programs to improve cardiorespiratory endurance, flexibility, muscular strength, endurance, and body composition.",KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.2.1.1,E.S1.PE.1.a,"*Students* participate in physical activities (games, sports, exercises) that provide conditioning for each fitness area.",KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.2.1.2,E.S1.PE.1.b,"*Students* develop physical fitness skills through regular practice, effort, and perseverance.",KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.2.1.3,E.S1.PE.1.c,"*Students* demonstrate mastery of fundamental motor, non-locomotor, and manipulative skills, and understand fundamental principles of movement.",KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.2.1.4,E.S1.PE.1.d,"*Students* understand the effects of activity on the body, the risks associated with inactivity, and the basic components of health-related fitness (cardiovascular, muscle strength, muscle endurance, flexibility, and body composition)",KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.2.1.5,E.S1.PE.1.e,"*Students* demonstrate and assess their fitness by performing exercises or activities related to each health-related fitness component, and establish personal goals to improve their fitness.",KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.2.1.6,E.S1.PE.1.f,*Students* understand the relationship between physical activity and individual well being.,KG-05,2025-05-16T21:34:16+00:00
Strand,1.1.3,E.S1.FCS,Family and Consumer Sciences,KG-05,2025-05-16T21:34:16+00:00
Key Idea,1.1.3.1,E.S1.FCS.1,Students will use an understanding of the elements of good nutrition to plan appropriate diets for themselves and others. They will know and use the appropriate tools and technologies for safe and healthy food preparation.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.3.1.1,E.S1.FCS.1.a,"*Students* understand the importance of nutritious food and how it contributes to good health, make simple nutritious food choices, and assist with basic food preparation.",KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.3.1.2,E.S1.FCS.1.b,*Students* use simple household tools safely to perform a variety of everyday tasks.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.1.3.1.3,E.S1.FCS.1.c,*Students* recognize how a family contributes to personal health.,KG-05,2025-05-16T21:34:16+00:00
Standard,1.2,E.S2,A Safe and Healthy Environment,KG-05,2025-05-16T21:34:16+00:00
Strand,1.2.1,E.S2.HE,Health Education,KG-05,2025-05-16T21:34:16+00:00
Key Idea,1.2.1.1,E.S2.HE.1,Students will demonstrate personally and socially responsible behaviors. They will care for and respect themselves and others. They will recognize threats to the environment and offer appropriate strategies to minimize them.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.2.1.1.1,E.S2.HE.1.a,*Students* understand basic safety rules.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.2.1.1.2,E.S2.HE.1.b,*Students* recognize potentially dangerous situations and know how to avoid or reduce their risk.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.2.1.1.3,E.S2.HE.1.c,*Students* know some personal and social skills which contribute to individual safety.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.2.1.1.4,E.S2.HE.1.d,*Students* recognize characteristics of the environment that contribute to health.,KG-05,2025-05-16T21:34:16+00:00
Strand,1.2.2,E.S2.PE,Physical Education,KG-05,2025-05-16T21:34:16+00:00
Key Idea,1.2.2.1,E.S2.PE.1,Students will demonstrate responsible personal and social behavior while engaged in physical activity.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.2.2.1.1,E.S2.PE.1.a,"*Students* contribute to a safe and healthy environment by observing safe conditions for games, recreation, and outdoor activities.",KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.2.2.1.2,E.S2.PE.1.b,*Students* come to know and practice appropriate participant and spectator behaviors to produce a safe and positive environment.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.2.2.1.3,E.S2.PE.1.c,*Students* work constructively with others to accomplish a variety of goals and tasks.,KG-05,2025-05-16T21:34:16+00:00
Performance Indicator,1.2.2.1.4,E.S2.PE.1.d,*Students* know how injuries from physical activity can be prevented or treated.,KG-05,2025-05-16T21:34:16+00:00
