Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Checkpoint,1,,Checkpoint A,KG-12,2025-05-23T15:18:42+00:00
Standard,1.1,A.S1,Communication Skills,KG-12,2025-05-23T15:18:42+00:00
Strand,1.1.1,A.S1.ML,Modern Languages,KG-12,2025-05-23T15:18:42+00:00
Key Idea,1.1.1.1,A.S1.ML.1,"Listening and speaking are primary communicative goals in modern language learning. These skills are used for the purposes of socializing, providing and acquiring information, expressing personal feelings and opinions, and getting others to adopt a course of action.",KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.1.1.1,A.S1.ML.1.a,*Students can* comprehend language consisting of simple vocabulary and structures in face-to-face conversation with peers and familiar adults,KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.1.1.2,A.S1.ML.1.b,*Students can* comprehend the main idea of more extended conversations with some unfamiliar vocabulary and structures as well as cognates of English words,KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.1.1.3,A.S1.ML.1.c,"*Students can* call upon repetition, rephrasing, and nonverbal cues to derive or convey meaning from a language other than English",KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.1.1.4,A.S1.ML.1.d,"*Students can* use appropriate strategies to initiate and engage in simple conversations with more fluent or native speakers of the same age group, familiar adults, and providers of common public services.",KG-12,2025-05-23T15:18:42+00:00
Key Idea,1.1.1.2,A.S1.ML.2,"Reading and writing are used in languages other than English for the purposes of socializing, providing and acquiring information, expressing personal feelings and opinions, and getting others to adopt a course of action.",KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.1.2.1,A.S1.ML.2.a,*Students can* understand the main idea and some details of simple informative materials written for native speakers,KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.1.2.2,A.S1.ML.2.b,"*Students can* compose short, informal notes and messages to exchange information with members of the target culture.",KG-12,2025-05-23T15:18:42+00:00
Strand,1.1.2,A.S1.L,Latin,KG-12,2025-05-23T15:18:42+00:00
Key Idea,1.1.2.1,A.S1.L.1,"Reading is the most important skill that students acquire in learning Latin for it is the vehicle through which communication with the ancient world is possible, and it is also the tool, along with writing, through which students become more aware of their own and other languages.",KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.2.1.1,A.S1.L.1.a,*Students can* read and understand simple connected materials written in Latin,KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.2.1.2,A.S1.L.1.b,"*Students can* write simple responses to oral, visual, or written stimuli",KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.2.1.3,A.S1.L.1.c,"*Students can* demonstrate an awareness of the vocabulary, grammar, derivation, and word structure of English.",KG-12,2025-05-23T15:18:42+00:00
Key Idea,1.1.2.2,A.S1.L.2,Listening and speaking support the reading skills in Latin.,KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.2.2.1,A.S1.L.2.a,*Students can* recognize and comprehend simple spoken Latin statements and questions based on classroom situations,KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.2.2.2,A.S1.L.2.b,*Students can* articulate simple Latin phrases and convey meaning in controlled situations.,KG-12,2025-05-23T15:18:42+00:00
Strand,1.1.3,A.S1.ASL,American Sign Language,KG-12,2025-05-23T15:18:42+00:00
Key Idea,1.1.3.1,A.S1.ASL.1,Visual-gestural skills provide a means of communication with Deaf people in the context of the Deaf culture.,KG-12,2025-05-23T15:18:42+00:00
Performance Indicator,1.1.3.1.1,A.S1.ASL.1.a,*Students can* use receptive skills to comprehend simple statements and questions in standard dialect,KG-12,2025-05-23T15:18:42+00:00
