Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,English Language Arts Anchor Standards,PK-12,2023-11-19T00:00:00+00:00
Strand,1.1,,Reading Anchor Standards,PK-12,2023-11-19T00:00:00+00:00
Cluster,1.1.1,,Key Ideas and Details,PK-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.1,Standard 1,Read closely to determine what the text says explicitly/implicitly and make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,PK-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.2,Standard 2,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,PK-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.3,Standard 3,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",PK-12,2023-11-19T00:00:00+00:00
Cluster,1.1.2,,Craft and Structure,PK-12,2023-11-19T00:00:00+00:00
Standard,1.1.2.1,Standard 4,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",PK-12,2023-11-19T00:00:00+00:00
Standard,1.1.2.2,Standard 5,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",PK-12,2023-11-19T00:00:00+00:00
Standard,1.1.2.3,Standard 6,"Assess how point of view or purpose shapes the content and style of a text, drawing on a wide range of global and diverse texts.",PK-12,2023-11-19T00:00:00+00:00
Cluster,1.1.3,,Integration of Knowledge and Ideas,PK-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.1,Standard 7,Integrate and evaluate content presented in diverse media and formats.,PK-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.2,Standard 8,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",PK-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.3,Standard 9,"Analyze and evaluate texts using knowledge of literary forms, elements, and devices through a variety of lenses and perspectives.",PK-12,2023-11-19T00:00:00+00:00
Strand,1.2,,Writing Anchor Standards,PK-12,2023-11-19T00:00:00+00:00
Cluster,1.2.1,,Text Types and Purposes,PK-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.1,Standard 1,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",PK-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.2,Standard 2,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",PK-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.3,Standard 3,"Write narratives to develop real or imagined experiences or events using effective techniques, well-chosen details, and well-structured event sequences.",PK-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.4,Standard 4,"Develop personal, cultural, textual, and thematic connections within and across genres through written responses to texts and personal experiences.",PK-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.5,Standard 5,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",PK-12,2023-11-19T00:00:00+00:00
Cluster,1.2.2,,Research to Build and Present Knowledge,PK-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.1,Standard 6,Conduct research based on focused questions to demonstrate understanding of the subject under investigation.,PK-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.2,Standard 7,"Gather relevant information from multiple sources, assess the credibility and accuracy of each source, and integrate the information in writing while avoiding plagiarism",PK-12,2023-11-19T00:00:00+00:00
Strand,1.3,,Speaking and Listening Anchor Standards,PK-12,2023-11-19T00:00:00+00:00
Cluster,1.3.1,,Comprehension and Collaboration,PK-12,2023-11-19T00:00:00+00:00
Standard,1.3.1.1,Standard 1,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners; express ideas clearly and persuasively, and build on those of others.",PK-12,2023-11-19T00:00:00+00:00
Standard,1.3.1.2,Standard 2,"Integrate and evaluate information presented in diverse media and formats (including visual, quantitative, and oral).",PK-12,2023-11-19T00:00:00+00:00
Standard,1.3.1.3,Standard 3,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric.",PK-12,2023-11-19T00:00:00+00:00
