Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards for Mathematical Practice,PK-12,2025-02-26T08:50:55+00:00
Standard,1.1,MP.1,Make sense of problems and persevere in solving them.,PK-12,2025-02-26T08:50:55+00:00
Standard,1.2,MP.2,Reason abstractly and quantitatively.,PK-12,2025-02-26T08:50:55+00:00
Standard,1.3,MP.3,Construct viable arguments and critique the reasoning of others.,PK-12,2025-02-26T08:50:55+00:00
Standard,1.4,MP.4,Model with mathematics.,PK-12,2025-02-26T08:50:55+00:00
Standard,1.5,MP.5,Use appropriate tools strategically.,PK-12,2025-02-26T08:50:55+00:00
Standard,1.6,MP.6,Attend to precision.,PK-12,2025-02-26T08:50:55+00:00
Standard,1.7,MP.7,Look for and make use of structure.,PK-12,2025-02-26T08:50:55+00:00
Standard,1.8,MP.8,Look for and express regularity in repeated reasoning.,PK-12,2025-02-26T08:50:55+00:00
,2,,Standards for Mathematical Content P-8,PK-08,2025-02-26T08:50:55+00:00
Grade Level,2.1,,Pre-Kindergarten,PK,2025-02-26T08:50:55+00:00
Domain,2.1.1,NY-PK.CC,Counting and Cardinality,PK,2025-02-26T08:50:55+00:00
Cluster,2.1.1.1,,Know number names and the count sequence.,PK,2025-02-26T08:50:55+00:00
Standard,2.1.1.1.1,NY-PK.CC.1,Count to 20.,PK,2025-02-26T08:50:55+00:00
Standard,2.1.1.1.2,NY-PK.CC.2,"Represent a number of objects (0 - 5), with a written numeral 0–5 (with 0 representing a count of no objects).",PK,2025-02-26T08:50:55+00:00
Cluster,2.1.1.2,,Count to tell the number of objects.,PK,2025-02-26T08:50:55+00:00
Standard,2.1.1.2.1,NY-PK.CC.3,Understand the relationship between numbers and quantities to 10; connect counting to cardinality.,PK,2025-02-26T08:50:55+00:00
Component,2.1.1.2.1.1,NY-PK.CC.3.a,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object. (1:1 correspondence)",PK,2025-02-26T08:50:55+00:00
Component,2.1.1.2.1.2,NY-PK.CC.3.b,"Explore and develop the concept that the last number name said tells the number of objects counted, (cardinality). The number of objects is the same regardless of their arrangement or the order in which they were counted.",PK,2025-02-26T08:50:55+00:00
Component,2.1.1.2.2,NY-PK.CC.4.a,"Answer counting questions using as many as 10 objects arranged in a line, a rectangular array, and a circle. Answer counting questions using as many as 5 objects in a scattered configuration.",PK,2025-02-26T08:50:55+00:00
Component,2.1.1.2.3,NY-PK.CC.4.b,"Given a number from 1–10, count out that many objects.",PK,2025-02-26T08:50:55+00:00
Cluster,2.1.1.3,,Compare numbers.,PK,2025-02-26T08:50:55+00:00
Standard,2.1.1.3.1,NY-PK.CC.5,"Recognize whether the number of objects in one group is more than, fewer than, or equal to (the same as) the number of objects in another group.",PK,2025-02-26T08:50:55+00:00
Standard,2.1.1.3.2,NY-PK.CC.6,Identify “first” and “last” related to order or position.,PK,2025-02-26T08:50:55+00:00
Domain,2.1.2,NY-PK.OA,Operations and Algebraic Thinking,PK,2025-02-26T08:50:55+00:00
Cluster,2.1.2.1,,Understand addition as adding to and understand subtraction as taking from.,PK,2025-02-26T08:50:55+00:00
Standard,2.1.2.1.1,NY-PK.OA.1,"Explore addition and subtraction by using objects, fingers, and responding to real world situations.",PK,2025-02-26T08:50:55+00:00
Cluster,2.1.2.2,,Understand simple patterns.,PK,2025-02-26T08:50:55+00:00
Standard,2.1.2.2.1,NY-PK.OA.2,Duplicate and extend simple patterns using concrete objects.,PK,2025-02-26T08:50:55+00:00
Domain,2.1.3,NY-PK.MD,Measurement and Data,PK,2025-02-26T08:50:55+00:00
