Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Lifelong Practices,1,,Physical Education Lifelong Practices,KG-12,2025-05-16T21:05:28+00:00
Practices,1.1,,Demonstrates perseverance and resilience.,KG-12,2025-05-16T21:05:28+00:00
Practices,1.2,,"Advocates for self, others, and community.",KG-12,2025-05-16T21:05:28+00:00
Practices,1.3,,Respects and embraces individual and cultural differences.,KG-12,2025-05-16T21:05:28+00:00
Practices,1.4,,Adapts to multiple environments.,KG-12,2025-05-16T21:05:28+00:00
Practices,1.5,,Acquires skills necessary to live a healthy life.,KG-12,2025-05-16T21:05:28+00:00
Practices,1.6,,Demonstrates a commitment to safety.,KG-12,2025-05-16T21:05:28+00:00
Practices,1.7,,Uses motivational strategies to encourage self and others’ participation in a physical activity.,KG-12,2025-05-16T21:05:28+00:00
Practices,1.8,,Exhibits civility when confronted with adversity.,KG-12,2025-05-16T21:05:28+00:00
Practices,1.9,,Connects the physical well-being to social emotional wellness.,KG-12,2025-05-16T21:05:28+00:00
Grade,2,,Prekindergarten,PK,2025-03-26T14:17:36+00:00
Anchor Standard,2.1,,Physical Development,PK,2025-03-26T14:17:36+00:00
Strand,2.1.1,,Uses sense to assist and guide learning.,PK,2025-03-26T14:17:36+00:00
Outcome,2.1.1.1,1.1.PRK.a,"Identifies sights, smells, sounds, tastes, and textures.",PK,2025-03-26T14:17:36+00:00
Outcome,2.1.1.2,1.2.PRK.b,"Compares and contrasts different sights, smells, tastes, and textures.",PK,2025-03-26T14:17:36+00:00
Outcome,2.1.1.3,1.3.PRK.c,"Communicates to discuss sights, smells, sounds, tastes, and textures.",PK,2025-03-26T14:17:36+00:00
Strand,2.1.2,,Uses sensory information to plan and carry out movements.,PK,2025-03-26T14:17:36+00:00
Outcome,2.1.2.1,2.1.PRK.a,Demonstrates appropriate body awareness when moving in different spaces.,PK,2025-03-26T14:17:36+00:00
Outcome,2.1.2.2,2.2.PRK.b,Exhibits appropriate body movements when carrying out a task.,PK,2025-03-26T14:17:36+00:00
Outcome,2.1.2.3,2.3.PRK.c,Demonstrates awareness of spatial boundaries and the ability to work within them.,PK,2025-03-26T14:17:36+00:00
Strand,2.1.3,,Demonstrates coordination and control of larger muscles.,PK,2025-03-26T14:17:36+00:00
Outcome,2.1.3.1,3.1.PRK.a,Displays an upright posture when standing or seated.,PK,2025-03-26T14:17:36+00:00
Outcome,2.1.3.2,3.2.PRK.b,"Maintains balance during sitting, standing, and movement activities.",PK,2025-03-26T14:17:36+00:00
Outcome,2.1.3.3,3.3.PRK.c,"Runs, jumps, walks in a straight line, and hops on one foot.",PK,2025-03-26T14:17:36+00:00
Outcome,2.1.3.4,3.4.PRK.d,Navigates stairs using alternating feet.,PK,2025-03-26T14:17:36+00:00
Outcome,2.1.3.5,3.5.PRK.e,"Puts on age-appropriate clothing items, such as shirts, jackets, pants, shoes, etc.",PK,2025-03-26T14:17:36+00:00
Strand,2.1.4,,Combines a sequence of large motor skills with and without the use of equipment.,PK,2025-03-26T14:17:36+00:00
Outcome,2.1.4.1,4.1.PRK.a,Navigates age-appropriate playground equipment.,PK,2025-03-26T14:17:36+00:00
