Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Elementary School (K-5),,2023-08-11T20:34:05+00:00
Course,1.1,,Kindergarten: A Child's Place in Time and Space,KG,2023-08-15T17:09:44+00:00
Strand,1.1.1,,History,KG,2023-08-15T17:09:44+00:00
Topic,1.1.1.1,,Historical Thinking and Skills,KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.1.1.1,K.1,Time can be measured.,KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.1.1.2,K.2,Personal history can be shared through stories and pictures.,KG,2023-08-15T17:09:44+00:00
Topic,1.1.1.2,,Heritage,KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.1.2.1,K.3,"Heritage is reflected through diverse cultures and is shown through the arts, customs, traditions, family celebrations and language.",KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.1.2.2,K.4,"Symbols and practices of the United States include the flag, Pledge of Allegiance and the National Anthem. Other nations are represented by symbols and practices too.",KG,2023-08-15T17:09:44+00:00
Strand,1.1.2,,Geography,KG,2023-08-15T17:09:44+00:00
Topic,1.1.2.1,,Spatial Thinking and Skills,KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.2.1.1,K.5,"Terms related to direction and distance, as well as symbols and landmarks, can be used to talk about the relative location of familiar places.",KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.2.1.2,K.6,Models and maps represent real places.,KG,2023-08-15T17:09:44+00:00
Topic,1.1.2.2,,Human Systems,KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.2.2.1,K.7,"Humans depend on and impact the physical environment in order to supply food, clothing and shelter.",KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.2.2.2,K.8,Individuals are unique but share common characteristics of multiple groups.,KG,2023-08-15T17:09:44+00:00
Strand,1.1.3,,Government,KG,2023-08-15T17:09:44+00:00
Topic,1.1.3.1,,Civic Participation and Skills,KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.3.1.1,K.9,"Individuals share responsibilities and take action toward the achievement of common goals in homes, schools and communities.",KG,2023-08-15T17:09:44+00:00
Topic,1.1.3.2,,Rules and Laws,KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.3.2.1,K.10,"The purpose of rules and authority figures is to provide order, security and safety in the home, school and community.",KG,2023-08-15T17:09:44+00:00
Strand,1.1.4,,Economics,KG,2023-08-15T17:09:44+00:00
Topic,1.1.4.1,,Scarcity,KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.4.1.1,K.11,Individuals have many wants and make decisions to satisfy those wants. These decisions impact others.,KG,2023-08-15T17:09:44+00:00
Topic,1.1.4.2,,Production and Consumption,KG,2023-08-15T17:09:44+00:00
Content Statement,1.1.4.2.1,K.12,Goods are objects that can satisfy an individual’s wants. Services are actions that can satisfy individual’s wants.,KG,2023-08-15T17:09:44+00:00
Course,1.2,,"Grade 1: Families Now and Long Ago, Near and Far",01,2023-08-15T17:09:35+00:00
Strand,1.2.1,,History,01,2023-08-15T17:09:35+00:00
Topic,1.2.1.1,,Historical Thinking and Skills,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.1.1.1,1.1,"Time can be divided into categories (e.g., months of the year, past, present and future).",01,2023-08-15T17:09:35+00:00
Content Statement,1.2.1.1.2,1.2,"Photographs, letters, artifacts and books can be used to learn about the past.",01,2023-08-15T17:09:35+00:00
Topic,1.2.1.2,,Heritage,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.1.2.1,1.3,The ways basic human needs are met have changed over time.,01,2023-08-15T17:09:35+00:00
Strand,1.2.2,,Geography,01,2023-08-15T17:09:35+00:00
Topic,1.2.2.1,,Spatial Thinking and Skills,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.2.1.1,1.4,Maps can be used to locate and identifyplaces.,01,2023-08-15T17:09:35+00:00
Topic,1.2.2.2,,Places and Regions,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.2.2.1,1.5,Places are distinctive because of their physical characteristics (land forms and bodies of water) and human characteristics (structures built by people).,01,2023-08-15T17:09:35+00:00
Topic,1.2.2.3,,Human Systems,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.2.3.1,1.6,Families interact with the physical environment differently in different times and places.,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.2.3.2,1.7,Diverse cultural practices address basic human needs in various ways and may change over time,01,2023-08-15T17:09:35+00:00
Strand,1.2.3,,Government,01,2023-08-15T17:09:35+00:00
Topic,1.2.3.1,,Civic Participation and Skills,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.3.1.1,1.8,"Individuals have responsibility to take action toward the achievement of common goals in homes, schools and communities and are accountable for those actions.",01,2023-08-15T17:09:35+00:00
Content Statement,1.2.3.1.2,1.9,Collaboration requires group members to respect the rights and opinions of others.,01,2023-08-15T17:09:35+00:00
Topic,1.2.3.2,,Rules and Laws,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.3.2.1,1.10,Rules exist in different settings. The principles of fairness should guide rules and the consequences for breaking rules.,01,2023-08-15T17:09:35+00:00
Strand,1.2.4,,Economics,01,2023-08-15T17:09:35+00:00
Topic,1.2.4.1,,Scarcity,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.4.1.1,1.11,Wants are unlimited and resources are limited. Individuals make choices because they cannot have everything they want.,01,2023-08-15T17:09:35+00:00
Topic,1.2.4.2,,Production and Consumption,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.4.2.1,1.12,People produce and consume goods and services in the community.,01,2023-08-15T17:09:35+00:00
Topic,1.2.4.3,,Markets,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.4.3.1,1.13,People trade to obtain goods and services they want.,01,2023-08-15T17:09:35+00:00
Topic,1.2.4.4,,Financial Literacy,01,2023-08-15T17:09:35+00:00
Content Statement,1.2.4.4.1,1.14,Currency is used as a means of economic exchange.,01,2023-08-15T17:09:35+00:00
Course,1.3,,Grade 2: People Working Together,02,2023-08-15T17:09:26+00:00
Strand,1.3.1,,History,02,2023-08-15T17:09:26+00:00
Topic,1.3.1.1,,Historical Thinking and Skills,02,2023-08-15T17:09:26+00:00
Content Statement,1.3.1.1.1,2.1,Time can be shown graphically on calendars and timelines.,02,2023-08-15T17:09:26+00:00
Content Statement,1.3.1.1.2,2.2,"Change over time can be shown with artifacts, maps, and photographs.",02,2023-08-15T17:09:26+00:00
Topic,1.3.1.2,,Heritage,02,2023-08-15T17:09:26+00:00
Content Statement,1.3.1.2.1,2.3,Science and technology have changed daily life.,02,2023-08-15T17:09:26+00:00
Content Statement,1.3.1.2.2,2.4,Biographies can show how peoples’ actions have shaped the world in which we live.,02,2023-08-15T17:09:26+00:00
Strand,1.3.2,,Geography,02,2023-08-15T17:09:26+00:00
Topic,1.3.2.1,,Spatial Thinking and Skills,02,2023-08-15T17:09:26+00:00
Content Statement,1.3.2.1.1,2.5,"Maps and their symbols, including cardinal directions, can be interpreted to answer questions about location of places.",02,2023-08-15T17:09:26+00:00
Topic,1.3.2.2,,Places and Regions,02,2023-08-15T17:09:26+00:00
