Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten,KG,2025-04-21T15:34:54+00:00
Standard,1.1,K.1,Demonstrates competency in a variety of motor skills and movement patterns.,KG,2025-04-21T15:34:54+00:00
Benchmark,1.1.1,K.1.A,Demonstrate locomotor and non-locomotor skills in a variety of ways.,KG,2025-04-21T15:34:54+00:00
Outcome,1.1.1.1,K.1.A.1,"**Locomotor skills/Non-locomotor** Demonstrate walk, run and slide locomotor skills using critical elements.",KG,2025-04-21T15:34:54+00:00
Outcome,1.1.1.2,K.1.A.2,"**Locomotor skills/Non-locomotor** Explore locomotor skills of jump, gallop, skip, hop and leap in a stable environment.",KG,2025-04-21T15:34:54+00:00
Outcome,1.1.1.3,K.1.A.3,"**Locomotor skills/Non-locomotor** Use non-locomotor skills (e.g., bend, twist, turn, sway, stretch) in exploratory and a stable environment.",KG,2025-04-21T15:34:54+00:00
Outcome,1.1.1.4,K.1.A.4,"**Locomotor skills/Non-locomotor** Balance using a variety of body parts (e.g., 1/2/3/4 point balances) and body shapes (e.g., wide, narrow, twisted).",KG,2025-04-21T15:34:54+00:00
Outcome,1.1.1.5,K.1.A.5,**Locomotor skills/Non-locomotor** Transfer weight by rocking and rolling.,KG,2025-04-21T15:34:54+00:00
Outcome,1.1.1.6,K.1.A.6,"**Locomotor skills/Non-locomotor** Move in time with a changing beat (e.g., music, drum, clap, stomp).",KG,2025-04-21T15:34:54+00:00
Benchmark,1.1.2,K.1.B,Demonstrate developing control of fundamental manipulative skills.,KG,2025-04-21T15:34:54+00:00
Outcome,1.1.2.1,K.1.B.1,**Manipulative skills** Throw objects in a variety of ways to oneself.,KG,2025-04-21T15:34:54+00:00
Outcome,1.1.2.2,K.1.B.2,**Manipulative skills** Catch a bounced ball.,KG,2025-04-21T15:34:54+00:00
Outcome,1.1.2.3,K.1.B.3,"**Manipulative skills** Use different body parts to strike a lightweight object (e.g., balloon) and keep it in the air.",KG,2025-04-21T15:34:54+00:00
Outcome,1.1.2.4,K.1.B.4,**Manipulative skills** Kick a stationary ball.,KG,2025-04-21T15:34:54+00:00
Outcome,1.1.2.5,K.1.B.5,**Manipulative skills** Dribble objects with the hand in a closed or stable environment.,KG,2025-04-21T15:34:54+00:00
Outcome,1.1.2.6,K.1.B.6,**Manipulative skills** Roll a ball underhand.,KG,2025-04-21T15:34:54+00:00
Standard,1.2,K.2,"Applies Knowledge of Concepts, Principles, Strategies and Tactics Related to Movement and Performance.",KG,2025-04-21T15:34:54+00:00
Benchmark,1.2.1,K.2.A,"Demonstrate knowledge of movement concepts related to body, space, effort and relationships.",KG,2025-04-21T15:34:54+00:00
Outcome,1.2.1.1,K.2.A.1,"**Movement concepts** Establish a movement vocabulary through exploration of body, space, effort and relationships.",KG,2025-04-21T15:34:54+00:00
Outcome,1.2.1.2,K.2.A.2,"**Movement concepts** Recall pathways, direction, levels and relationships (e.g., near/far, lead/follow).",KG,2025-04-21T15:34:54+00:00
Outcome,1.2.1.3,K.2.A.3,"**Movement concepts** Distinguish between different degrees of effort (e.g., strong, weak, fast, slow, bound, free).",KG,2025-04-21T15:34:54+00:00
Outcome,1.2.1.4,K.2.A.4,**Movement concepts** Identify boundaries for self-space and general space.,KG,2025-04-21T15:34:54+00:00
Benchmark,1.2.2,K.2.B,Demonstrate knowledge of critical elements of fundamental motor skills.,KG,2025-04-21T15:34:54+00:00
Outcome,1.2.2.1,K.2.B.1,**Knowledge of critical elements** Differentiate among locomotor skills.,KG,2025-04-21T15:34:54+00:00
Outcome,1.2.2.2,K.2.B.2,**Knowledge of critical elements** Repeat cue words for fundamental motor skills.,KG,2025-04-21T15:34:54+00:00
Standard,1.3,K.3,Demonstrates the Knowledge and Skills to Achieve and Maintain a Health-Enhancing Level of Physical Activity and Fitness.,KG,2025-04-21T15:34:54+00:00
Benchmark,1.3.1,K.3.A,Describes current level of physical activity and identifies additional physical activity opportunities.,KG,2025-04-21T15:34:54+00:00
Outcome,1.3.1.1,K.3.A.1,**Physical activity knowledge / Evaluate level of physical activity / Healthy habits in relation to physical activity** Recognize and differentiate between physical activity and inactivity.,KG,2025-04-21T15:34:54+00:00
Outcome,1.3.1.2,K.3.A.2,**Physical activity knowledge / Evaluate level of physical activity / Healthy habits in relation to physical activity** Track the amount of physical activity within physical education.,KG,2025-04-21T15:34:54+00:00
Outcome,1.3.1.3,K.3.A.3,**Physical activity knowledge / Evaluate level of physical activity / Healthy habits in relation to physical activity** Recognize that food provides energy for physical activity.,KG,2025-04-21T15:34:54+00:00
Benchmark,1.3.2,K.3.B,"Understand the principles, components and practices of health-related physical fitness.",KG,2025-04-21T15:34:54+00:00
Outcome,1.3.2.1,K.3.B.1,**Cardio / Muscular strength and endurance / Flexibility** Recognize activities that could be used to improve each component of health-related fitness.,KG,2025-04-21T15:34:54+00:00
Outcome,1.3.2.2,K.3.B.2,"**Cardio / Muscular strength and endurance / Flexibility** Recognize that when one moves fast, the heart beats faster and breathing becomes faster.",KG,2025-04-21T15:34:54+00:00
Outcome,1.3.2.3,K.3.B.3,**Cardio / Muscular strength and endurance / Flexibility** Recognize the importance of muscular strength to support body weight.,KG,2025-04-21T15:34:54+00:00
Outcome,1.3.2.4,K.3.B.4,**Cardio / Muscular strength and endurance / Flexibility** Identify ways to stretch muscles in the body.,KG,2025-04-21T15:34:54+00:00
