Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Group,1,,Goals / Benchmarks,,2025-04-25T14:00:42+00:00
Goal,1.1,,**Cultures Goal** Interact with intercultural competence using knowledge and understanding of native and other cultures.,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.1.1,,"Investigate, reflect on, and explain the relationship between products, practices, and perspectives.",KG-12,2025-04-25T14:00:42+00:00
Indicator,1.1.2,,Interact with others in and from other cultures.,KG-12,2025-04-25T14:00:42+00:00
Goal,1.2,,**Communication Goal** Communicate effectively in languages other than English in person and via technology.,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.2.1,,"**Interpretive** Identify, understand, and analyze input that is heard, read, or viewed on a variety of topics from authentic resources.",KG-12,2025-04-25T14:00:42+00:00
Indicator,1.2.2,,"**Interpersonal** Interact and negotiate meaning in spontaneous spoken, written, or signed conversations to exchange and share information, reactions, feelings, and opinions.",KG-12,2025-04-25T14:00:42+00:00
Indicator,1.2.3,,"**Presentational** Present information, concepts and viewpoints to inform, explain, persuade, and narrate in spoken, written, or signed language when negotiation of meaning is not possible.",KG-12,2025-04-25T14:00:42+00:00
Benchmark,1.3,,Intercultural Communication,KG-12,2025-04-25T14:00:42+00:00
Proficiency Level,1.3.1,ICC.N,Novice,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.3.1.1,ICC.N.1,Identify typical products and practices to help understand perspectives in native and other cultures using the target language.,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.3.1.2,ICC.N.2,Interact at a basic level in everyday contexts with people in and from other cultures using the target language and appropriate practiced behaviors.,KG-12,2025-04-25T14:00:42+00:00
Proficiency Level,1.3.2,ICC.I,Intermediate,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.3.2.1,ICC.I.1,Make comparisons between products and practices to help understand perspectives in native and other cultures using the target language.,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.3.2.2,ICC.I.2,Interact at a functional level in familiar contexts with people in and from other cultures using the target language and appropriate learned behaviors.,KG-12,2025-04-25T14:00:42+00:00
Proficiency Level,1.3.3,ICC.A,Advanced,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.3.3.1,ICC.A.1,Explain some diversity among products and practices and how it relates to perspectives in native and other cultures using the target language.,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.3.3.2,ICC.A.2,Interact at a competent level in familiar and some unfamiliar contexts with people in and from other cultures using the target language and adjusting behaviors as needed.,KG-12,2025-04-25T14:00:42+00:00
Benchmark,1.4,,Interpretive Communication,KG-12,2025-04-25T14:00:42+00:00
Proficiency Level,1.4.1,INT-C.N,Novice,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.4.1.1,INT-C.N.1,"Comprehend information in very familiar, everyday contexts from authentic texts that are spoken, written, or signed.",KG-12,2025-04-25T14:00:42+00:00
Indicator,1.4.1.2,INT-C.N.2,"Identify the general topic and basic information from words, phrases, and simple sentences in authentic informational and fictional texts and overheard or observed conversations.",KG-12,2025-04-25T14:00:42+00:00
Proficiency Level,1.4.2,INT-C.I,Intermediate,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.4.2.1,INT-C.I.1,"Comprehend information in a variety of familiar contexts from authentic texts that are spoken, written, or signed.",KG-12,2025-04-25T14:00:42+00:00
Indicator,1.4.2.2,INT-C.I.2,Understand the main idea and related information from connected sentences and short paragraphs in authentic informational and fictional texts and overheard or observed conversations.,KG-12,2025-04-25T14:00:42+00:00
Proficiency Level,1.4.3,INT-C.A,Advanced,KG-12,2025-04-25T14:00:42+00:00
Indicator,1.4.3.1,INT-C.A.1,"Comprehend information in a wide variety of familiar and general interest contexts from authentic texts that are spoken, written, or signed.",KG-12,2025-04-25T14:00:42+00:00
Indicator,1.4.3.2,INT-C.A.2,"Understand the main message and supporting details from paragraphs across various time frames in complex, organized authentic texts and overheard or observed conversations.",KG-12,2025-04-25T14:00:42+00:00
Benchmark,1.5,,Interpersonal Communication,KG-12,2025-04-25T14:00:42+00:00
