Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Kindergarten,KG,2025-03-10T19:07:21+00:00
Strand,1.1,,Computing Systems,KG,2025-03-10T19:07:21+00:00
Topic,1.1.1,,Devices,KG,2025-03-10T19:07:21+00:00
Standard,1.1.1.1,CS.D.K.a,"With guidance, identify and label commonly used devices and their components, explaining their connection to different tasks, to perform a variety of tasks.",KG,2025-03-10T19:07:21+00:00
Topic,1.1.2,,Hardware and Software,KG,2025-03-10T19:07:21+00:00
Standard,1.1.2.1,CS.HS.K.a,"With guidance and support, identify and use hardware and software necessary for accomplishing a task.",KG,2025-03-10T19:07:21+00:00
Topic,1.1.3,,Troubleshooting,KG,2025-03-10T19:07:21+00:00
Standard,1.1.3.1,CS.T.K.a,"With guidance and support, use problem-solving strategies to troubleshoot a problem.",KG,2025-03-10T19:07:21+00:00
Strand,1.2,,Networks and the Internet,KG,2025-03-10T19:07:21+00:00
Topic,1.2.1,,Networking,KG,2025-03-10T19:07:21+00:00
Standard,1.2.1.1,NI.N.K.a,"With guidance and support, create a list of ways information can be shared electronically to gain a deeper understanding of how information is transmitted (e.g., email, social media).",KG,2025-03-10T19:07:21+00:00
Topic,1.2.2,,Cybersecurity,KG,2025-03-10T19:07:21+00:00
Standard,1.2.2.1,NI.C.K.a,"With guidance and support, identify and use secure practices (e.g., passwords) to protect private information.",KG,2025-03-10T19:07:21+00:00
Topic,1.2.3,,Internet of Things (IoT),KG,2025-03-10T19:07:21+00:00
Standard,1.2.3.1,NI.IOT.K.a,"With guidance and support, identify what smart devices are to recognize what devices are able to connect to the internet.",KG,2025-03-10T19:07:21+00:00
Standard,1.2.3.2,NI.IOT.K.b,"With guidance and support, recognize how devices connect and exchange data over the internet to demonstrate how information is shared.",KG,2025-03-10T19:07:21+00:00
Strand,1.3,,Data and Analysis,KG,2025-03-10T19:07:21+00:00
Topic,1.3.1,,Data Collection and Storage,KG,2025-03-10T19:07:21+00:00
Standard,1.3.1.1,DA.DCS.K.a,Identify data to collect and sort.,KG,2025-03-10T19:07:21+00:00
Standard,1.3.1.2,DA.DCS.K.b,"With guidance and support, demonstrate how data can be collected and stored in a variety of ways.",KG,2025-03-10T19:07:21+00:00
