Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard,1,6.1,Scarcity and Choice,,2024-01-29T19:48:45+00:00
Grade,1.1,6.1.PK,Pre-K,PK,2024-01-29T19:48:45+00:00
Element,1.1.1,6.1.PK.A,*Scarcity and Choice* Intentionally blank,PK,2024-01-29T19:48:45+00:00
Element,1.1.2,6.1.PK.B,*Limited Resources* Identify individual wants and needs.,PK,2024-01-29T19:48:45+00:00
Element,1.1.3,6.1.PK.C,*Opportunity Costs* Intentionally blank,PK,2024-01-29T19:48:45+00:00
Element,1.1.4,6.1.PK.D,*Incentives and Choice* Identify a choice based on individual interest.,PK,2024-01-29T19:48:45+00:00
Grade,1.2,6.1.K,Kindergarten,KG,2024-01-29T19:48:45+00:00
Element,1.2.1,6.1.K.A,*Scarcity and Choice* Intentionally blank,KG,2024-01-29T19:48:45+00:00
Element,1.2.2,6.1.K.B,*Limited Resources* Identify family wants and needs.,KG,2024-01-29T19:48:45+00:00
Element,1.2.3,6.1.K.C,*Opportunity Costs* Intentionally blank,KG,2024-01-29T19:48:45+00:00
Element,1.2.4,6.1.K.D,*Incentives and Choice* Identify a choice based on family interest.,KG,2024-01-29T19:48:45+00:00
Grade,1.3,6.1.1,Grade 1,,2024-01-29T19:48:45+00:00
Element,1.3.1,6.1.1.A,*Scarcity and Choice* Identify scarcity of resources within the family.,01,2024-01-29T19:48:45+00:00
Element,1.3.2,6.1.1.B,*Limited Resources* Identify classroom wants and needs.,01,2024-01-29T19:48:45+00:00
Element,1.3.3,6.1.1.C,*Opportunity Costs* Identify choices to meet needs.,01,2024-01-29T19:48:45+00:00
Element,1.3.4,6.1.1.D,*Incentives and Choice* Identify a choice based on classroom interest.,01,2024-01-29T19:48:45+00:00
Grade,1.4,6.1.2,Grade 2,02,2024-01-29T19:48:45+00:00
Element,1.4.1,6.1.2.A,*Scarcity and Choice* Identify scarcity of resources within the school community.,02,2024-01-29T19:48:45+00:00
Element,1.4.2,6.1.2.B,*Limited Resources* Identifycommunity wants and needs.,02,2024-01-29T19:48:45+00:00
Element,1.4.3,6.1.2.C,*Opportunity Costs* Identify choice based on needs versus wants.,02,2024-01-29T19:48:45+00:00
Element,1.4.4,6.1.2.D,*Incentives and Choice* Identify a choice based on community interest.,02,2024-01-29T19:48:45+00:00
Grade,1.5,6.1.3,Grade 3,03,2024-01-29T19:48:45+00:00
Element,1.5.1,6.1.3.A,"*Scarcity and Choice* Define scarcity and identify examples of resources, wants, and needs.",03,2024-01-29T19:48:45+00:00
Element,1.5.2,6.1.3.B,"*Limited Resources* Identify needs and wants of people.

Identify examples of natural, human, and capital resources.",03,2024-01-29T19:48:45+00:00
Element,1.5.3,6.1.3.C,*Opportunity Costs* Explain what is given up when making a choice.,03,2024-01-29T19:48:45+00:00
Element,1.5.4,6.1.3.D,*Incentives and Choice* Identify reasons why people make a choice.,03,2024-01-29T19:48:45+00:00
Grade,1.6,6.1.4,Grade 4,04,2024-01-29T19:48:45+00:00
Element,1.6.1,6.1.4.A,*Scarcity and Choice* Identify scarcity of resources in a local community.,04,2024-01-29T19:48:45+00:00
Element,1.6.2,6.1.4.B,"*Limited Resources* Recognize the difference between basic needs and wants.

Explain the role of producers in making goods and providing services.",04,2024-01-29T19:48:45+00:00
Element,1.6.3,6.1.4.C,*Opportunity Costs* Illustrate what individuals or organizations give up when making a choice.,04,2024-01-29T19:48:45+00:00
Element,1.6.4,6.1.4.D,*Incentives and Choice* Explain what influences the choices people make,04,2024-01-29T19:48:45+00:00
Grade,1.7,6.1.5,Grade 5,05,2024-01-29T19:48:45+00:00
Element,1.7.1,6.1.5.A,*Scarcity and Choice* Explain how limited resources and unlimited wants cause scarcity.,05,2024-01-29T19:48:45+00:00
Element,1.7.2,6.1.5.B,"*Limited Resources* Explain ways in which people meet their basic needs and wants.

Demonstrate the use of human and capital resources in the production of a specific good.",05,2024-01-29T19:48:45+00:00
Element,1.7.3,6.1.5.C,*Opportunity Costs* Explain how people’s choices have different economic consequences.,05,2024-01-29T19:48:45+00:00
Element,1.7.4,6.1.5.D,*Incentives and Choice* Demonstrate how availability of resources affects choices.,05,2024-01-29T19:48:45+00:00
Grade,1.8,6.1.6,Grade 6,06,2024-01-29T19:48:45+00:00
Element,1.8.1,6.1.6.A,*Scarcity and Choice* Explain how limited resources and unlimited wants cause scarcity.,06,2024-01-29T19:48:45+00:00
Element,1.8.2,6.1.6.B,"*Limited Resources* Compare ways that people meet their needs with how they meet their wants.

Describe how resources are combined to produce different goods and services.",06,2024-01-29T19:48:45+00:00
Element,1.8.3,6.1.6.C,*Opportunity Costs* Define opportunity cost and describe the opportunity cost of personal choice.,06,2024-01-29T19:48:45+00:00
Element,1.8.4,6.1.6.D,*Incentives and Choice* Identify incentives that affect personal choices.,06,2024-01-29T19:48:45+00:00
Grade,1.9,6.1.7,Grade 7,07,2024-01-29T19:48:45+00:00
Element,1.9.1,6.1.7.A,*Scarcity and Choice* Explain how limited resources and unlimited wants cause scarcity.,07,2024-01-29T19:48:45+00:00
Element,1.9.2,6.1.7.B,"*Limited Resources* Compare decisions made because of limited resources and unlimited wants.

Describe how resources are combined to produce different goods and services.",07,2024-01-29T19:48:45+00:00
Element,1.9.3,6.1.7.C,*Opportunity Costs* Define opportunity cost and describe the opportunity cost of personal choice.,07,2024-01-29T19:48:45+00:00
Element,1.9.4,6.1.7.D,*Incentives and Choice* Explain how positive and negative incentives affect behavior.,07,2024-01-29T19:48:45+00:00
Grade,1.10,6.1.8,Grade 8,08,2024-01-29T19:48:45+00:00
Element,1.10.1,6.1.8.A,*Scarcity and Choice* Explain how limited resources and unlimited wants cause scarcity.,08,2024-01-29T19:48:45+00:00
Element,1.10.2,6.1.8.B,"*Limited Resources* Compare decisions made because of limited resources and unlimited wants.

Analyze the resources that are combined to create goods and services.",08,2024-01-29T19:48:45+00:00
Element,1.10.3,6.1.8.C,*Opportunity Costs* Compare choices to determine the best action.,08,2024-01-29T19:48:45+00:00
Element,1.10.4,6.1.8.D,*Incentives and Choice* Compare the effect of incentives on personal decisions.,08,2024-01-29T19:48:45+00:00
Course,1.11,6.1.9,Grade 9,09,2024-01-29T19:48:45+00:00
Element,1.11.1,6.1.9.A,*Scarcity and Choice* Analyze how choices are made because of scarcity.,09,2024-01-29T19:48:45+00:00
Element,1.11.2,6.1.9.B,"*Limited Resources* Identify the origin of resources and analyze the impact on the production of goods and services.

Analyze how unlimited wants and limited resources affect decision making.",09,2024-01-29T19:48:45+00:00
Element,1.11.3,6.1.9.C,*Opportunity Costs* Explain the opportunity cost associated with government policies.,09,2024-01-29T19:48:45+00:00
Element,1.11.4,6.1.9.D,*Incentives and Choice* Explain how incentives cause people to change their behavior in predictable ways.,09,2024-01-29T19:48:45+00:00
Course,1.12,6.1.U,US History (1850-Present),09-12,2024-01-29T19:48:45+00:00
Element,1.12.1,6.1.U.A,*Scarcity and Choice* Analyze how choices are made because of scarcity.,09-12,2024-01-29T19:48:45+00:00
Element,1.12.2,6.1.U.B,*Limited Resources* Analyze how conflict and cooperation among groups and organizations have impaced the control of limited resources in the United States.,09-12,2024-01-29T19:48:45+00:00
Element,1.12.3,6.1.U.C,"*Opportunity Costs* Analyze the opportunity cost of decisions made by individuals, businesses, communities, and nations.",09-12,2024-01-29T19:48:45+00:00
Element,1.12.4,6.1.U.D,*Incentives and Choice* Intentionally Blank,09-12,2024-01-29T19:48:45+00:00
Course,1.13,6.1.W,World History (1450-Present),09-12,2024-01-29T19:48:45+00:00
Element,1.13.1,6.1.W.A,*Scarcity and Choice* Analyze how choices are made because of scarcity.,09-12,2024-01-29T19:48:45+00:00
Element,1.13.2,6.1.W.B,*Limited Resources* Analyze how conflict and cooperation among groups and organizations have impaced the control of limited resources in the world.,09-12,2024-01-29T19:48:45+00:00
Element,1.13.3,6.1.W.C,"*Opportunity Costs* Analyze the opportunity cost of decisions made by individuals, businesses, communities, and nations.",09-12,2024-01-29T19:48:45+00:00
Element,1.13.4,6.1.W.D,*Incentives and Choice* Intentionally Blank,09-12,2024-01-29T19:48:45+00:00
Course,1.14,6.1.C,Civics & Government,09-12,2024-01-29T19:48:45+00:00
Element,1.14.1,6.1.C.A,*Scarcity and Choice* Predict the long-term consequences of decisions made because of scarcity.,09-12,2024-01-29T19:48:45+00:00
Element,1.14.2,6.1.C.B,*Limited Resources* Evaluate the economic reasoning behind a choice.,09-12,2024-01-29T19:48:45+00:00
Element,1.14.3,6.1.C.C,*Opportunity Costs* Explain the opportunity cost associated with government policies.,09-12,2024-01-29T19:48:45+00:00
Element,1.14.4,6.1.C.D,*Incentives and Choice* Intentionally Blank,09-12,2024-01-29T19:48:45+00:00
Course,1.15,6.1.12,Grade 12,12,2024-01-29T19:48:45+00:00
Element,1.15.1,6.1.12.A,*Scarcity and Choice* Predict the long-term consequences of decisions made because of scarcity.,12,2024-01-29T19:48:45+00:00
Element,1.15.2,6.1.12.B,"*Limited Resources* Evaluate the economic reasoning behind a choice.

Evaluate effective allocation of resources for the production of goods and services.",12,2024-01-29T19:48:45+00:00
Element,1.15.3,6.1.12.C,"*Opportunity Costs* Analyze the opportunity cost of decisions made by individuals, businesses, communities, and nations.",12,2024-01-29T19:48:45+00:00
Element,1.15.4,6.1.12.D,"*Incentives and Choice* Predict how changes in incentives may affect the choices made by individuals, businesses, communities, and nations.",12,2024-01-29T19:48:45+00:00
Standard,2,6.2,Markets and Economic Systems,,2024-01-29T19:48:45+00:00
Grade,2.1,6.2.PK,Pre-K,PK,2024-01-29T19:48:45+00:00
Element,2.1.1,6.2.PK.A,*Goods and Services* Intentionally blank,PK,2024-01-29T19:48:45+00:00
Element,2.1.2,6.2.PK.B,*Market Competition* Intentionally blank,PK,2024-01-29T19:48:45+00:00
Element,2.1.3,6.2.PK.C,*Advertising and Media* Intentionally blank,PK,2024-01-29T19:48:45+00:00
Element,2.1.4,6.2.PK.D,*Price Determination* Intentionally blank,PK,2024-01-29T19:48:45+00:00
Element,2.1.5,6.2.PK.E,*Economic Health* Intentionally blank,PK,2024-01-29T19:48:45+00:00
Element,2.1.6,6.2.PK.F,*Private Economic Institutions* Intentionally blank,PK,2024-01-29T19:50:31+00:00
Element,2.1.7,6.2.PK.G,*Economic Systems* Intentionally blank,PK,2024-01-29T19:48:45+00:00
Grade,2.2,6.2.K,Kindergarten,KG,2024-01-29T19:48:45+00:00
Element,2.2.1,6.2.K.A,*Goods and Services* Identify goods and consumers.,KG,2024-01-29T19:48:45+00:00
Element,2.2.2,6.2.K.B,*Market Competition* Intentionally blank,KG,2024-01-29T19:48:45+00:00
Element,2.2.3,6.2.K.C,*Advertising and Media* Identify advertisements that encourage us to buy things.,KG,2024-01-29T19:48:45+00:00
Element,2.2.4,6.2.K.D,*Price Determination* Intentionally blank,KG,2024-01-29T19:48:45+00:00
Element,2.2.5,6.2.K.E,*Economic Health* Intentionally blank,KG,2024-01-29T19:48:45+00:00
Element,2.2.6,6.2.K.F,*Private Economic Institutions* Intentionally blank,KG,2024-01-29T19:48:45+00:00
Element,2.2.7,6.2.K.G,*Economic Systems* Intentionally blank,KG,2024-01-29T19:48:45+00:00
Grade,2.3,6.2.1,Grade 1,,2024-01-29T19:48:45+00:00
Element,2.3.1,6.2.1.A,"*Goods and Services* Identify goods, consumers, and producers.",01,2024-01-29T19:48:45+00:00
Element,2.3.2,6.2.1.B,*Market Competition* Intentionally blank,01,2024-01-29T19:48:45+00:00
Element,2.3.3,6.2.1.C,*Advertising and Media* Identify advertisements that encourage us to buy things we might not need.,01,2024-01-29T19:48:45+00:00
Element,2.3.4,6.2.1.D,*Price Determination* Intentionally blank,01,2024-01-29T19:48:45+00:00
Element,2.3.5,6.2.1.E,*Economic Health* Intentionally blank.,01,2024-01-29T19:48:45+00:00
Element,2.3.6,6.2.1.F,*Private Economic Institutions* Intentionally blank,01,2024-01-29T19:48:45+00:00
Element,2.3.7,6.2.1.G,*Economic Systems* Intentionally blank,01,2024-01-29T19:48:45+00:00
Grade,2.4,6.2.2,Grade 2,02,2024-01-29T19:48:45+00:00
Element,2.4.1,6.2.2.A,"*Goods and Services* Identify goods, services, consumers, and producers in the local community.",02,2024-01-29T19:48:45+00:00
Element,2.4.2,6.2.2.B,*Market Competition* Intentionally blank,02,2024-01-29T19:48:45+00:00
Element,2.4.3,6.2.2.C,*Advertising and Media* Define personal choice as related to buying an item.,02,2024-01-29T19:48:45+00:00
Element,2.4.4,6.2.2.D,*Price Determination* Intentionally blank,02,2024-01-29T19:48:45+00:00
Element,2.4.5,6.2.2.E,*Economic Health* Identify the impact of a local business closing on the family.,02,2024-01-29T19:48:45+00:00
Element,2.4.6,6.2.2.F,*Private Economic Institutions* Intentionally blank,02,2024-01-29T19:48:45+00:00
Element,2.4.7,6.2.2.G,*Economic Systems* Intentionally blank,02,2024-01-29T19:48:45+00:00
Grade,2.5,6.2.3,Grade 3,03,2024-01-29T19:48:45+00:00
Element,2.5.1,6.2.3.A,"*Goods and Services* Identify goods, services, consumers, and producers in the local community.",03,2024-01-29T19:48:45+00:00
Element,2.5.2,6.2.3.B,*Market Competition* Identify competing sellers in the local market.,03,2024-01-29T19:48:45+00:00
Element,2.5.3,6.2.3.C,*Advertising and Media* Identify types of advertising designed to influence personal choice.,03,2024-01-29T19:48:45+00:00
Element,2.5.4,6.2.3.D,*Price Determination* Intentionally blank,03,2024-01-29T19:48:45+00:00
Element,2.5.5,6.2.3.E,*Economic Health* Describe the effect of local businesses opening and closing.,03,2024-01-29T19:48:45+00:00
Element,2.5.6,6.2.3.F,*Private Economic Institutions* Identify private economic institutions.,03,2024-01-29T19:48:45+00:00
