Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard,1,7.1,Basic Geographic Literacy,KG-12,2023-11-19T00:00:00+00:00
Grade,1.1,7.1.3,Grade 3,03,2023-11-19T00:00:00+00:00
Element,1.1.1,7.1.3.A,Identify geographic tools and their uses.,03,2023-11-19T00:00:00+00:00
Element,1.1.2,7.1.3.B,Identify and locate places and regions.,03,2023-11-19T00:00:00+00:00
Grade,1.2,7.1.6,Grade 6,06,2023-11-19T00:00:00+00:00
Element,1.2.1,7.1.6.A,Describe geographic tools and their uses.,06,2023-11-19T00:00:00+00:00
Element,1.2.2,7.1.6.B,Describe and locate places and regions.,06,2023-11-19T00:00:00+00:00
Grade,1.3,7.1.9,Grade 9,09,2023-11-19T00:00:00+00:00
Element,1.3.1,7.1.9.A,Explain geographic tools and their uses.,09,2023-11-19T00:00:00+00:00
Element,1.3.2,7.1.9.B,Explain and locate places and regions.,09,2023-11-19T00:00:00+00:00
Grade,1.4,7.1.12,Grade 12,12,2023-11-19T00:00:00+00:00
Element,1.4.1,7.1.12.A,Analyze data and issues from a spatial perspective using the appropriate geographic tools.,12,2023-11-19T00:00:00+00:00
Element,1.4.2,7.1.12.B,Analyze the location of places and regions.,12,2023-11-19T00:00:00+00:00
Standard,2,7.2,The Physical Characteristics of Places and Regions,KG-12,2023-11-19T00:00:00+00:00
Grade,2.1,7.2.3,Grade 3,03,2023-11-19T00:00:00+00:00
Element,2.1.1,7.2.3.A,Identify the physical characteristics of places and regions.,03,2023-11-19T00:00:00+00:00
Element,2.1.2,7.2.3.B,Identify the basic physical processes that affect the physical characteristics of places and regions.,03,2023-11-19T00:00:00+00:00
Grade,2.2,7.2.6,Grade 6,06,2023-11-19T00:00:00+00:00
Element,2.2.1,7.2.6.A,Describe the physical characteristics of places and regions.,06,2023-11-19T00:00:00+00:00
Element,2.2.2,7.2.6.B,Describe the physical processes that shape patterns on Earth’s surface.,06,2023-11-19T00:00:00+00:00
Grade,2.3,7.2.9,Grade 9,09,2023-11-19T00:00:00+00:00
Element,2.3.1,7.2.9.A,Explain the physical characteristics of places and regions including spatial patterns of Earth’s physical systems.,09,2023-11-19T00:00:00+00:00
Element,2.3.2,7.2.9.B,Explain the dynamics of the fundamental processes that underlie the operation of Earth’s physical systems.,09,2023-11-19T00:00:00+00:00
Grade,2.4,7.2.12,Grade 12,12,2023-11-19T00:00:00+00:00
Element,2.4.1,7.2.12.A,Analyze the physical characteristics of places and regions including the interrelationships among the components of Earth’s physical systems.,12,2023-11-19T00:00:00+00:00
Element,2.4.2,7.2.12.B,Analyze the significance of physical processes in shaping the character of places and regions.,12,2023-11-19T00:00:00+00:00
Standard,3,7.3,The Human Characteristics of Places and Regions,KG-12,2023-11-19T00:00:00+00:00
Grade,3.1,7.3.3,Grade 3,03,2023-11-19T00:00:00+00:00
Element,3.1.1,7.3.3.A,Identify the human characteristics of places and regions by their population characteristics.,03,2023-11-19T00:00:00+00:00
Element,3.1.2,7.3.3.B,Identify the human characteristics of places and regions by their cultural characteristics.,03,2023-11-19T00:00:00+00:00
Element,3.1.3,7.3.3.C,Identify the human characteristics of places and regions by their settlement characteristics.,,2023-11-19T00:00:00+00:00
Element,3.1.4,7.3.3.D,Identify the human characteristics of places and regions by their economic activities.,,2023-11-19T00:00:00+00:00
Element,3.1.5,7.3.3.E,Identify the human characteristics of places and regions by their political activities.,,2023-11-19T00:00:00+00:00
Grade,3.2,7.3.6,Grade 6,06,2023-11-19T00:00:00+00:00
Element,3.2.1,7.3.6.A,Describe the human characteristics of places and regions by their population characteristics.,06,2023-11-19T00:00:00+00:00
Element,3.2.2,7.3.6.B,Describe the human characteristics of places and regions by their cultural characteristics.,06,2023-11-19T00:00:00+00:00
Element,3.2.3,7.3.6.C,Describe the human characteristics of places and regions by their settlement characteristics.,06,2023-11-19T00:00:00+00:00
