Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard,1,7.1,Basic Geographic Literacy,,2024-01-30T19:24:24+00:00
Grade,1.1,7.1.PK,Pre-K,PK,2024-01-30T01:08:08+00:00
Element,1.1.1,7.1.PK.A,*Geographic Tools* Demonstrate a beginning understanding of maps as actual representations of places.,PK,2024-01-30T01:08:08+00:00
Element,1.1.2,7.1.PK.B,*Location of Places and Regions* Describe the location of items/areas in the classroom and at home.,PK,2024-01-30T01:08:08+00:00
Grade,1.2,7.1.K,Kindergarten,KG,2024-01-30T01:08:08+00:00
Element,1.2.1,7.1.K.A,*Geographic Tools* Create a simple map of a known environment.,KG,2024-01-30T01:08:08+00:00
Element,1.2.2,7.1.K.B,"*Location of Places and Regions* Describe the location of places in the home, school and community.",KG,2024-01-30T01:08:08+00:00
Grade,1.3,7.1.1,Grade 1,01,2024-01-30T01:08:08+00:00
Element,1.3.1,7.1.1.A,*Geographic Tools* Use a simple map to navigate to a location.,01,2024-01-30T01:08:08+00:00
Element,1.3.2,7.1.1.B,*Location of Places and Regions* Describe and locate places and regions as defined by physical and human features.,01,2024-01-30T01:08:08+00:00
Grade,1.4,7.1.2,Grade 2,02,2024-01-30T01:08:08+00:00
Element,1.4.1,7.1.2.A,*Geographic Tools* Use basic geographic tools to locate information.,02,2024-01-30T01:08:08+00:00
Element,1.4.2,7.1.2.B,*Location of Places and Regions* Locate frequently visited locations using landmarks.,02,2024-01-30T01:08:08+00:00
Grade,1.5,7.1.3,Grade 3,03,2024-01-30T01:08:08+00:00
Element,1.5.1,7.1.3.A,"*Geographic Tools* Identify how basic geographic tools are used to organize and interpret information about people, places and environment.",03,2024-01-30T01:08:08+00:00
Element,1.5.2,7.1.3.B,*Location of Places and Regions* Identify and locate places and regions as defined by physical and human features.,03,2024-01-30T01:08:08+00:00
Grade,1.6,7.1.4,Grade 4,04,2024-01-30T01:08:08+00:00
Element,1.6.1,7.1.4.A,"*Geographic Tools* Describe how common geographic tools are used to organize and interpret information about people, places, and environment.",04,2024-01-30T01:08:08+00:00
Element,1.6.2,7.1.4.B,*Location of Places and Regions* Describe and locate places and regions as defined by physical and human features.,04,2024-01-30T01:08:08+00:00
Grade,1.7,7.1.5,Grade 5,05,2024-01-30T01:08:08+00:00
Element,1.7.1,7.1.5.A,"*Geographic Tools* Describe how common geographic tools are used to organize and interpret information about people, places, and environment.",05,2024-01-30T01:08:08+00:00
Element,1.7.2,7.1.5.B,*Location of Places and Regions* Describe and locate places and regions as defined by physical and human features.,05,2024-01-30T01:08:08+00:00
Grade,1.8,7.1.6,Grade 6,06,2024-01-30T01:08:08+00:00
Element,1.8.1,7.1.6.A,"*Geographic Tools* Describe how common geographic tools are used to organize and interpret information about people, places, and environment.",06,2024-01-30T01:08:08+00:00
Element,1.8.2,7.1.6.B,*Location of Places and Regions* Describe and locate places and regions as defined by physical and human features.,06,2024-01-30T01:08:08+00:00
Grade,1.9,7.1.7,Grade 7,07,2024-01-30T01:08:08+00:00
Element,1.9.1,7.1.7.A,"*Geographic Tools* Explain how common geographic tools are used to organize and interpret information about people, places, and environment.",07,2024-01-30T01:08:08+00:00
Element,1.9.2,7.1.7.B,*Location of Places and Regions* Explain and locate places and regions as defined by physical and human features.,07,2024-01-30T01:08:08+00:00
Grade,1.10,7.1.8,Grade 8,08,2024-01-30T01:08:08+00:00
Element,1.10.1,7.1.8.A,"*Geographic Tools* Explain and illustrate how geographic tools are used to organize and interpret information about people, places, and environments.",08,2024-01-30T01:08:08+00:00
Element,1.10.2,7.1.8.B,*Location of Places and Regions* Explain and locate places and regions as defined by physical and human features.,08,2024-01-30T01:08:08+00:00
Course,1.11,7.1.9,Grade 9,09,2024-01-30T01:08:08+00:00
Element,1.11.1,7.1.9.A,"*Geographic Tools* Explain and illustrate how geographic tools are used to organize and interpret information about people, places, and environments.",09,2024-01-30T01:08:08+00:00
Element,1.11.2,7.1.9.B,*Location of Places and Regions* Explain and locate regions and their shared connections as defined by physical and human features.,09,2024-01-30T01:08:08+00:00
Course,1.12,7.1.U,US History (1850-Present),09-12,2024-01-30T01:08:08+00:00
Element,1.12.1,7.1.U.A,"*Geographic Tools* Use geographic tools to analyze information about the interaction between people, places, and the environment.",09-12,2024-01-30T01:08:08+00:00
Element,1.12.2,7.1.U.B,*Location of Places and Regions* Intentionally Blank,09-12,2024-01-30T01:08:08+00:00
Course,1.13,7.1.W,World History (1450-Present),09-12,2024-01-30T01:08:08+00:00
Element,1.13.1,7.1.W.A,"*Geographic Tools* Use geographic tools to analyze information about the interaction between people, places, and the environment.",09-12,2024-01-30T01:08:08+00:00
Element,1.13.2,7.1.W.B,*Location of Places and Regions* Intentionally Blank,09-12,2024-01-30T01:08:08+00:00
Course,1.14,7.1.C,Civics & Government,09-12,2024-01-30T01:08:08+00:00
Element,1.14.1,7.1.C.A,"*Geographic Tools* Use geographic tools to analyze information about the interaction between people, places, and the environment.",09-12,2024-01-30T01:08:08+00:00
Element,1.14.2,7.1.C.B,*Location of Places and Regions* Intentionally Blank,09-12,2024-01-30T01:08:08+00:00
Course,1.15,7.1.12,Grade 12,12,2024-01-30T01:08:08+00:00
Element,1.15.1,7.1.12.A,"*Geographic Tools* Use geographic tools to analyze information about the interaction between people, places, and the environment.",12,2024-01-30T01:08:08+00:00
Element,1.15.2,7.1.12.B,*Location of Places and Regions* Assess how physical changes to a region may have global impact.,12,2024-01-30T01:08:08+00:00
Standard,2,7.2,Physical Characteristics of Places and Regions,,2024-01-30T19:24:28+00:00
Grade,2.1,7.2.PK,Pre-K,PK,2024-01-30T01:08:08+00:00
Element,2.1.1,7.2.PK.A,*Physical Characteristics* Describe the characteristics of his/her home and frequently visited locations.,PK,2024-01-30T01:08:08+00:00
Element,2.1.2,7.2.PK.B,*Physical Processes* Intentionally blank,PK,2024-01-30T01:08:08+00:00
Grade,2.2,7.2.K,Kindergarten,KG,2024-01-30T01:08:08+00:00
Element,2.2.1,7.2.K.A,*Physical Characteristics* Describe the characteristics of homes and businesses located in the community.,KG,2024-01-30T01:08:08+00:00
Element,2.2.2,7.2.K.B,*Physical Processes* Intentionally blank,KG,2024-01-30T01:08:08+00:00
Grade,2.3,7.2.1,Grade 1,01,2024-01-30T01:08:08+00:00
Element,2.3.1,7.2.1.A,*Physical Characteristics* Identify the physical characteristics of places and regions.,01,2024-01-30T01:08:08+00:00
Element,2.3.2,7.2.1.B,*Physical Processes* Identify the basic physical process that affect the physical characteristics of places and regions.,01,2024-01-30T01:08:08+00:00
Grade,2.4,7.2.2,Grade 2,02,2024-01-30T01:08:08+00:00
Element,2.4.1,7.2.2.A,*Physical Characteristics* Identify the physical characteristics of places and regions.,02,2024-01-30T01:08:08+00:00
Element,2.4.2,7.2.2.B,*Physical Processes* Identify the basic physical process that affect the physical characteristics of places and regions.,02,2024-01-30T01:08:08+00:00
Grade,2.5,7.2.3,Grade 3,03,2024-01-30T01:08:08+00:00
Element,2.5.1,7.2.3.A,*Physical Characteristics* Identify the physical characteristics of places and regions.,03,2024-01-30T01:08:08+00:00
Element,2.5.2,7.2.3.B,*Physical Processes* Identify the basic physical processes that affect the physical characteristics of places and regions.,03,2024-01-30T01:08:08+00:00
Grade,2.6,7.2.4,Grade 4,04,2024-01-30T01:08:08+00:00
Element,2.6.1,7.2.4.A,*Physical Characteristics* Identify the physical characteristics of places and regions.,04,2024-01-30T01:08:08+00:00
Element,2.6.2,7.2.4.B,*Physical Processes* Identify the basic physical processes that affect the physical characteristics of places and regions.,04,2024-01-30T01:08:08+00:00
Grade,2.7,7.2.5,Grade 5,05,2024-01-30T01:08:08+00:00
Element,2.7.1,7.2.5.A,*Physical Characteristics* Describe the characteristics of places and regions.,05,2024-01-30T01:08:08+00:00
Element,2.7.2,7.2.5.B,*Physical Processes* Identify the basic physical processes that affect the physical characteristics of places and regions.,05,2024-01-30T01:08:08+00:00
Grade,2.8,7.2.6,Grade 6,06,2024-01-30T01:08:08+00:00
Element,2.8.1,7.2.6.A,*Physical Characteristics* Describe the characteristics of places and regions.,06,2024-01-30T01:08:08+00:00
Element,2.8.2,7.2.6.B,*Physical Processes* Describe the physical processes that shape patterns on Earth’s surface.,06,2024-01-30T01:08:08+00:00
Grade,2.9,7.2.7,Grade 7,07,2024-01-30T01:08:08+00:00
Element,2.9.1,7.2.7.A,*Physical Characteristics* Explain the characteristics of places and regions.,07,2024-01-30T01:08:08+00:00
Element,2.9.2,7.2.7.B,*Physical Processes* Describe the physical processes that shape patterns on Earth’s surface.,07,2024-01-30T01:08:08+00:00
Grade,2.10,7.2.8,Grade 8,08,2024-01-30T01:08:08+00:00
Element,2.10.1,7.2.8.A,*Physical Characteristics* Explain the characteristics of places and regions.,08,2024-01-30T01:08:08+00:00
Element,2.10.2,7.2.8.B,*Physical Processes* Explain the physical processes that shape patterns on Earth’s surface.,08,2024-01-30T01:08:08+00:00
Course,2.11,7.2.9,Grade 9,09,2024-01-30T01:08:08+00:00
Element,2.11.1,7.2.9.A,"*Physical Characteristics* Explain the physical characteristics of places and regions, including spatial patterns of Earth’s physical systems.",09,2024-01-30T01:08:08+00:00
Element,2.11.2,7.2.9.B,*Physical Processes* Explain the dynamics of the fundamental processes that underlie the operation of,09,2024-01-30T01:08:08+00:00
Course,2.12,7.2.U,US History (1850-Present),09-12,2024-01-30T01:08:08+00:00
Element,2.12.1,7.2.U.A,"*Physical Characteristics* Analyze the physical characteristics of places and regions, including the interrelationships among the components of Earth’s physical systems.",09-12,2024-01-30T01:08:08+00:00
Element,2.12.2,7.2.U.B,*Physical Processes* Analyze the significance of physical processes in shaping the character of places and regions.,09-12,2024-01-30T01:08:08+00:00
Course,2.13,7.2.W,World History (1450-Present),09-12,2024-01-30T01:08:08+00:00
Element,2.13.1,7.2.W.A,"*Physical Characteristics* Analyze the physical characteristics of places and regions, including the interrelationships among the components of Earth’s physical systems.",09-12,2024-01-30T01:08:08+00:00
Element,2.13.2,7.2.W.B,*Physical Processes* Analyze the significance of physical processes in shaping the character of places and regions.,09-12,2024-01-30T01:08:08+00:00
Course,2.14,7.2.C,Civics & Government,09-12,2024-01-30T01:08:08+00:00
Element,2.14.1,7.2.C.A,*Physical Characteristics* Intentionally Blank,09-12,2024-01-30T01:08:08+00:00
Element,2.14.2,7.2.C.B,*Physical Processes* Intentionally Blank,09-12,2024-01-30T01:08:08+00:00
Course,2.15,7.2.12,Grade 12,12,2024-01-30T01:08:08+00:00
Element,2.15.1,7.2.12.A,"*Physical Characteristics* Analyze the physical characteristics of places and regions, including the interrelationships among the components of Earth’s physical systems.",12,2024-01-30T01:08:08+00:00
Element,2.15.2,7.2.12.B,*Physical Processes* Analyze the significance of physical processes in shaping the character of places and regions.,12,2024-01-30T01:08:08+00:00
Standard,3,7.3,Human Characteristics of Places and Regions,,2024-01-30T19:24:34+00:00
Grade,3.1,7.3.PK,Pre-K,PK,2024-01-30T01:08:08+00:00
Element,3.1.1,7.3.PK.A,*Human Characteristics* Intentionally Blank,PK,2024-01-30T01:08:08+00:00
Grade,3.2,7.3.K,Kindergarten,KG,2024-01-30T01:08:08+00:00
Element,3.2.1,7.3.K.A,*Human Characteristics* Intentionally Blank,KG,2024-01-30T01:08:08+00:00
Grade,3.3,7.3.1,Grade 1,01,2024-01-30T01:08:25+00:00
Element,3.3.1,7.3.1.A,*Human Characteristics* Intentionally Blank,01,2024-01-30T01:08:08+00:00
