Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Range,1,,End of Grade 3,KG-03,2025-04-03T20:52:17+00:00
Strand,1.1,10.1,Concepts of Health,KG-03,2025-04-03T20:52:17+00:00
Standard,1.1.1,10.1.3.A,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* identify and describe the stages of growth and development.",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.1.1,10.1.3.A.1,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to identify and describe the stages of growth and development:* infancy",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.1.2,10.1.3.A.2,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to identify and describe the stages of growth and development:* childhood",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.1.3,10.1.3.A.3,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to identify and describe the stages of growth and development:* adolescence",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.1.4,10.1.3.A.4,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to identify and describe the stages of growth and development:* adulthood",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.1.5,10.1.3.A.5,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to identify and describe the stages of growth and development:* late adulthood",KG-03,2025-04-03T20:52:17+00:00
Standard,1.1.2,10.1.3.B,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* identify and know the location and function of the major body organs and systems.",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.2.1,10.1.3.B.1,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to identify and know the location and function of the major body organs and systems:* circulatory",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.2.2,10.1.3.B.2,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to identify and know the location and function of the major body organs and systems:* respiratory",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.2.3,10.1.3.B.3,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to identify and know the location and function of the major body organs and systems:* muscular",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.2.4,10.1.3.B.4,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to identify and know the location and function of the major body organs and systems:* skeletal",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.2.5,10.1.3.B.5,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to identify and know the location and function of the major body organs and systems:* digestive",KG-03,2025-04-03T20:52:17+00:00
Standard,1.1.3,10.1.3.C,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* explain the role of the food guide pyramid in helping people eat a healthy diet.",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.3.1,10.1.3.C.1,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to explain the role of the food guide pyramid in helping people eat a healthy diet:* food groups",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.3.2,10.1.3.C.2,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to explain the role of the food guide pyramid in helping people eat a healthy diet:* number of servings",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.3.3,10.1.3.C.3,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to explain the role of the food guide pyramid in helping people eat a healthy diet:* variety of food",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.3.4,10.1.3.C.4,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to explain the role of the food guide pyramid in helping people eat a healthy diet:* nutrients",KG-03,2025-04-03T20:52:17+00:00
Standard,1.1.4,10.1.3.D,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* know age appropriate drug information.",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.4.1,10.1.3.D.1,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to know age appropriate drug information:* definition of drugs",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.4.2,10.1.3.D.2,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to know age appropriate drug information:* effects of drugs",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.4.3,10.1.3.D.3,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to know age appropriate drug information:* proper use of medicine",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.4.4,10.1.3.D.4,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to know age appropriate drug information:* healthy/unhealthy risk-taking (e.g., inhalant use, smoking)",KG-03,2025-04-03T20:52:17+00:00
Component,1.1.4.5,10.1.3.D.5,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to know age appropriate drug information:* skills to avoid drugs",KG-03,2025-04-03T20:52:17+00:00
Standard,1.1.5,10.1.3.E,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* identify types and causes of common health problems of children.",KG-03,2025-04-03T20:52:17+00:00
