Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard,1,8.1,Historical Analysis and Skills Development,KG-12,2023-11-19T00:00:00+00:00
Grade,1.1,8.1.3,Grade 3,03,2023-11-19T00:00:00+00:00
Element,1.1.1,8.1.3.A,"Understand chronological thinking and distinguish between past, present and future time.",03,2023-11-19T00:00:00+00:00
Element,1.1.2,8.1.3.B,Develop an understanding of historical sources.,03,2023-11-19T00:00:00+00:00
Element,1.1.3,8.1.3.C,Understand fundamentals of historical interpretation.,03,2023-11-19T00:00:00+00:00
Element,1.1.4,8.1.3.D,Understand historical research.,03,2023-11-19T00:00:00+00:00
Grade,1.2,8.1.6,Grade 6,06,2023-11-19T00:00:00+00:00
Element,1.2.1,8.1.6.A,"Understand chronological thinking and distinguish between past, present and future time.",06,2023-11-19T00:00:00+00:00
Element,1.2.2,8.1.6.B,Explain and analyze historical sources.,06,2023-11-19T00:00:00+00:00
Element,1.2.3,8.1.6.C,Explain the fundamentals of historical interpretation.,06,2023-11-19T00:00:00+00:00
Element,1.2.4,8.1.6.D,Describe and explain historical research.,06,2023-11-19T00:00:00+00:00
Grade,1.3,8.1.9,Grade 9,09,2023-11-19T00:00:00+00:00
Element,1.3.1,8.1.9.A,Analyze chronological thinking.,09,2023-11-19T00:00:00+00:00
Element,1.3.2,8.1.9.B,Analyze and interpret historical sources.,09,2023-11-19T00:00:00+00:00
Element,1.3.3,8.1.9.C,Analyze the fundamentals of historical interpretation.,09,2023-11-19T00:00:00+00:00
Element,1.3.4,8.1.9.D,Analyze and interpret historical research.,09,2023-11-19T00:00:00+00:00
Grade,1.4,8.1.12,Grade 12,12,2023-11-19T00:00:00+00:00
Element,1.4.1,8.1.12.A,Evaluate chronological thinking.,12,2023-11-19T00:00:00+00:00
Element,1.4.2,8.1.12.B,Synthesize and evaluate historical sources.,12,2023-11-19T00:00:00+00:00
Element,1.4.3,8.1.12.C,Evaluate historical interpretation of events.,12,2023-11-19T00:00:00+00:00
Element,1.4.4,8.1.12.D,Synthesize historical research.,12,2023-11-19T00:00:00+00:00
Standard,2,8.2,Pennsylvania History,,2023-11-19T00:00:00+00:00
Grade,2.1,8.2.3,Grade 3,03,2023-11-19T00:00:00+00:00
Element,2.1.1,8.2.3.A,Understand the political and cultural contributions of individuals and groups to Pennsylvania history.,03,2023-11-19T00:00:00+00:00
Element,2.1.2,8.2.3.B,"Identify and describe primary documents, material artifacts and historic sites important in Pennsylvania history.",03,2023-11-19T00:00:00+00:00
Element,2.1.3,8.2.3.C,Identify and describe how continuity and change have influenced Pennsylvania history.,03,2023-11-19T00:00:00+00:00
Element,2.1.4,8.2.3.D,Identify and describe conflict and cooperation among social groups and organizations in Pennsylvania history.,03,2023-11-19T00:00:00+00:00
Grade,2.2,8.2.6,Grade 6,06,2023-11-19T00:00:00+00:00
