Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard,1,8.1,Historical Analysis and Skills Development,,2024-01-31T23:34:00+00:00
Grade,1.1,8.1.PK,Pre-K,PK,2024-01-31T23:34:00+00:00
Element,1.1.1,8.1.PK.A,*Continuity and Change over Time* Identify a sequence of events through a day.,PK,2024-01-31T23:34:00+00:00
Element,1.1.2,8.1.PK.B,*Fact / Opinion and Points of View* Intentionally Blank,PK,2024-01-31T23:34:00+00:00
Element,1.1.3,8.1.PK.C,"*Research* Understand that information comes from many sources such as books, computers, and newspapers.",PK,2024-01-31T23:34:00+00:00
Grade,1.2,8.1.K,Kindergarten,KG,2024-01-31T23:34:00+00:00
Element,1.2.1,8.1.K.A,"*Continuity and Change over Time* Identify chronological sequence through days, weeks, months, and years (calendar time).",KG,2024-01-31T23:34:00+00:00
Element,1.2.2,8.1.K.B,"*Fact / Opinion and Points of View* With guidance and support, differentiate facts from opinions as related to an event.",KG,2024-01-31T23:34:00+00:00
Element,1.2.3,8.1.K.C,*Research* Explain how to locate information in a source.,KG,2024-01-31T23:34:00+00:00
Grade,1.3,8.1.1,Grade 1,01,2024-01-31T23:34:00+00:00
Element,1.3.1,8.1.1.A,*Continuity and Change over Time* Demonstrate an understanding of chronology.,01,2024-01-31T23:34:00+00:00
Element,1.3.2,8.1.1.B,*Fact / Opinion and Points of View* Identify a problem or dilemma surrounding an event.,01,2024-01-31T23:34:00+00:00
Element,1.3.3,8.1.1.C,*Research* Identify sources of historical information.,01,2024-01-31T23:34:00+00:00
Grade,1.4,8.1.2,Grade 2,02,2024-01-31T23:34:00+00:00
Element,1.4.1,8.1.2.A,*Continuity and Change over Time* Read and interpret information on simple timelines.,02,2024-01-31T23:34:00+00:00
Element,1.4.2,8.1.2.B,*Fact / Opinion and Points of View* Identify documents relating to an event.,02,2024-01-31T23:34:00+00:00
Element,1.4.3,8.1.2.C,*Research* Apply sources of historical information.,02,2024-01-31T23:34:00+00:00
Grade,1.5,8.1.3,Grade 3,03,2024-01-31T23:34:00+00:00
Element,1.5.1,8.1.3.A,"*Continuity and Change over Time* Identify the difference between past, present and future using timelines and/or other graphic representations.",03,2024-01-31T23:34:00+00:00
Element,1.5.2,8.1.3.B,"*Fact / Opinion and Points of View* Identify fact, opinion, multiple points of view, and primary sources as related to historical events.",03,2024-01-31T23:34:00+00:00
Element,1.5.3,8.1.3.C,*Research* Conduct teacher guided inquiry on assigned topics using specified historical sources.,03,2024-01-31T23:34:00+00:00
Grade,1.6,8.1.4,Grade 4,04,2024-01-31T23:34:00+00:00
Element,1.6.1,8.1.4.A,*Continuity and Change over Time* Identify and describe how geography and climate have influenced continuity and change over time.,04,2024-01-31T23:34:00+00:00
Element,1.6.2,8.1.4.B,"*Fact / Opinion and Points of View* Distinguish between fact and opinion from multiple points of view, and primary sources as related to historical events.",04,2024-01-31T23:34:00+00:00
Element,1.6.3,8.1.4.C,*Research* Identify a specific research topic and develop questions relating to the research topic.,04,2024-01-31T23:34:00+00:00
Grade,1.7,8.1.5,Grade 5,05,2024-01-31T23:34:00+00:00
Element,1.7.1,8.1.5.A,*Continuity and Change over Time* Identify and explain the influences of economic features on continuity and change over time.,05,2024-01-31T23:34:00+00:00
Element,1.7.2,8.1.5.B,"*Fact / Opinion and Points of View* Classify and analyze fact and opinion from multiple points of view, and secondary sources as related to historical events.",05,2024-01-31T23:34:00+00:00
Element,1.7.3,8.1.5.C,*Research* Locate primary and secondary sources for the research topic and summarize in writing the findings.,05,2024-01-31T23:34:00+00:00
Grade,1.8,8.1.6,Grade 6,06,2024-01-31T23:34:00+00:00
Element,1.8.1,8.1.6.A,*Continuity and Change over Time* Explain continuity and change over time using sequential order and context of events.,06,2024-01-31T23:34:00+00:00
