Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Academic Standards for Science and Technology,,2023-05-24T20:15:57+00:00
Content Area,1.1,3.1,Unifying Theme,,2023-05-24T18:18:01+00:00
Grade Level,1.1.1,3.1.4,Grade 4,KG-04,2023-09-19T18:40:17+00:00
Standard,1.1.1.1,3.1.4.A,Know that natural and human-made objects are made up of parts.,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.1.1,,Identify and describe what parts make up a system.,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.1.2,,"Identify system parts that are natural and human-made (e.g., ball point pen, simple electrical circuits, plant anatomy).",KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.1.3,,Describe the purpose of analyzing systems.,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.1.4,,"Know that technologies include physical technology systems (e.g., construction, manufacturing, transportation), informational systems and biochemical-related systems",KG-04,2023-09-19T18:40:17+00:00
Standard,1.1.1.2,3.1.4.B,Know models as useful simplifications of objects or processes.,KG-04,2024-02-02T17:03:12+00:00
Performance Expectation,1.1.1.2.1,,Identify different types of models.,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.2.2,,Identify and apply models as tools for prediction and insight.,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.2.3,,Apply appropriate simple modeling tools and techniques.,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.2.4,,"Identify theories that serve as models (e.g., molecules).",KG-04,2023-09-19T18:40:17+00:00
Standard,1.1.1.3,3.1.4.C,Illustrate patterns that regularly occur and reoccur in nature.,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.3.1,,"Identify observable patterns (e.g., growth patterns in plants, crystal shapes in minerals, climate, structural patterns in bird feathers).",KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.3.2,,"Use knowledge of natural patterns to predict next occurrences (e.g., seasons, leaf patterns, lunar phases).",KG-04,2023-09-19T18:40:17+00:00
Standard,1.1.1.4,3.1.4.D,"Know that scale is an important attribute of natural and human made objects, events and phenomena.",KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.4.1,,"Identify the use of scale as it relates to the measurement of distance, volume and mass.",KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.4.2,,"Describe scale as a ratio (e.g., map scales).",KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.4.3,,Explain the importance of scale in producing models and apply it to a model.,KG-04,2023-09-19T18:40:17+00:00
Standard,1.1.1.5,3.1.4.E,Recognize change in natural and physical systems.,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.5.1,,Recognize change as fundamental to science and technology concepts.,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.5.2,,Examine and explain change by using time and measurement.,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.5.3,,Describe relative motion,KG-04,2023-09-19T18:40:17+00:00
Performance Expectation,1.1.1.5.4,,"Describe the change to objects caused by heat, cold, light or chemicals.",KG-04,2023-09-19T18:40:17+00:00
