Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Pre K,PK,2023-11-19T00:00:00+00:00
Standard Area,1.1,CC.1.1,Foundational Skills,PK,2023-11-19T00:00:00+00:00
Cluster,1.1.1,,Book Handling,PK,2023-11-19T00:00:00+00:00
Standard,1.1.1.1,CC.1.1.PK.A,Practice appropriate book handling skills.,PK,2023-11-19T00:00:00+00:00
Cluster,1.1.2,,Print Concepts,PK,2023-11-19T00:00:00+00:00
Standard,1.1.2.1,CC.1.1.PK.B,Identify basic features of print.<ul><li>Differentiate between numbers and letters and letters and words.</li><li>Recognize and name some uppercase and lowercase letters of the alphabet.</li></ul>,PK,2023-11-19T00:00:00+00:00
Cluster,1.1.3,,Phonological Awareness,PK,2023-11-19T00:00:00+00:00
Standard,1.1.3.1,CC.1.1.PK.C,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).<ul><li>Recognize rhyming words and when two or more words begin with the same sound (alliteration).</li><li>Count syllables in spoken words.</li><li>Segment single-syllable spoken words.</li><li>Segment single-syllable spoken words.</li></ul>",PK,2023-11-19T00:00:00+00:00
Cluster,1.1.4,,Phonics and Word Recognition,PK,2023-11-19T00:00:00+00:00
Standard,1.1.4.1,CC.1.1.PK.D,Develop beginning phonics and word skills.<ul><li>Associate some letters with their names and sounds.</li><li>Identify familiar words and environmental print.</li></ul>,PK,2023-11-19T00:00:00+00:00
Standard Area,1.2,CC.1.2,Reading Informational Text,PK,2023-11-19T00:00:00+00:00
Cluster,1.2.1,,Key Ideas and Details - Main Idea,PK,2023-11-19T00:00:00+00:00
Standard,1.2.1.1,CC.1.2.PK.A,"With prompting and support, retell key details of text that support a provided main idea.",PK,2023-11-19T00:00:00+00:00
Cluster,1.2.2,,Key Ideas and Details - Text Analysis,PK,2023-11-19T00:00:00+00:00
Standard,1.2.2.1,CC.1.2.PK.B,Answer questions about a text.,PK,2023-11-19T00:00:00+00:00
Standard,1.2.2.2,CC.1.2.PK.C,"With prompting and support, make connections between information in a text and personal experiences.",PK,2023-11-19T00:00:00+00:00
Cluster,1.2.3,,Craft and Structure - Text Structure,PK,2023-11-19T00:00:00+00:00
Standard,1.2.3.1,CC.1.2.PK.E,"Identify the front cover, back cover, and title page of a book.",PK,2023-11-19T00:00:00+00:00
Cluster,1.2.4,,Craft and Structure - Vocabulary,PK,2023-11-19T00:00:00+00:00
Standard,1.2.4.1,CC.1.2.PK.F,"With prompting and support, answer questions about unfamiliar words read aloud from a text.",PK,2023-11-19T00:00:00+00:00
Cluster,1.2.5,,Integration of Knowledge and Ideas - Diverse Media,PK,2023-11-19T00:00:00+00:00
Standard,1.2.5.1,CC.1.2.PK.G,"With prompting and support, answer questions to connect illustrations to the written word.",PK,2023-11-19T00:00:00+00:00
Cluster,1.2.6,,Integration of Knowledge and Ideas - Analysis Across Texts,PK,2023-11-19T00:00:00+00:00
Standard,1.2.6.1,CC.1.2.PK.I,"With prompting and support, identify basic similarities and differences between two texts read aloud on the same topic.",PK,2023-11-19T00:00:00+00:00
Cluster,1.2.7,,Vocabulary Acquisition and Use,PK,2023-11-19T00:00:00+00:00
Standard,1.2.7.1,CC.1.2.PK.J,Use new vocabulary and phrases acquired in conversations and being read to.,PK,2023-11-19T00:00:00+00:00
Standard,1.2.7.2,CC.1.2.PK.K,"With prompting and support, clarify unknown words or phrases read aloud.",PK,2023-11-19T00:00:00+00:00
Cluster,1.2.8,,Range of Reading,PK,2023-11-19T00:00:00+00:00
Standard,1.2.8.1,CC.1.2.PK.L,"With prompting and support, actively engage in group reading activities with purpose and understanding.",PK,2023-11-19T00:00:00+00:00
