Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,High School Content Standards,09-12,2023-11-19T00:00:00+00:00
Standard Area,1.1,CC.2.1,Numbers and Operations,09-12,2023-11-19T00:00:00+00:00
Domain,1.1.1,,Number and Quantity,09-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.1,CC.2.1.HS.F.1,Apply and extend the properties of exponents to solve problems with rational exponents.,09-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.2,CC.2.1.HS.F.2,Apply properties of rational and irrational numbers to solve real world or mathematical problems.,09-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.3,CC.2.1.HS.F.3,"Apply quantitative reasoning to choose and interpret units and scales in formulas, graphs, and data displays.",09-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.4,CC.2.1.HS.F.4,Use units as a way to understand problems and to guide the solution of multi-step problems.,09-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.5,CC.2.1.HS.F.5,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,09-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.6,CC.2.1.HS.F.6,Extend the knowledge of arithmetic operations and apply to complex numbers.,09-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.7,CC.2.1.HS.F.7,Apply concepts of complex numbers in polynomial identities and quadratic equations to solve problems.,09-12,2023-11-19T00:00:00+00:00
Standard Area,1.2,CC.2.2,Algebraic Concepts,09-12,2023-11-19T00:00:00+00:00
Domain,1.2.1,,Algebra,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.1,CC.2.2.HS.D.1,Interpret the structure of expressions to represent a quantity in terms of its context.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.2,CC.2.2.HS.D.2,Write expressions in equivalent forms to solve problems.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.3,CC.2.2.HS.D.3,Extend the knowledge of arithmetic operations and apply to polynomials.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.4,CC.2.2.HS.D.4,Understand the relationship between zeros and factors of polynomials to make generalizations about functions and their graphs.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.5,CC.2.2.HS.D.5,Use polynomial identities to solve problems.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.6,CC.2.2.HS.D.6,Extend the knowledge of rational functions to rewrite in equivalent forms.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.7,CC.2.2.HS.D.7,Create and graph equations or inequalities to describe numbers or relationships.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.8,CC.2.2.HS.D.8,Apply inverse operations to solve equations or formulas for a given variable.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.9,CC.2.2.HS.D.9,Use reasoning to solve equations and justify the solution method.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.10,CC.2.2.HS.D.10,"Represent, solve, and interpret equations/inequalities and systems of equations/inequalities algebraically and graphically.",09-12,2023-11-19T00:00:00+00:00
Domain,1.2.2,,Functions,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.1,CC.2.2.HS.C.1,Use the concept and notation of functions to interpret and apply them in terms of their context.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.2,CC.2.2.HS.C.2,Graph and analyze functions and use their properties to make connections between the different representations.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.3,CC.2.2.HS.C.3,Write functions or sequences that model relationships between two quantities.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.4,CC.2.2.HS.C.4,Interpret the effects transformations have on functions and find the inverses of functions.,09-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.5,CC.2.2.HS.C.5,"Construct and compare linear, quadratic, and exponential models to solve problems.",09-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.6,CC.2.2.HS.C.6,Interpret functions in terms of the situations they model.,09-12,2023-11-19T00:00:00+00:00
