Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Grades 6-8,06-08,2025-03-14T17:09:29+00:00
Strand,1.1,,Nature and Characteristics of Technology and Engineering,06-08,2025-03-14T17:09:29+00:00
Standard,1.1.1,6-8.NCT.1,Consider historical factors that have contributed to the development of technologies and human progress.,06-08,2025-03-14T17:09:29+00:00
Standard,1.1.2,6-8.NCT.2,Engage in a research and development process to simulate how inventions and innovations have evolved through systematic tests and refinements.,06-08,2025-03-14T17:09:29+00:00
Standard,1.1.3,6-8.NCT.3,"Differentiate between inputs, processes, outputs, and feedback in technological systems.",06-08,2025-03-14T17:09:29+00:00
Standard,1.1.4,6-8.NCT.4,"Demonstrate how systems thinking involves considering relationships between every part, as well as how the systems interact with the environment in which it is used.",06-08,2025-03-14T17:09:29+00:00
Standard,1.1.5,6-8.NCT.5,Create an open-loop system that has no feedback path and requires human intervention.,06-08,2025-03-14T17:09:29+00:00
Standard,1.1.6,6-8.NCT.6,Create a closed-loop system that has a feedback path and requires no human intervention.,06-08,2025-03-14T17:09:29+00:00
Standard,1.1.7,6-8.NCT.7,Predict outcomes of a future product or system at the beginning of the design process.,06-08,2025-03-14T17:09:29+00:00
Standard,1.1.8,6-8.NCT.8,Apply informed problem-solving strategies to the improvement of existing devices or processes or the development of new approaches.,06-08,2025-03-14T17:09:29+00:00
Standard,1.1.9,6-8.NCT.9,"Explain how technology and engineering are closely linked to creativity, which can result in both intended and unintended innovations.",06-08,2025-03-14T17:09:29+00:00
Standard,1.1.10,6-8.NCT.10,Compare how different technologies involve different sets of processes.,06-08,2025-03-14T17:09:29+00:00
Strand,1.2,,"Integration of Knowledge, Technologies, and Practices",06-08,2025-03-14T17:09:29+00:00
Standard,1.2.1,6-8.IKT.1,"Compare, contrast, and identify overlap between the contributions of science, technology, engineering, and mathematics in the development of technological systems.",06-08,2025-03-14T17:09:29+00:00
Standard,1.2.2,6-8.IKT.2,"Analyze how different technological systems often interact with economic, environmental, and social systems.",06-08,2025-03-14T17:09:29+00:00
Standard,1.2.3,6-8.IKT.3,"Adapt and apply an existing product, system, or process to solve a problem in a different setting.",06-08,2025-03-14T17:09:29+00:00
Standard,1.2.4,6-8.IKT.4,Demonstrate how knowledge gained from other content areas affects the development of technological products and systems.,06-08,2025-03-14T17:09:29+00:00
Strand,1.3,,"Applying, Maintaining, Assessing and Evaluating Technological Products and Systems",06-08,2025-03-14T17:09:29+00:00
Standard,1.3.1,6-8.AMA.1,Examine the ways that technology can have both positive and negative effects at the same time.,06-08,2025-03-14T17:09:29+00:00
Standard,1.3.2,6-8.AMA.2,"Analyze how the creation and use of technologies consumes renewable, non-renewable, and inexhaustible resources; creates waste; and may contribute to environmental challenges.",06-08,2025-03-14T17:09:29+00:00
Standard,1.3.3,6-8.AMA.3,"Consider the impacts of a proposed or existing technology and devise strategies for reducing, reusing, and recycling waste caused by its creation.",06-08,2025-03-14T17:09:29+00:00
Standard,1.3.4,6-8.AMA.4,"Analyze examples of technologies that have changed the way people think, interact, live, and communicate.",06-08,2025-03-14T17:09:29+00:00
Standard,1.3.5,6-8.AMA.5,"Hypothesize what alternative outcomes (individual, cultural, and/or environmental) might have resulted had a different technological solution been selected.",06-08,2025-03-14T17:09:29+00:00
Standard,1.3.6,6-8.AMA.6,Analyze how an invention or innovation was influenced by the context and circumstances in which it is developed.,06-08,2025-03-14T17:09:29+00:00
Standard,1.3.7,6-8.AMA.7,Evaluate trade-offs based on various perspectives as part of a decision process that recognizes the need for careful compromises among competing factors.,06-08,2025-03-14T17:09:29+00:00
Standard,1.3.8,6-8.AMA.8,Research information from various sources to use and maintain technological products or systems.,06-08,2025-03-14T17:09:29+00:00
Standard,1.3.9,6-8.AMA.9,"Use tools, materials, and machines to safely diagnose, adjust, and repair systems.",06-08,2025-03-14T17:09:29+00:00
Standard,1.3.10,6-8.AMA.10,Use devices to control technological systems.,06-08,2025-03-14T17:09:29+00:00
Standard,1.3.11,6-8.AMA.11,Design methods to gather data about technological systems.,06-08,2025-03-14T17:09:29+00:00
Standard,1.3.12,6-8.AMA.12,Interpret the accuracy of information collected.,06-08,2025-03-14T17:09:29+00:00
Standard,1.3.13,6-8.AMA.13,Use instruments to gather data on the performance of everyday products.,06-08,2025-03-14T17:09:29+00:00
Strand,1.4,,Design Thinking in Technology and Engineering Education,06-08,2025-03-14T17:09:29+00:00
Standard,1.4.1,6-8.DTT.1,Apply a technology and engineering design thinking process.,06-08,2025-03-14T17:09:29+00:00
Standard,1.4.2,6-8.DTT.2,Develop innovative products and systems that solve problems and extend capabilities based on individual or collective needs and wants.,06-08,2025-03-14T17:09:29+00:00
Standard,1.4.3,6-8.DTT.3,Illustrate the benefits and opportunities associated with different approaches to design.,06-08,2025-03-14T17:09:29+00:00
Standard,1.4.4,6-8.DTT.4,Create solutions to problems by identifying and applying human factors in design.,06-08,2025-03-14T17:09:29+00:00
Standard,1.4.5,6-8.DTT.5,Evaluate and assess the strengths and weaknesses of various design solutions given established principles and elements of design.,06-08,2025-03-14T17:09:29+00:00
Standard,1.4.6,6-8.DTT.6,Refine design solutions to address criteria and constraints.,06-08,2025-03-14T17:09:29+00:00
Standard,1.4.7,6-8.DTT.7,Defend decisions related to a design problem.,06-08,2025-03-14T17:09:29+00:00
Grade Band,2,,Grades 9-12,09-12,2025-03-14T17:09:38+00:00
Strand,2.1,,Nature and Characteristics of Technology & Engineering,09-12,2025-03-14T17:09:38+00:00
Standard,2.1.1,9-12.NCT.1,"Evaluate how technology and engineering have been powerful forces in reshaping the social, cultural, political, and economic landscapes throughout history.",09-12,2025-03-14T17:09:38+00:00
