Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,111,Subchapter A. Elementary,,2022-04-11T13:11:43+00:00
Implementation,1.1,111.1,"Implementation of Texas Essential Knowledge and Skills for Mathematics, Elementary, Adopted 2012.",,2022-04-11T13:13:17+00:00
Implementation,1.1.1,111.1.a,The provisions of §§111.2-111.7 of this subchapter shall be implemented by school districts.,,2022-04-11T13:13:17+00:00
Implementation,1.1.2,111.1.b,"No later than August 31, 2013, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills for mathematics as adopted in §§111.2-111.7 of this subchapter.",,2022-04-11T13:13:17+00:00
Implementation,1.1.3,111.1.c,"If the commissioner makes the determination that instructional materials funding has been made available under subsection (b) of this section, §§111.2-111.7 of this subchapter shall be implemented beginning with the 2014-2015 school year and apply to the 2014-2015 and subsequent school years.",,2022-04-11T13:13:17+00:00
Implementation,1.1.4,111.1.d,"If the commissioner does not make the determination that instructional materials funding has been made available under subsection (b) of this section, the commissioner shall determine no later than August 31 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that §§111.2-111.7 of this subchapter shall be implemented for the following school year.",,2022-04-11T13:13:17+00:00
Grade/Course,1.2,111.2,"Kindergarten, Adopted 2012.",,2022-04-11T13:11:45+00:00
Introduction,1.2.1,111.2.a,Introduction.,,2022-04-11T13:11:45+00:00
Introduction,1.2.1.1,111.2.a.1,"The desire to achieve educational excellence is the driving force behind the Texas essential knowledge and skills for mathematics, guided by the college and career readiness standards. By embedding statistics, probability, and finance, while focusing on computational thinking, mathematical fluency, and solid understanding, Texas will lead the way in mathematics education and prepare all Texas students for the challenges they will face in the 21st century.",,2022-04-11T13:11:45+00:00
Introduction,1.2.1.2,111.2.a.2,"The process standards describe ways in which students are expected to engage in the content. The placement of the process standards at the beginning of the knowledge and skills listed for each grade and course is intentional. The process standards weave the other knowledge and skills together so that students may be successful problem solvers and use mathematics efficiently and effectively in daily life. The process standards are integrated at every grade level and course. When possible, students will apply mathematics to problems arising in everyday life, society, and the workplace. Students will use a problem-solving model that incorporates analyzing given information, formulating a plan or strategy, determining a solution, justifying the solution, and evaluating the problem-solving process and the reasonableness of the solution. Students will select appropriate tools such as real objects, manipulatives, algorithms, paper and pencil, and technology and techniques such as mental math, estimation, number sense, and generalization and abstraction to solve problems. Students will effectively communicate mathematical ideas, reasoning, and their implications using multiple representations such as symbols, diagrams, graphs, computer programs, and language. Students will use mathematical relationships to generate solutions and make connections and predictions. Students will analyze mathematical relationships to connect and communicate mathematical ideas. Students will display, explain, or justify mathematical ideas and arguments using precise mathematical language in written or oral communication.",,2022-04-11T13:11:45+00:00
Introduction,1.2.1.3,111.2.a.3,"For students to become fluent in mathematics, students must develop a robust sense of number. The National Research Council's report, ""Adding It Up,"" defines procedural fluency as ""skill in carrying out procedures flexibly, accurately, efficiently, and appropriately."" As students develop procedural fluency, they must also realize that true problem solving may take time, effort, and perseverance. Students in Kindergarten are expected to perform their work without the use of calculators.",,2022-04-11T13:11:45+00:00
Introduction,1.2.1.4,111.2.a.4,"The primary focal areas in Kindergarten are understanding counting and cardinality, understanding addition as joining and subtraction as separating, and comparing objects by measurable attributes.",,2022-04-11T13:11:45+00:00
Introduction,1.2.1.4.1,111.2.a.4.A,Students develop number and operations through several fundamental concepts. Students know number names and the counting sequence. Counting and cardinality lay a solid foundation for number. Students apply the principles of counting to make the connection between numbers and quantities.,,2022-04-11T13:11:45+00:00
Introduction,1.2.1.4.2,111.2.a.4.B,Students use meanings of numbers to create strategies for solving problems and responding to practical situations involving addition and subtraction.,,2022-04-11T13:11:45+00:00
Introduction,1.2.1.4.3,111.2.a.4.C,Students identify characteristics of objects that can be measured and directly compare objects according to these measurable attributes.,,2022-04-11T13:11:45+00:00
Introduction,1.2.1.5,111.2.a.5,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",,2022-04-11T13:11:45+00:00
Knowledge and Skills,1.2.2,111.2.b,Knowledge and skills.,,2022-04-11T13:11:45+00:00
Strand,1.2.2.1,111.2.b.1,Mathematical process standards. The student uses mathematical processes to acquire and demonstrate mathematical understanding. The student is expected to:,,2022-04-11T13:11:45+00:00
Student Expectation,1.2.2.1.1,111.2.b.1.A,"apply mathematics to problems arising in everyday life, society, and the workplace;",,2022-04-11T13:11:45+00:00
Student Expectation,1.2.2.1.2,111.2.b.1.B,"use a problem-solving model that incorporates analyzing given information, formulating a plan or strategy, determining a solution, justifying the solution, and evaluating the problem-solving process and the reasonableness of the solution;",,2022-04-11T13:11:45+00:00
Student Expectation,1.2.2.1.3,111.2.b.1.C,"select tools, including real objects, manipulatives, paper and pencil, and technology as appropriate, and techniques, including mental math, estimation, and number sense as appropriate, to solve problems;",,2022-04-11T13:11:47+00:00
Student Expectation,1.2.2.1.4,111.2.b.1.D,"communicate mathematical ideas, reasoning, and their implications using multiple representations, including symbols, diagrams, graphs, and language as appropriate;",,2022-04-11T13:11:47+00:00
Student Expectation,1.2.2.1.5,111.2.b.1.E,"create and use representations to organize, record, and communicate mathematical ideas;",,2022-04-11T13:11:47+00:00
Student Expectation,1.2.2.1.6,111.2.b.1.F,analyze mathematical relationships to connect and communicate mathematical ideas; and,,2022-04-11T13:11:47+00:00
