Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,112,Subchapter A. Elementary,,2022-04-11T13:14:48+00:00
Implementation,1.1,112.1,"112.1. Implementation of Texas Essential Knowledge and Skills for Science, Elementary, Adopted 2021.",,2023-12-26T04:17:44+00:00
Implementation,1.1.1,112.1.a,The provisions of §§112.2-112.7 of this subchapter shall be implemented by school districts.,,2023-12-26T04:17:44+00:00
Implementation,1.1.2,112.1.b,"No later than July 31, 2023, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills for science as adopted in §§112.2-112.7 of this subchapter.",,2023-12-26T04:17:44+00:00
Implementation,1.1.3,112.1.c,"If the commissioner makes the determination that instructional materials funding has been made available under subsection (b) of this section, §§112.2-112.7 of this subchapter shall be implemented beginning with the 2024-2025 school year and apply to the 2024-2025 and subsequent school years.",,2023-12-26T04:17:44+00:00
Implementation,1.1.4,112.1.d,"If the commissioner does not make the determination that instructional materials funding has been made available under subsection (b) of this section, the commissioner shall determine no later than July 31 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that §§112.2-112.7 of this subchapter shall be implemented for the following school year.",,2023-12-26T04:17:44+00:00
Implementation,1.1.5,112.1.e,Sections 112.11-112.16 of this subchapter shall be superseded by the implementation of §§112.2-112.7 of this subchapter.,,2023-12-26T04:17:44+00:00
Grade/Course,1.2,112.2.,"112.2. Science, Kindergarten, Adopted 2021.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1,112.2.a,Introduction.,,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1,112.2.a.1,"In Kindergarten through Grade 5 Science, content is organized into recurring strands. The concepts within each grade level build on prior knowledge, prepare students for the next grade level, and establish a foundation in science. In Kindergarten, the following concepts will be addressed in each strand.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.1,112.2.a.1.A,"Scientific and engineering practices. Scientific inquiry is the planned and deliberate investigation of the natural world using scientific and engineering practices. Scientific methods of investigation are descriptive, correlative, comparative, or experimental. The method chosen should be appropriate to the grade level and question being asked. Student learning for different types of investigations includes descriptive investigations, which have no hypothesis that tentatively answers the research question and involve collecting data and recording observations without making comparisons; correlative and comparative investigations, which have a hypothesis that predicts a relationship and involve collecting data, measuring variables relevant to the hypothesis that are manipulated, and comparing results; and experimental investigations, which involve processes similar to comparative investigations but in which a hypothesis can be tested by comparing a treatment with a control.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.1.1,112.2.a.1.A.i,"Scientific practices. Students ask questions, plan and conduct investigations to answer questions, and explain phenomena using appropriate tools and models.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.1.2,112.2.a.1.A.ii,Engineering practices. Students identify problems and design solutions using appropriate tools and models.,,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.1.3,112.2.a.1.A.iii,"To support instruction in the science content standards, it is recommended that districts integrate scientific and engineering practices through classroom and outdoor investigations for at least 80% of instructional time.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.2,112.2.a.1.B,"Matter and its properties. Students build their knowledge of the natural world using their senses. The students focus on observable properties and patterns of objects, including shape, color, texture, and material.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.3,112.2.a.1.C,"Force, motion, and energy. Students explore the location, motion, and position of objects and investigate the importance of light energy as it relates to the students' everyday lives. Students focus on demonstrating light energy sources and their effect on objects.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.4,112.2.a.1.D,"Earth and space. Patterns are recognizable in the natural world and among objects in the sky. Students understand that weather, seasons of the year, and day and night are repeated patterns. Materials found on Earth can be used and classified.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.5,112.2.a.1.E,"Organisms and environments. All living organisms satisfy basic needs through interactions with nonliving things and living organisms, and they have structures and functions that help them survive within their environments. Students investigate the life cycle of plants and identify likenesses between parents and young.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.2,112.2.a.2,"Nature of science. Science, as defined by the National Academy of Sciences, is the ""use of evidence to construct testable explanations and predictions of natural phenomena, as well as the knowledge generated through this process."" This vast body of changing and increasing knowledge is described by physical, mathematical, and conceptual models. Students should know that some questions are outside the realm of science because they deal with phenomena that are not currently scientifically testable.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.3,112.2.a.3,"Scientific observations, inferences, hypotheses, and theories. Students are expected to know that:",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.3.1,112.2.a.3.A,observations are active acquisition of either qualitative or quantitative information from a primary source through the senses;,,2023-12-26T04:17:44+00:00
Introduction,1.2.1.3.2,112.2.a.3.B,inferences are conclusions reached on the basis of observations or reasoning supported by relevant evidence;,,2023-12-26T04:17:44+00:00
Introduction,1.2.1.3.3,112.2.a.3.C,hypotheses are tentative and testable statements that must be capable of being supported or not supported by observational evidence. Hypotheses of durable explanatory power that have been tested over a wide variety of conditions are incorporated into theories; and,,2023-12-26T04:17:44+00:00
Introduction,1.2.1.3.4,112.2.a.3.D,"scientific theories are based on natural and physical phenomena and are capable of being tested by multiple independent researchers. Unlike hypotheses, scientific theories are well established and highly reliable explanations, but they may be subject to change as new areas of science and new technologies are developed.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.4,112.2.a.4,Science and social ethics. Scientific decision making is a way of answering questions about the natural world involving its own set of ethical standards about how the process of science should be carried out. Students distinguish between scientific decision-making practices and ethical and social decisions that involve science.,,2023-12-26T04:17:44+00:00
