Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,113,Subchapter A. Elementary,,2022-08-08T17:21:21+00:00
Grade/Course,1.1,113.11.,"113.11. Social Studies, Kindergarten, Adopted 2022.",,2024-09-21T18:02:27+00:00
Implementation,1.1.1,113.11.a,Implementation. The provisions of this section shall be implemented by school districts beginning with the 2024-2025 school year.,,2024-09-21T14:47:25+00:00
Introduction,1.1.2,113.11.b,Introduction.,,2024-09-21T14:47:52+00:00
Introduction,1.1.2.1,113.11.b.1,"In Kindergarten, the study of the self, home, family, and classroom establishes the foundation for responsible citizenship in society. Students explore state and national heritage by examining the celebration of patriotic holidays and the contributions of individuals. The concept of chronology is introduced. Students apply geographic concepts of location and physical and human characteristics of place. Students identify basic human needs and ways people meet these needs. Students learn the purpose of rules and the role of authority figures in the home and school. Students learn customs, symbols, and celebrations that represent American beliefs and principles and contribute to our national identity. Students compare family customs and traditions and describe examples of technology in the home and school. Students acquire information from a variety of oral and visual sources. Students practice problem-solving, decision-making, and independent-thinking skills.",,2024-09-21T14:48:31+00:00
Introduction,1.1.2.2,113.11.b.2,"To support the teaching of the essential knowledge and skills, the use of a variety of rich material is encouraged. Motivating resources are available from museums, historical sites, presidential libraries, and local and state preservation societies.",,2024-09-21T14:48:58+00:00
Introduction,1.1.2.3,113.11.b.3,"The eight strands of the essential knowledge and skills for social studies are intended to be integrated for instructional purposes. Skills listed in the social studies skills strand in subsection (c) of this section should be incorporated into the teaching of all essential knowledge and skills for social studies. A greater depth of understanding of complex content material can be attained when integrated social studies content from the various disciplines and critical-thinking skills are taught together. Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",,2024-09-21T14:49:27+00:00
Introduction,1.1.2.4,113.11.b.4,Students identify the role of the U.S. free enterprise system within the parameters of this course and understand that this system may also be referenced as capitalism or the free market system.,,2024-09-21T14:49:57+00:00
Introduction,1.1.2.5,113.11.b.5,"Throughout social studies in Kindergarten-Grade 12, students build a foundation in history; geography; economics; government; citizenship; culture; science, technology, and society; and social studies skills. The content, as appropriate for the grade level or course, enables students to understand the importance of patriotism, function in a free enterprise society, and appreciate the basic democratic values of our state and nation as referenced in the Texas Education Code (TEC), §28.002(h).",,2024-09-21T14:50:53+00:00
Introduction,1.1.2.6,113.11.b.6,"Students understand that a constitutional republic is a representative form of government whose representatives derive their authority from the consent of the governed, serve for an established tenure, and are sworn to uphold the constitution.",,2024-09-21T14:51:29+00:00
Introduction,1.1.2.7,113.11.b.7,"Students must demonstrate learning performance related to any federal and state mandates regarding classroom instruction. Although Kindergarten is not required to participate in Celebrate Freedom Week, according to the TEC, §29.907, primary grades lay the foundation for subsequent learning. As a result, Kindergarten Texas essential knowledge and skills include standards related to this patriotic observance.",,2024-09-21T14:52:00+00:00
Introduction,1.1.2.8,113.11.b.8,"Students discuss how and whether the actions of U.S. citizens and the local, state, and federal governments have achieved the ideals espoused in the founding documents.",,2024-09-21T14:52:35+00:00
Knowledge and Skills,1.1.3,113.11.c,Knowledge and skills.,,2024-09-21T14:53:34+00:00
Knowledge and Skills,1.1.3.1,113.11.c.1,History. The student understands that holidays are celebrations of special events. The student is expected to:,,2024-09-21T14:54:04+00:00
Student Expectation,1.1.3.1.1,113.11.c.1.A,"identify national patriotic holidays such as Constitution Day, Presidents' Day, Veterans Day, and Independence Day; and",,2024-09-21T14:56:49+00:00
Student Expectation,1.1.3.1.2,113.11.c.1.B,identify customs associated with national patriotic holidays such as parades and fireworks on Independence Day.,,2024-09-21T14:55:28+00:00
Knowledge and Skills,1.1.3.2,113.11.c.2,"History. The student understands how historical figures helped shape the state and nation. The student is expected to identify contributions of historical figures, including Stephen F. Austin, George Washington, Christopher Columbus, and José Antonio Navarro, who helped to shape the state and nation.",,2024-09-21T14:55:59+00:00
Knowledge and Skills,1.1.3.3,113.11.c.3,Geography. The student understands the concept of location. The student is expected to:,,2024-09-21T14:56:32+00:00
Student Expectation,1.1.3.3.1,113.11.c.3.A,"use spatial terms, including over, under, near, far, left, and right, to describe relative location;",,2024-09-21T14:57:36+00:00
Student Expectation,1.1.3.3.2,113.11.c.3.B,locate places on the school campus and describe their relative locations; and,,2024-09-21T14:58:38+00:00
