Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,114,114 Subchapter A. Elementary,,2024-10-01T18:27:54+00:00
Implementation,1.1,114.3,"Implementation of Texas Essential Knowledge and Skills for Languages Other Than English, Elementary, Adopted 2014.",,2024-10-01T18:36:47+00:00
Implementation,1.1.1,114.3.a ,"The provisions of this section and §114.4 of this title (relating to Languages Other Than English, Elementary, Adopted 2014) shall be implemented by school districts.",,2024-10-01T18:38:06+00:00
Implementation,1.1.2,114.3.b,"No later than August 31, 2016, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills for languages other than English as adopted in §114.4 of this title.",,2024-10-01T18:38:33+00:00
Implementation,1.1.3,114.3.c,"If the commissioner makes the determination that instructional materials funding has been made available under subsection (b) of this section, §114.4 of this title shall be implemented beginning with the 2017-2018 school year and apply to the 2017-2018 and subsequent school years.",,2024-10-01T18:39:09+00:00
Implementation,1.1.4,114.3.d,"If the commissioner does not make the determination that instructional materials funding has been made available under subsection (b) of this section, the commissioner shall determine no later than August 31 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that §114.4 of this title shall be implemented for the following school year.",,2024-10-01T18:39:41+00:00
Implementation,1.1.5,114.3.e,"Section 114.1 of this title (relating to Implementation of Texas Essential Knowledge and Skills for Languages Other Than English, Elementary) and §114.2 of this title (relating to Languages Other Than English, Elementary) shall be superseded by the implementation of this section and §114.4 of this title.",,2024-10-01T18:40:16+00:00
Grade/Course,1.2,114.4,"Languages Other Than English, Elementary, Adopted 2014.",,2024-10-01T18:42:11+00:00
Grade/Course,1.2.1,114.4.a ,"According to the National Standards for Foreign Language Learning, advanced level language proficiency is necessary for college and career readiness. To that end, students should have uninterrupted, consistent access to early standards-based learning experiences in languages other than English. School districts are strongly encouraged to offer languages other than English in the elementary grades in immersion or Foreign Language in Elementary Schools (FLES) settings with consistent and frequent exposure. For districts that offer languages in elementary school, the expected student outcomes are the same as those designated at levels I-IV in Subchapter C of this chapter (relating to Texas Essential Knowledge and Skills for Languages Other Than English).",,2024-10-01T18:42:48+00:00
Grade/Course,1.2.2,114.4.b,"Districts may offer a level of a language in a variety of scheduling arrangements that may extend or reduce the traditional schedule when careful consideration is given to the instructional time available on a campus and the language ability, access to programs, and motivation of students.",,2024-10-01T18:43:15+00:00
Subchapter,2,114,114 Subchapter B. Middle School,,2024-10-01T18:28:37+00:00
Implementation,2.1,114.13,"Implementation of Texas Essential Knowledge and Skills for Languages Other Than English, Middle School, Adopted 2014.",,2024-10-01T18:47:17+00:00
Implementation,2.1.1,114.13.a,"The provisions of this section and §114.14 of this title (relating to Languages Other Than English, Middle School, Adopted 2014) shall be implemented by school districts.",,2024-10-01T18:47:51+00:00
Implementation,2.1.2,114.13.b,"No later than August 31, 2016, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills for languages other than English as adopted in §114.14 of this title.",,2024-10-01T18:48:45+00:00
Implementation,2.1.3,114.13.c,"If the commissioner makes the determination that instructional materials funding has been made available under subsection (b) of this section, §114.14 of this title shall be implemented beginning with the 2017-2018 school year and apply to the 2017-2018 and subsequent school years.",,2024-10-01T18:49:11+00:00
Implementation,2.1.4,114.13.d,"If the commissioner does not make the determination that instructional materials funding has been made available under subsection (b) of this section, the commissioner shall determine no later than August 31 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that §114.14 of this title shall be implemented for the following school year.",,2024-10-01T18:49:47+00:00
Implementation,2.1.5,114.13.e,"Section 114.11 of this title (relating to Implementation of Texas Essential Knowledge and Skills for Languages Other Than English, Middle School) and §114.12 of this title (relating to Languages Other Than English, Middle School) shall be superseded by the implementation of this section and §114.14 of this title.",,2024-10-01T18:50:18+00:00
Grade/Course,2.2,114.14,"Languages Other Than English, Middle School, Adopted 2014.",,2024-10-01T18:51:54+00:00
Grade/Course,2.2.1,114.14.a,"According to the National Standards for Foreign Language Learning, advanced level language proficiency is necessary for college and career readiness. To that end, students should have uninterrupted, consistent access to early standards-based learning experiences in languages other than English. School districts are strongly encouraged to offer languages other than English in middle school. For districts that offer languages in middle school, the essential knowledge and skills are those designated as levels I-IV in Subchapter C of this chapter (relating to Texas Essential Knowledge and Skills for Languages Other Than English).",,2024-10-01T18:52:21+00:00
Grade/Course,2.2.2,114.14.b,Students may be awarded one unit of high school credit per level for successful completion of the level or demonstration of equivalent proficiency and one-half to one unit of high school credit for successful completion of a non-sequential course.,,2024-10-01T18:52:53+00:00
Grade/Course,2.2.3,114.14.c ,"Districts may offer a level of a language in a variety of scheduling arrangements that may extend or reduce the traditional schedule when careful consideration is given to the instructional time available on a campus and the language ability, access to programs, and motivation of students.",,2024-10-01T18:53:39+00:00
Subchapter,3,114,Subchapter C. High School,,2022-04-11T13:22:54+00:00
Implementation,3.1,114.31,"Implementation of Texas Essential Knowledge and Skills for Languages Other Than English, High School, Adopted 2014.",,2022-04-11T13:23:43+00:00
Implementation,3.1.1,114.31.a,The provisions of this section and §§114.32-114.52 of this title shall be implemented by school districts.,,2022-04-11T13:23:43+00:00
Implementation,3.1.2,114.31.b,"The provisions of §114.33 of this title (relating to Special Topics in Language and Culture (One Credit), Adopted 2014) shall be implemented beginning with the 2014-2015 school year.",,2022-04-11T13:23:43+00:00
Implementation,3.1.3,114.31.c,"No later than August 31, 2016, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills for languages other than English as adopted in §§114.32 and 114.34-114.52 of this title.",,2022-04-11T13:23:43+00:00
Implementation,3.1.4,114.31.d,"If the commissioner makes the determination that instructional materials funding has been made available under subsection (c) of this section, §§114.32 and 114.34-114.52 of this title shall be implemented beginning with the 2017-2018 school year and apply to the 2017-2018 and subsequent school years.",,2022-04-11T13:23:43+00:00
Implementation,3.1.5,114.31.e,"If the commissioner does not make the determination that instructional materials funding has been made available under subsection (c) of this section, the commissioner shall determine no later than August 31 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that §§114.32 and 114.34-114.52 of this title shall be implemented for the following school year.",,2022-04-11T13:23:43+00:00
Implementation,3.1.6,114.31.f,Sections 114.21-114.29 of this title shall be superseded by the implementation of this section and §§114.32-114.52 of this title.,,2022-04-11T13:23:43+00:00
Grade/Course,3.2,114.32,"Discovering Languages and Cultures (One-Half to One Credit), Adopted 2014.",,2022-04-11T13:22:54+00:00
General Requirements,3.2.1,114.32.a,General requirements.,,2022-04-11T13:22:54+00:00
General Requirements,3.2.1.1,114.32.a.1,"Discovering Languages and Cultures is a non-sequential elective course that can be offered in elementary, middle, or high school. At the high school level, students shall be awarded one-half to one elective credit for successful completion of this course.",,2022-04-11T13:22:54+00:00
General Requirements,3.2.1.2,114.32.a.2,"Using age-appropriate activities, students explore a variety of aspects of one or more languages and cultures and/or develop basic language learning and communicative skills.",,2022-04-11T13:22:54+00:00
Introduction,3.2.2,114.32.b,Introduction.,,2022-04-11T13:22:54+00:00
Introduction,3.2.2.1,114.32.b.1,"The study of world languages is an essential part of education. In the 21st century language classroom, students gain an understanding of two basic aspects of human existence: the nature of communication and the complexity of culture. Students become aware of multiple perspectives and means of expression, which lead to an appreciation of difference and diversity. Further benefits of foreign language study include stronger cognitive development, increased creativity, and divergent thinking. Students who effectively communicate in more than one language, with an appropriate understanding of cultural context, are globally literate and possess the attributes of successful participants in the world community.",,2022-04-11T13:22:55+00:00
Introduction,3.2.2.2,114.32.b.2,"Communication is the overarching goal of world language instruction. Students should be provided ample opportunities to engage in conversations, to present information to an audience, and to interpret culturally authentic materials in the language of study. The American Council on the Teaching of Foreign Languages (ACTFL) identifies three modes of communication: interpersonal, interpretive, and presentational.",,2022-04-11T13:22:55+00:00
Introduction,3.2.2.2.1,114.32.b.2.A,"In the interpersonal mode of communication, students engage in direct oral or written communication with others. Examples of this ""two-way"" communication include but are not limited to conversing face to face, participating in digital discussions and messaging, and exchanging personal letters.",,2022-04-11T13:22:55+00:00
Introduction,3.2.2.2.2,114.32.b.2.B,"In the interpretive mode of communication, students demonstrate understanding of spoken and written communication within appropriate cultural contexts. Examples of this type of ""one-way"" reading or listening include but are not limited to comprehension of digital texts as well as print, audio, and audiovisual materials.",,2022-04-11T13:22:55+00:00
Introduction,3.2.2.2.3,114.32.b.2.C,"In the presentational mode of communication, students present orally or in writing information, concepts, and ideas to an audience of listeners or readers with whom there is no immediate interaction. Examples of this ""one-to-many"" mode of communication include but are not limited to presenting to a group; creating and posting digital content; or writing reports, compositions, or articles for a magazine or newspaper.",,2022-04-11T13:22:55+00:00
Introduction,3.2.2.3,114.32.b.3,"The use of age-level appropriate and culturally authentic resources is imperative to support the teaching of the essential knowledge and skills for languages other than English (LOTE). The use of culturally authentic resources in world language study enables students to make connections with other content areas, to compare the language and culture studied with their own, and to participate in local and global communities.",,2022-04-11T13:22:55+00:00
Introduction,3.2.2.4,114.32.b.4,"Discovery courses in LOTE allow the student to explore other languages and cultures. The student demonstrates an understanding of the elements of language(s), demonstrates an understanding of cultures, and develops effective language study skills. ACTFL has established guidelines for proficiency levels that are used as a basis for the Texas essential knowledge and skills for LOTE. ACTFL has identified national standards in the Standards for Foreign Language Learning in the 21st Century (the five C's of foreign language education). These standards describe the ""what"" (content) of world languages learning and form the core standards-based instruction in the world languages classroom.",,2022-04-11T13:22:55+00:00
Introduction,3.2.2.5,114.32.b.5,"Statements containing the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",,2022-04-11T13:22:55+00:00
Knowledge and Skills,3.2.3,114.32.c,Knowledge and skills.,,2022-04-11T13:22:55+00:00
Strand,3.2.3.1,114.32.c.1,The student demonstrates an understanding of the elements of language(s). The student is expected to:,,2022-04-11T13:22:55+00:00
Student Expectation,3.2.3.1.1,114.32.c.1.A,engage in different types of language learning activities;,,2022-04-11T13:22:55+00:00
Student Expectation,3.2.3.1.2,114.32.c.1.B,compare and contrast aspects of other languages to English and the student's native language; and,,2022-04-11T13:22:55+00:00
Student Expectation,3.2.3.1.3,114.32.c.1.C,"apply basic communication skills in the target language(s), including listening, speaking, reading, and writing.",,2022-04-11T13:22:55+00:00
Strand,3.2.3.2,114.32.c.2,The student demonstrates an understanding of cultures. The student is expected to:,,2022-04-11T13:22:55+00:00
Student Expectation,3.2.3.2.1,114.32.c.2.A,identify and describe cultural practices in selected regions or countries;,,2022-04-11T13:22:55+00:00
Student Expectation,3.2.3.2.2,114.32.c.2.B,"recognize the cultural products such as art, music, food, clothing, or other culturally related examples in selected regions or countries; and",,2022-04-11T13:22:57+00:00
Student Expectation,3.2.3.2.3,114.32.c.2.C,compare and contrast aspects of other cultures to the student's own culture.,,2022-04-11T13:22:57+00:00
Strand,3.2.3.3,114.32.c.3,The student develops effective language study skills. The student is expected to:,,2022-04-11T13:22:57+00:00
Student Expectation,3.2.3.3.1,114.32.c.3.A,engage in a variety of language learning strategies such as identifying cognates and recognizing word origins; and,,2022-04-11T13:22:57+00:00
Student Expectation,3.2.3.3.2,114.32.c.3.B,"demonstrate an awareness of language patterns such as word/character order, grammatical structures, and symbols.",,2022-04-11T13:22:57+00:00
Grade/Course,3.3,114.33,"Special Topics in Language and Culture (One Credit), Adopted 2014.",,2022-04-11T13:22:57+00:00
General Requirements,3.3.1,114.33.a,General requirements. Students shall be awarded one credit for successful completion of this course. This course cannot be considered a part of the coherent sequence of languages other than English (LOTE) courses required for any endorsement. This course will not count as a level II LOTE course. Students who desire to continue with LOTE study will need to take level II or higher LOTE courses. This course may be substituted for a level II LOTE course upon approval by:,,2022-04-11T13:22:57+00:00
General Requirements,3.3.1.1,114.33.a.1,"the student's level I LOTE classroom teacher, the principal or designee, and the student's parent or person standing in parental relation who determine that the student is not likely to be successful in a level II LOTE course;",,2022-04-11T13:22:57+00:00
