Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,115,Subchapter A. Elementary,,2023-12-26T04:17:44+00:00
Implementation,1.1,115.11,"Implementation of Texas Essential Knowledge and Skills for Health Education, Adopted 2020.",,2023-12-26T04:17:44+00:00
Implementation,1.1.1,115.11.a,The provisions of §§115.12-115.17 of this subchapter shall be implemented by school districts.,,2023-12-26T04:17:44+00:00
Implementation,1.1.2,115.11.b,"No later than July 31, 2021, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills for health education as adopted in §§115.12-115.17 of this subchapter.",,2023-12-26T04:17:44+00:00
Implementation,1.1.3,115.11.c,"If the commissioner makes the determination that instructional materials funding has been made available under subsection (b) of this section, §§115.12-115.17 of this subchapter shall be implemented beginning with the 2022-2023 school year and apply to the 2022-2023 and subsequent school years.",,2023-12-26T04:17:44+00:00
Implementation,1.1.4,115.11.d,"If the commissioner does not make the determination that instructional materials funding has been made available under subsection (b) of this section, the commissioner shall determine no later than July 31 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that §§115.12-115.17 of this subchapter shall be implemented for the following school year.",,2023-12-26T04:17:44+00:00
Implementation,1.1.5,115.11.e,Sections 115.1-115.7 of this subchapter shall be superseded by the implementation of §§115.11-115.17 of this subchapter.,,2023-12-26T04:17:44+00:00
Grade/Course,1.2,115.12,"Health Education, Kindergarten, Adopted 2020.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1,115.12.a ,Introduction.,,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1,115.12.a.1,"The goal of health education is to provide instruction that allows youth to develop and sustain health-promoting behaviors throughout their lives. The understanding and application of these standards will allow students the ability to gather, interpret, and understand health information; achieve health literacy; and adapt to the ever-evolving science of health. The health education knowledge and skills should be presented to students in a positive manner to support the development of a healthy self-concept and responsible decision making. The standards will help students reinforce, foster, and apply positive character traits.",,2023-12-26T04:17:44+00:00
