Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,116,Subchapter A. Elementary,,2022-04-11T13:26:11+00:00
Implementation,1.1,116.11.,"116.11. Implementation of Texas Essential Knowledge and Skills for Physical Education, Elementary School, Adopted 2020.",,2023-12-26T04:17:44+00:00
Implementation,1.1.1,116.11.a,The provisions of §§116.12-116.17 of this subchapter shall be implemented by school districts.,,2023-12-26T04:17:44+00:00
Implementation,1.1.2,116.11.b,"No later than July 31, 2021, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills for physical education as adopted in §§116.12-116.17 of this subchapter.",,2023-12-26T04:17:44+00:00
Implementation,1.1.3,116.11.c,"If the commissioner makes the determination that instructional materials funding has been made available under subsection (b) of this section, §§116.12-116.17 of this subchapter shall be implemented beginning with the 2022-2023 school year and apply to the 2022-2023 and subsequent school years.",,2023-12-26T04:17:44+00:00
Implementation,1.1.4,116.11.d,"If the commissioner does not make the determination that instructional materials funding has been made available under subsection (b) of this section, the commissioner shall determine no later than July 31 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that §§116.12-116.17 of this subchapter shall be implemented for the following school year.",,2023-12-26T04:17:44+00:00
Implementation,1.1.5,116.11.e,Sections 116.1-116.7 of this subchapter shall be superseded by the implementation of §§116.11-116.17 of this subchapter.,,2023-12-26T04:17:44+00:00
Grade/Course,1.2,116.12.,"116.12. Physical Education, Kindergarten, Adopted 2020.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1,116.12.a,116.12.a Introduction.,,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1,116.12.a.1,"Physical education is the foundation of a well-balanced curriculum. ""It is an academic subject with a planned and sequential K-12 curriculum based on the national standards for physical education. Physical education provides cognitive content and instruction designed to develop motor skills, knowledge, and behaviors for physical activity and physical fitness. Supporting schools to establish daily physical education can provide students with the ability and confidence to be physically active for a lifetime"" (Centers for Disease Control and Prevention (CDC), CDC Healthy Schools, May 2019).",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.1,116.12.a.1.A,"Physical education is designed to develop motor skills, knowledge, and behaviors for active living, physical fitness, sportsmanship, self-efficacy, and emotional intelligence. Physical education addresses the three domains of learning: cognitive skills related to the knowledge of movement, affective skills related to feelings and attitudes about movement, and psychomotor skills related to the manual or physical skills in movement literacy (SHAPE America, 2014, p. 4).",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.2,116.12.a.1.B,"Physically literate students have the ability to develop a lifetime of wellness. Physical literacy can be described as the ability to move with competence and confidence, to acquire knowledge and understanding, and to value and take responsibility for engagement in a wide variety of physical activities in multiple environments that benefit the healthy development of the whole person (Mandigo, Francis, Lodewyk & Lopez, 2012, and Whitehead, 2016).",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1.3,116.12.a.1.C,"Research shows physical education is important to the development of the whole child and increases a lifetime of wellness. The Association for Supervision and Curriculum Development and the National Academy of Medicine support the belief that physical education, taught at a developmentally appropriate level, improves physical fitness and skill development, supports and improves academic achievement, reinforces self-discipline and teacher goal setting, reduces stress and increases blood flow to the brain, strengthens peer relationships, and improves self-confidence and self-esteem.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.2,116.12.a.2,"The physical education standards are categorized into five strands that are of equal importance and value. The movement patterns and movement skills strand guides the physically literate student in the development of fundamental movement patterns, spatial and body awareness, and rhythmic activities. The performance strategies strand guides the physically literate student in utilizing strategies in fundamental components of games, activities, and outdoor and recreational pursuits. The health, physical activity, and fitness strand encompasses health-related fitness, environmental awareness, and safety practices that guide students to a health-enhancing, physically active lifestyle. The physically literate student demonstrates skills and mechanics used during physical activity and analyzes data used during fitness performance. The physically literate student recognizes the correlation between nutrition, hydration, and physical activity. The social and emotional health strand incorporates working with others, responding to class expectations, and applying self-management skills. The lifetime wellness strand engages students in physical activity for the purposes of self-expression, enjoyment, and challenge.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.3,116.12.a.3,"Quality physical education programs include a comprehensive curriculum, physical activity, safety policies, safe environments, qualified physical education specialists instructing the class, and student assessment and do not use physical activity as a form of punishment. Texas state law outlines state requirements that support these essential components. In accordance with state law, physical education curriculum and instruction must be sequential, developmentally appropriate, and designed to meet the needs of all students, including students with disabilities and of all physical ability levels. At least 50% of the physical education class must be used for actual student physical activity at a moderate or vigorous intensity level, which aligns with additional state requirements for a minimum number of minutes for moderate or vigorous physical activity in Kindergarten-Grade 8. Required student-to-teacher ratios of 45-to-1 ensure the proper supervision and safety of students in physical education classes, and school districts must identify how student safety will be maintained if that ratio is exceeded. State law also requires that school districts and charter schools annually assess the physical fitness of students in Grade 3or higher who are enrolled in a physical education course.",,2023-12-26T04:17:44+00:00
