Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,117,"Subchapter A. Elementary, Adopted 2013",,2022-04-11T13:39:38+00:00
Implementation,1.1,117.101,"Implementation of Texas Essential Knowledge and Skills for Fine Arts, Elementary, Adopted 2013.",,2022-04-11T13:41:49+00:00
Implementation,1.1.1,117.101.a,The provisions of §§117.101-117.119 of this subchapter shall be implemented by school districts.,,2022-04-11T13:41:49+00:00
Implementation,1.1.2,117.101.b,"No later than August 31, 2014, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills for fine arts as adopted in §§117.101-117.119 of this subchapter.",,2022-04-11T13:41:49+00:00
Implementation,1.1.3,117.101.c,"If the commissioner makes the determination that instructional materials funding has been made available under subsection (b) of this section, §§117.101-117.119 of this subchapter shall be implemented beginning with the 2015-2016 school year and apply to the 2015-2016 and subsequent school years.",,2022-04-11T13:41:49+00:00
Implementation,1.1.4,117.101.d,"If the commissioner does not make the determination that instructional materials funding has been made available under subsection (b) of this section, the commissioner shall determine no later than August 31 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that §§117.101-117.119 of this subchapter shall be implemented for the following school year.",,2022-04-11T13:41:49+00:00
Implementation,1.1.5,117.101.e,Sections 117.1-117.19 of this chapter shall be superseded by the implementation of §§117.101-117.119 under this section.,,2022-04-11T13:41:49+00:00
Grade/Course,1.2,117.102,"Art, Kindergarten, Adopted 2013.",,2022-04-11T13:39:38+00:00
Introduction,1.2.1,117.102.a,Introduction.,,2022-04-11T13:39:38+00:00
Introduction,1.2.1.1,117.102.a.1,"The fine arts incorporate the study of dance, music, theatre, and the visual arts to offer unique experiences and empower students to explore realities, relationships, and ideas. These disciplines engage and motivate all students through active learning, critical thinking, and innovative problem solving. The fine arts develop cognitive functioning and increase student academic achievement, higher-order thinking, communication, and collaboration skills, making the fine arts applicable to college readiness, career opportunities, workplace environments, social skills, and everyday life. Students develop aesthetic and cultural awareness through exploration, leading to creative expression. Creativity, encouraged through the study of the fine arts, is essential to nurture and develop the whole child.",,2022-04-11T13:39:38+00:00
Introduction,1.2.1.2,117.102.a.2,"Four basic strands--foundations: observation and perception; creative expression; historical and cultural relevance; and critical evaluation and response--provide broad, unifying structures for organizing the knowledge and skills students are expected to acquire. Each strand is of equal value and may be presented in any order throughout the year. Students rely on personal observations and perceptions, which are developed through increasing visual literacy and sensitivity to surroundings, communities, memories, imaginings, and life experiences, as sources for thinking about, planning, and creating original artworks. Students communicate their thoughts and ideas with innovation and creativity. Through art, students challenge their imaginations, foster critical thinking, collaborate with others, and build reflective skills. While exercising meaningful problem-solving skills, students develop the lifelong ability to make informed judgments.",,2022-04-11T13:39:38+00:00
Introduction,1.2.1.3,117.102.a.3,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",,2022-04-11T13:39:38+00:00
Knowledge and Skills,1.2.2,117.102.b,Knowledge and skills.,,2022-04-11T13:39:38+00:00
Strand,1.2.2.1,117.102.b.1,"Foundations: observation and perception. The student develops and expands visual literacy skills using critical thinking, imagination, and the senses to observe and explore the world by learning about, understanding, and applying the elements of art, principles of design, and expressive qualities. The student uses what the student sees, knows, and has experienced as sources for examining, understanding, and creating artworks. The student is expected to:",,2022-04-11T13:39:38+00:00
Student Expectation,1.2.2.1.1,117.102.b.1.A,gather information from subjects in the environment using the senses; and,,2022-04-11T13:39:38+00:00
Student Expectation,1.2.2.1.2,117.102.b.1.B,"identify the elements of art, including line, shape, color, texture, and form, and the principles of design, including repetition/pattern and balance, in the environment.",,2022-04-11T13:39:38+00:00
