Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,118,Subchapter A. High School,,2022-04-11T13:42:12+00:00
Implementation,1.1,118.3,"Implementation of Texas Essential Knowledge and Skills for Economics with Emphasis on the Free Enterprise System and Its Benefits, High School, Beginning with School Year 2011-2012.",,2022-04-11T13:42:21+00:00
Implementation,1.1.1,118.3.A,The provisions of §118.4 of this subchapter shall be implemented by school districts beginning with the 2011-2012 school year.,,2022-04-11T13:42:24+00:00
Grade/Course,1.2,118.4,"Economics with Emphasis on the Free Enterprise System and Its Benefits, High School (One-Half Credit), Beginning with School Year 2011-2012.",,2022-04-11T13:42:12+00:00
General Requirements,1.2.1,118.4.a,General requirements. This course will be taught in the social studies department and is recommended to be taught in Grade 12.,,2022-04-11T13:42:12+00:00
Introduction,1.2.2,118.4.b,Introduction.,,2022-04-11T13:42:12+00:00
Introduction,1.2.2.1,118.4.b.1,"Economics with Emphasis on the Free Enterprise System and Its Benefits is the culmination of the economic content and concepts studied from Kindergarten through required secondary courses. The focus is on the basic principles concerning production, consumption, and distribution of goods and services (the problem of scarcity) in the United States and a comparison with those in other countries around the world. Students analyze the interaction of supply, demand, and price. Students will investigate the concepts of specialization and international trade, economic growth, key economic measurements, and monetary and fiscal policy. Students will study the roles of the Federal Reserve System and other financial institutions, government, and businesses in a free enterprise system. Types of business ownership and market structures are discussed. The course also incorporates instruction in personal financial literacy. Students apply critical-thinking skills using economic concepts to evaluate the costs and benefits of economic issues.",,2022-04-11T13:42:13+00:00
Introduction,1.2.2.2,118.4.b.2,Students identify the role of the U.S. free enterprise system within the parameters of this course and understand that this system may also be referenced as capitalism or the free market system.,,2022-04-11T13:42:13+00:00
Introduction,1.2.2.3,118.4.b.3,"Economics with Emphasis on the Free Enterprise System and Its Benefits builds upon the foundation in economics and social studies laid by the social studies essential knowledge and skills in Kindergarten-Grade 12. The course will apply these skills to current economic situations. The content enables students to understand the importance of patriotism, function in a free enterprise society, and appreciate the basic democratic values of our state and nation as referenced in the Texas Education Code (TEC), §28.002(h).",,2022-04-11T13:42:13+00:00
Introduction,1.2.2.4,118.4.b.4,"Students understand that a constitutional republic is a representative form of government whose representatives derive their authority from the consent of the governed, serve for an established tenure, and are sworn to uphold the constitution.",,2022-04-11T13:42:13+00:00
