Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,120,Subchapter A. Character Traits,,2023-12-26T04:17:44+00:00
Implementation,1.1,120.1,Implementation of Texas Essential Knowledge and Skills for Positive Character Traits.,,2023-12-26T04:17:44+00:00
Implementation,1.1.1,120.1.a ,The provisions of this subchapter shall be implemented by school districts beginning with the 2021-2022 school year.,,2023-12-26T04:17:44+00:00
Implementation,1.1.2,120.1.b,"School districts and open-enrollment charter schools are required to provide instruction in the essential knowledge and skills for positive character traits outlined in this subchapter at least once in the following grade bands: Kindergarten-Grade2, Grades 3-5, Grades 6-8, and Grades 9-12.",,2023-12-26T04:17:44+00:00
Implementation,1.1.3,120.1.c,"School districts may provide the required instruction in a variety of arrangements, including through a stand-alone course or by integrating the positive character traits standards in the essential knowledge and skills for one or more courses or subject areas at the appropriate grade levels. ",,2023-12-26T04:17:44+00:00
Grade/Course,1.2,120.3,"Texas Essential Knowledge and Skills for Positive Character Traits, Kindergarten-Grade 2, Adopted 2020.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1,120.3.a,Introduction,,2023-12-26T04:17:44+00:00
Introduction,1.2.1.1,120.3.a.1 ,"Character education introduces students to character traits that empower them to be good citizens who are trustworthy, responsible, and caring. The character traits reflect positive beliefs, attitudes, and mindsets; provide opportunities for self-reflection; and permit students to apply effective strategies to make decisions, solve problems, and behave responsibly.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.2,120.3.a.2,"The standards for positive character traits are comprised of four strands: trustworthiness, responsibility, caring, and citizenship. Each strand consists of the following character traits. ",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.2.1,120.3.a.2.A,"Trustworthiness: loyalty, integrity, reliability, and punctuality.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.2.2,120.3.a.2.B,"Responsibility: accountability, perseverance, diligence, and self-control.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.2.3,120.3.a.2.C ,"Caring: kindness, empathy, charity, generosity, patience, consideration, and compassion.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.3,120.3.a.3 ,"Students are expected to develop an awareness of self-identity as well as recognize multiple perspectives, difference and diversity, biases, and the social and cultural context in which they live.",,2023-12-26T04:17:44+00:00
Introduction,1.2.1.4,120.3.a.4 ,"The knowledge and skills for positive character traits are organized in the following grade bands: Kindergarten-Grade 2, Grades 3-5, Grades 6-8, and Grades 9-12. However, due to the complexity of the concepts, student expectations and knowledge and skills statements cannot be taught, discussed, or viewed in isolation.",,2023-12-26T04:17:44+00:00
