Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,126,Subchapter A. Elementary,,2022-04-11T13:42:54+00:00
Grade/Course,1.1,126.1,"Technology Applications, Kindergarten, Adopted 2022.",,2023-12-26T04:17:44+00:00
Implementation,1.1.1,126.1.a,Implementation. The provisions of this section shall be implemented by school districts beginning with the 2024-2025 school year. ,,2023-12-26T04:17:44+00:00
Implementation,1.1.1.1,126.1.a.1,"No later than August 1, 2024, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills identified in this section. ",,2023-12-26T04:17:44+00:00
Implementation,1.1.1.2,126.1.a.2,If the commissioner makes the determination that instructional materials funding has been made available this section shall be implemented beginning with the 2024-2025 school year and apply to the 2024-2025 and subsequent school years. ,,2023-12-26T04:17:44+00:00
Implementation,1.1.1.3,126.1.a.3,"If the commissioner does not make the determination that instructional materials funding has been made available under this subsection, the commissioner shall determine no later than August 1 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that this section shall be implemented for the following school year.",,2023-12-26T04:17:44+00:00
Introduction,1.1.2,126.1.b,Introduction. ,,2023-12-26T04:17:44+00:00
Introduction,1.1.2.1,126.1.b.1,"Technology includes data communication, data processing, and the devices used for these tasks locally and across networks. Learning to apply these technologies motivates students to develop critical-thinking skills, higher-order thinking, and innovative problem solving. Technology applications incorporates the study of digital tools, devices, communication, and programming to empower students to apply current and emerging technologies in their careers, their education, and beyond.",,2023-12-26T04:17:44+00:00
Introduction,1.1.2.2,126.1.b.2,"The technology applications Texas Essential Knowledge and Skills (TEKS) consist of five strands that prepare students to be literate in technology applications by Grade 8: computational thinking; creativity and innovation; data literacy, management, and representation; digital citizenship; and practical technology concepts. Communication and collaboration skills are embedded across the strands. ",,2023-12-26T04:17:44+00:00
Introduction,1.1.2.2.1,126.1.b.2.A,"Computational thinking. Students break down the problem-solving process into four steps: decomposition, pattern recognition, abstraction, and algorithms.",,2023-12-26T04:17:44+00:00
Introduction,1.1.2.2.2,126.1.b.2.B,"Creativity and innovation. Students use innovative design processes to develop solutions to problems. Students plan a solution, create the solution, test the solution, iterate, and debug the solution as needed and implement a completely new and innovative product.",,2023-12-26T04:17:44+00:00
Introduction,1.1.2.2.3,126.1.b.2.C,"Data literacy, management, and representation. Students collect, organize, manage, analyze, and publish various types of data for an audience. ",,2023-12-26T04:17:44+00:00
Introduction,1.1.2.2.4,126.1.b.2.D,"Digital citizenship. Students practice the ethical and effective application of technology and develop an understanding of cybersecurity and the impact of a digital footprint to become safe, productive, and respectful digital citizens.",,2023-12-26T04:17:44+00:00
Introduction,1.1.2.2.5,126.1.b.2.E,Practical technology concepts. Students build their knowledge of software applications and hardware focusing on keyboarding and use of applications and tools. ,,2023-12-26T04:17:44+00:00
Introduction,1.1.2.3,126.1.b.3,"The technology applications TEKS can be integrated into all content areas and can support stand-alone courses. Districts have the flexibility of offering technology applications in a variety of settings, including through a stand-alone course or by integrating the technology applications standards in the essential knowledge and skills for one or more courses or subject areas.",,2023-12-26T04:17:44+00:00
Introduction,1.1.2.4,126.1.b.4,"Statements containing the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",,2023-12-26T04:17:44+00:00
Knowledge and Skills,1.1.3,126.1.c,Knowledge and skills.,,2023-12-26T04:17:44+00:00
Knowledge and Skills,1.1.3.1,126.1.c.1,"Computational thinking--foundations. The student explores the core concepts of computational thinking, a set of problem-solving processes that involve decomposition, pattern recognition, abstraction, and algorithms. The student is expected to:",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.1.1,126.1.c.1.A,identify a problem or task such as making a sandwich and break it down (decompose) into smaller pieces;,,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.1.2,126.1.c.1.B,identify simple patterns and make predictions based on the patterns; and,,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.1.3,126.1.c.1.C,"identify algorithms (step-by-step instructions) using a sequential process such as first, next, then, and last.",,2023-12-26T04:17:44+00:00
Knowledge and Skills,1.1.3.2,126.1.c.2,"Computational thinking--applications. The student, with guidance from an educator, applies the fundamentals of computer science. The student is expected to create a sequence of code with or without technology such as solving a maze using drag-and-drop programming or creating step-by-step directions for student movement to a specific location.",,2023-12-26T04:17:44+00:00
Knowledge and Skills,1.1.3.3,126.1.c.3,"Creativity and innovation--innovative design process. The student takes an active role in learning by using a design process to solve authentic problems for a local or global audience, using a variety of technologies. The student is expected to:",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.3.1,126.1.c.3.A,"practice personal skills, including following directions, needed to successfully implement design processes; and",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.3.2,126.1.c.3.B,"use a  design process with components such as asking questions, brainstorming, or storyboarding to identify and solve authentic problems with adult assistance.",,2023-12-26T04:17:44+00:00
Knowledge and Skills,1.1.3.4,126.1.c.4,"Data literacy, management, and representation--collect data. The student defines data and explains how data can be found and collected. The student is expected to:",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.4.1,126.1.c.4.A,"communicate an understanding that data is information collected about people, events, or objects such as computer searches and weather patterns; and",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.4.2,126.1.c.4.B,communicate with adult assistance the idea that digital devices can search for and retrieve information.,,2023-12-26T04:17:44+00:00
Knowledge and Skills,1.1.3.5,126.1.c.5,Digital citizenship--social interactions. The student identifies appropriate ways to communicate in various digital environments. The student is expected to identify and demonstrate responsible behavior within a digital environment.,,2023-12-26T04:17:44+00:00
Knowledge and Skills,1.1.3.6,126.1.c.6,"Digital citizenship--ethics and laws. The student recognizes and practices responsible, legal, and ethical behavior while using digital tools and resources. The student is expected to:",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.6.1,126.1.c.6.A,demonstrate acceptable use of digital resources and devices as outlined in local policies or acceptable use policy (AUP); and,,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.6.2,126.1.c.6.B,communicate an understanding that all digital content has owners.,,2023-12-26T04:17:44+00:00
Knowledge and Skills,1.1.3.7,126.1.c.7,"Digital citizenship--privacy, safety, and security. The student practices safe, legal, and ethical digital behaviors to become a socially responsible digital citizen. The student is expected to:",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.7.1,126.1.c.7.A,"identify ways to keep a user account safe, including not sharing login information and logging off accounts and devices; and",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.7.2,126.1.c.7.B,identify and discuss what information is safe to share online such as hobbies and likes and dislikes and what information is unsafe such as identifying information.,,2023-12-26T04:17:44+00:00
Knowledge and Skills,1.1.3.8,126.1.c.8,"Practical technology concepts--skills and tools. The student demonstrates knowledge and appropriate use of technology systems, concepts, and operations. The student is expected to:",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.8.1,126.1.c.8.A,"use a variety of applications, devices, and online learning environments to engage with content; ",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.8.2,126.1.c.8.B,"identify basic computer hardware, including a variety of input and output devices, and software using accurate terminology;",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.8.3,126.1.c.8.C,"perform software application functions such as opening an application and modifying, printing, and saving digital artifacts using a variety of developmentally appropriate digital tools and resources;",,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.8.4,126.1.c.8.D,practice ergonomically correct keyboarding techniques and developmentally appropriate hand and body positions; and,,2023-12-26T04:17:44+00:00
Student Expectation,1.1.3.8.5,126.1.c.8.E,"identify, locate, and practice using keys on the keyboard, including letters, numbers, and special keys such as space bar and backspace.",,2023-12-26T04:17:44+00:00
Grade/Course,1.2,126.2,"Technology Applications, Grade 1, Adopted 2022.",,2023-12-26T04:17:44+00:00
Implementation,1.2.1,126.2.a,Implementation. The provisions of this section shall be implemented by school districts beginning with the 2024-2025 school year. ,,2023-12-26T04:17:44+00:00
Implementation,1.2.1.1,126.2.a.1,"No later than August 1, 2024, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills identified in this section. ",,2023-12-26T04:17:44+00:00
Implementation,1.2.1.2,126.2.a.2,If the commissioner makes the determination that instructional materials funding has been made available this section shall be implemented beginning with the 2024-2025 school year and apply to the 2024-2025 and subsequent school years. ,,2023-12-26T04:17:44+00:00
Implementation,1.2.1.3,126.2.a.3,"If the commissioner does not make the determination that instructional materials funding has been made available under this subsection, the commissioner shall determine no later than August 1 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that this section shall be implemented for the following school year.",,2023-12-26T04:17:44+00:00
Introduction,1.2.2,126.2.b,Introduction. ,,2023-12-26T04:17:44+00:00
Introduction,1.2.2.1,126.2.b.1,"Technology includes data communication, data processing, and the devices used for these tasks locally and across networks. Learning to apply these technologies motivates students to develop critical-thinking skills, higher-order thinking, and innovative problem solving. Technology applications incorporates the study of digital tools, devices, communication, and programming to empower students to apply current and emerging technologies in their careers, their education, and beyond.",,2023-12-26T04:17:44+00:00
Introduction,1.2.2.2,126.2.b.2,"The technology applications Texas Essential Knowledge and Skills (TEKS) consist of five strands that prepare students to be literate in technology applications by grade 8: computational thinking; creativity and innovation; data literacy, management, and representation; digital citizenship; and practical technology concepts. Communication and collaboration skills are embedded across the strands. ",,2023-12-26T04:17:44+00:00
Introduction,1.2.2.2.1,126.2.b.2.A,"Computational thinking. Students break down the problem-solving process into four steps: decomposition, pattern recognition, abstraction, and algorithms.",,2023-12-26T04:17:44+00:00
Introduction,1.2.2.2.2,126.2.b.2.B,"Creativity and innovation. Students use innovative design processes to develop solutions to problems. Students plan a solution, create the solution, test the solution, iterate, and debug the solution as needed, and implement a completely new and innovative product.",,2023-12-26T04:17:44+00:00
