Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Kindergarten – Grade 2,KG-02,2025-04-16T22:19:10+00:00
Category,1.1,,Mental and Emotional Health,KG-02,2025-04-16T22:19:10+00:00
Strand,1.1.1,,Health Promotion,KG-02,2025-04-16T22:19:10+00:00
Standard,1.1.1.1,K-2.1.1.1,Identify basic emotions and positive and negative ways of dealing with emotions in a variety of situations.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.1.1.2,K-2.1.1.2,Explain the impact of different emotions on self and others.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.1.1.3,K-2.1.1.3,Describe what respect is and why it is important.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.1.1.4,K-2.1.1.4,Describe the difference between bullying and teasing.,KG-02,2025-04-16T22:19:10+00:00
Strand,1.1.2,,Analyzing Influences,KG-02,2025-04-16T22:19:10+00:00
Standard,1.1.2.1,K-2.1.2.5,Identify positive and negative influences on mental and emotional health practices and behaviors.,KG-02,2025-04-16T22:19:10+00:00
Strand,1.1.3,,Accessing Information,KG-02,2025-04-16T22:19:10+00:00
Standard,1.1.3.1,K-2.1.3.6,Identify trusted persons and how to get help if something is bothering you.,KG-02,2025-04-16T22:19:10+00:00
Strand,1.1.4,,Communication,KG-02,2025-04-16T22:19:10+00:00
Standard,1.1.4.1,K-2.1.4.7,Demonstrate how to express personal needs and wants appropriately.,KG-02,2025-04-17T14:42:28+00:00
Standard,1.1.4.2,K-2.1.7.8,Describe positive and negative ways of acting on emotions.,KG-02,2025-04-16T22:19:10+00:00
Strand,1.1.5,,Advocacy,KG-02,2025-04-16T22:19:10+00:00
Standard,1.1.5.1,K-2.1.8.9,Encourage others to appreciate their differences.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.1.5.2,K-2.1.8.10,Explain ways children can model healthful behaviors for others.,KG-02,2025-04-16T22:19:10+00:00
Category,1.2,,Safety Skills,KG-02,2025-04-16T22:19:10+00:00
Strand,1.2.1,,Health Promotion,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.1.1,K-2.2.1.1,Explain that actions have consequences.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.1.2,K-2.2.1.2,Identify how rules promote safety and that following rules can prevent injuries.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.1.3,K-2.2.1.3,"Recognize bullying, teasing, and aggressive behaviors as hurtful and potentially harmful.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.1.4,K-2.2.1.4,"Explain the importance of respecting personal boundaries, space, and property.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.1.5,K-2.2.1.5,Recognize the difference between good and bad touch.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.1.6,K-2.2.1.6,"Describe safety hazards, including those related to fire, water, dangerous objects and how to seek help in these situations.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.1.7,K-2.2.1.7,Identify items that could be considered a weapon and how to seek help if a weapon is found.,KG-02,2025-04-16T22:19:10+00:00
Strand,1.2.2,,Analyzing Influences,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.2.1,K-2.2.2.8,"Identify the influences of health and safety rules on home, school, and community environments.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.2.2,K-2.2.2.9,Identify community helpers and describe their role in keeping communities safe.,KG-02,2025-04-16T22:19:10+00:00
Strand,1.2.3,,Accessing Information,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.3.1,K-2.2.3.10,"Identify common signs, symbols, and warning labels and what they mean (e.g., a poison symbol on a container).",KG-02,2025-04-16T22:19:10+00:00
Strand,1.2.4,,Communication,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.4.1,K-2.2.4.11,"Identify and demonstrate how to communicate to others the importance of respecting personal boundaries, space, and property.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.4.2,K-2.2.4.12,Demonstrate healthy ways to respond to disagreements or conflicts with others.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.4.3,K-2.2.4.13,Demonstrate ways to refuse and report inappropriate touch.,KG-02,2025-04-16T22:19:10+00:00
Strand,1.2.5,,Decision-Making,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.5.1,K-2.2.5.14,"Make appropriate decisions about safe behaviors around strangers (e.g., getting in cars or taking treats from strangers).",KG-02,2025-04-16T22:19:10+00:00
Strand,1.2.6,,Goal Setting,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.6.1,K-2.2.6.15,Take steps to achieve a personal goal to avoid or reduce injury.,KG-02,2025-04-16T22:19:10+00:00
Strand,1.2.7,,Healthy Behaviors,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.7.1,K-2.2.7.16,Demonstrate how to ask for help and express needs in a productive manner.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.7.2,K-2.2.7.17,"Identify a trusted person to talk to about being bullied, teased, or abused in any way.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.7.3,K-2.2.7.18,"Demonstrate safe ways to respond to teasing, harassment, and bullying.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.7.4,K-2.2.7.19,"Interpret the basic traffic, pedestrian, and public transportation signs and symbols.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.7.5,K-2.2.7.20,Explain what to do in an emergency at home or school (e.g. what to do if someone is choking or if there is a fire).,KG-02,2025-04-16T22:19:10+00:00
Strand,1.2.8,,Advocacy,KG-02,2025-04-16T22:19:10+00:00
Standard,1.2.8.1,K-2.2.8.21,"Explain that all people, including children, have the right to tell others not to touch their body when they do not want to be touched.",KG-02,2025-04-16T22:19:10+00:00
Category,1.3,,Human Body and Personal Health,KG-02,2025-04-16T22:19:10+00:00
Strand,1.3.1,,Health Promotion,KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.1.1,K-2.3.1.1,"Name and locate the basic body organs, including the heart, brain, lungs, skin, and stomach and describe their functions.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.1.2,K-2.3.1.2,Describe how the skeletal and muscular systems help humans move and protect parts of the body.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.1.3,K-2.3.1.3,Explain biological differences between men and women.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.1.4,K-2.3.1.4,Identify different body types/sizes and how people’s bodies change as they grow older.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.1.5,K-2.3.1.5,Describe the basic functions of the five senses.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.1.6,K-2.3.1.6,Identify different kinds of family structures.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.1.7,K-2.3.1.7,"Name and locate the basic body organs, including the heart, brain, lungs, skin, and stomach and describe their functions.",KG-02,2025-04-16T22:19:10+00:00
Strand,1.3.2,,Analyzing Influences,KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.2.1,K-2.3.2.8,Explain why sleep and rest are important for proper growth and good health.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.2.2,K-2.3.2.9,Differentiate between healthy and unhealthy relationships.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.2.3,K-2.3.2.10,Explain why sleep and rest are important for proper growth and good health.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.3.2.4,K-2.3.8.11,Describe how individual bodies are different and equally special.,KG-02,2025-04-16T22:19:10+00:00
Category,1.4,,Disease Prevention,KG-02,2025-04-16T22:19:10+00:00
Strand,1.4.1,,Health Promotion,KG-02,2025-04-16T22:19:10+00:00
Standard,1.4.1.1,K-2.4.1.1,"Identify the causes and common symptoms (e.g., runny nose, coughing, sneezing) of illness.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.4.1.2,K-2.4.1.2,"Identify behaviors that promote health and prevent illness (e.g., proper hygiene, proper nutrition, adequate sleep, vaccinations, and exercise).",KG-02,2025-04-16T22:19:10+00:00
Standard,1.4.1.3,K-2.4.1.3,"Explain how clean school, home, and community environments prevent the spread of germs.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.4.1.4,K-2.4.1.4,"Describe the different types of pollution (e.g., air, water, waste) and the effect they have on health.",KG-02,2025-04-16T22:19:10+00:00
Strand,1.4.2,,Analyzing Influences,KG-02,2025-04-16T22:19:10+00:00
Standard,1.4.2.1,K-2.4.2.5,"Identify ways that schools, family, and friends can influence positive health practices.",KG-02,2025-04-16T22:19:10+00:00
Strand,1.4.3,,Accessing Information,KG-02,2025-04-16T22:19:10+00:00
Standard,1.4.3.1,K-2.4.3.6,Identify individuals who provide health information and promote healthy behavior in schools and the community.,KG-02,2025-04-16T22:19:10+00:00
Standard,1.4.3.2,K-2.4.7.7,"Demonstrate dental and personal hygiene practices (e.g., hand-washing; proper technique of brushing and flossing; and covering coughs).",KG-02,2025-04-16T22:19:10+00:00
Standard,1.4.3.3,K-2.4.7.8,"Practice habits that are good for the environment (e.g., picking up trash, conserving water, and recycling).",KG-02,2025-04-16T22:19:10+00:00
Category,1.5,,Nutrition,KG-02,2025-04-16T22:19:10+00:00
Strand,1.5.1,,Health Promotion,KG-02,2025-04-16T22:19:10+00:00
Standard,1.5.1.1,K-2.5.1.1,"Explain why healthy bodies require rest, exercise, and good nutrition.",KG-02,2025-04-16T22:19:10+00:00
Standard,1.5.1.2,K-2.5.1.2,"Categorize foods according to food sources and food groups (e.g., plant, animal, and processed).",KG-02,2025-04-16T22:19:10+00:00
