Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Fundamentals of Computer Science,09-12,2025-04-08T13:14:47+00:00
Standard,1.1,FCS.A,**Creativity and innovation** The student develops products and generates new understanding by extending existing knowledge.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.1.1,FCS.A.1,*The student is expected to* investigate and explore various career opportunities within the computer science field and report findings through various media.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.1.2,FCS.A.2,"*The student is expected to* create and publish interactive stories, games, and animations.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.1.3,FCS.A.3,*The student is expected to* create and publish interactive animations.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.1.4,FCS.A.4,*The student is expected to* create algorithms for the solution of various problems.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.1.5,FCS.A.5,*The student is expected to* create web pages using a mark-up language.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.1.6,FCS.A.6,*The student is expected to* use the Internet to create and publish solutions.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.1.7,FCS.A.7,*The student is expected to* design creative and effective user interfaces.,09-12,2025-04-08T13:14:47+00:00
Standard,1.2,FCS.B,**Communication and collaboration** The student communicates and collaborates with peers to contribute to his or her own learning and the learning of others.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.2.1,FCS.B.1,*The student is expected to* seek and respond to advice from peers and professionals in evaluating problem solutions.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.2.2,FCS.B.2,*The student is expected to* debug and solve problems using reference materials and effective strategies.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.2.3,FCS.B.3,"*The student is expected to* publish information in a variety of ways such as print, monitor display, web pages, and video.",09-12,2025-04-08T13:14:47+00:00
Standard,1.3,FCS.C,**The student develops technology skills**,09-12,2025-04-08T13:14:47+00:00
Indicator,1.3.1,FCS.C.1,"*The student is expected to* use technology as a tool to research, organize, evaluate, and communicate information.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.3.2,FCS.C.2,"*The student is expected to* use digital technologies (computers, PDAs, media players, GPSs, etc.), communication/networking tools, and social networks appropriately to access, manage, integrate, evaluate, and create information to successfully function in a knowledge economy.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.3.3,FCS.C.3,"*The student is expected to* demonstrate utilizing current and new technologies specific to the program of study, course, and/or industry.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.3.4,FCS.C.4,*The student is expected to* apply a fundamental understanding of the ethical/legal issues surrounding the access and use of information technologies.,09-12,2025-04-08T13:14:47+00:00
Standard,1.4,FCS.D,"**Research and information fluency** The student locates, analyzes, processes, and organizes data.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.4.1,FCS.D.1,*The student is expected to* construct appropriate electronic search strategies.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.4.2,FCS.D.2,"*The student is expected to* use a variety of resources, including other subject areas, together with various productivity tools to gather authentic data as a basis for individual and group programming projects.",09-12,2025-04-08T13:14:47+00:00
Standard,1.5,FCS.E,"**Critical thinking, problem-solving, and decision-making** The student uses appropriate strategies to analyze problems and design algorithms.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.1,FCS.E.1,*The student is expected to* demonstrate the ability to insert applets into web pages.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.2,FCS.E.2,"*The student is expected to* find, download, and insert scripting code into web pages to enhance interactivity.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.3,FCS.E.3,"*The student is expected to* understand binary representation of data in computer systems, perform conversions between decimal and binary number systems, and count in binary number systems.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.4,FCS.E.4,"*The student is expected to* read and define a problem's description, purpose, and goals.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.5,FCS.E.5,"*The student is expected to* demonstrate coding proficiency in a contemporary programming language by developing solutions that create stories, games, and animations.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.6,FCS.E.6,"*The student is expected to* choose, identify, and use the appropriate data type to properly represent data in a problem solution.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.7,FCS.E.7,"*The student is expected to* demonstrate an understanding of and use variables within a programmed story, game, or animation.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.8,FCS.E.8,"*The student is expected to* demonstrate proficiency in the use of arithmetic operators to create mathematical expressions, including addition, subtraction, multiplication, real division, integer division, and modulus division.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.9,FCS.E.9,"*The student is expected to* demonstrate an understanding of and use sequence within a programmed story, game, or animation.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.10,FCS.E.10,"*The student is expected to* demonstrate an understanding of and use conditional statements within a programmed story, game, or animation.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.11,FCS.E.11,"*The student is expected to* demonstrate an understanding of and use iteration within a programmed story, game, or animation.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.12,FCS.E.12,"*The student is expected to* create an interactive story, game, or animation.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.13,FCS.E.13,"*The student is expected to* use random numbers within a programmed story, game, or animation.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.5.14,FCS.E.14,*The student is expected to* test program solutions by investigating valid and invalid data.,09-12,2025-04-08T13:14:47+00:00
Standard,1.6,FCS.F,"**Digital citizenship** The student explores and understands safety, legal, cultural, and societal issues relating to the use of technology and information.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.6.1,FCS.F.1,*The student is expected to* discuss copyright laws/issues and model ethical acquisition of digital information by citing sources using established methods.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.6.2,FCS.F.2,"*The student is expected to* demonstrate proper digital etiquette and knowledge of acceptable use policies when using networks, especially resources on the Internet and on intranets.",09-12,2025-04-08T13:14:47+00:00
Indicator,1.6.3,FCS.F.3,*The student is expected to* investigate measures such as passwords or virus detection/prevention to protect computer systems and databases from unauthorized use and tampering.,09-12,2025-04-08T13:14:47+00:00
Indicator,1.6.4,FCS.F.4,*The student is expected to* understand the safety risks associated with the use of social networking sites.,09-12,2025-04-08T13:14:47+00:00
