Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Statements of Practice for Social Studies,,2023-11-03T00:32:05+00:00
Disciplinary Competency,1.1,,Inquiry Arc,,2023-11-03T00:32:05+00:00
Statement of Practice,1.1.1,,Gathering Diverse Perspectives and Evaluating Evidence,,2023-11-03T00:32:05+00:00
Statement of Practice,1.1.2,,Using Evidence to Develop Claims and Civic Dispositions,,2023-11-03T00:32:05+00:00
Statement of Practice,1.1.3,,Identity,,2023-11-03T00:32:05+00:00
Statement of Practice,1.1.4,,Global Perspectives,,2023-11-03T00:32:05+00:00
Disciplinary Competency,1.2,,History,,2023-11-03T00:32:05+00:00
Statement of Practice,1.2.1,,"Continuity, Change, and Context",,2023-11-03T00:32:05+00:00
Statement of Practice,1.2.2,,Historical Causation,,2023-11-03T00:32:05+00:00
Disciplinary Competency,1.3,,"Civics, Government, and Human Rights",,2023-11-03T00:32:05+00:00
Statement of Practice,1.3.1,,World Governments,,2023-11-03T00:32:05+00:00
Statement of Practice,1.3.2,,Foundations of US Government,,2023-11-03T00:32:05+00:00
Statement of Practice,1.3.3,,Laws and Policies,,2023-11-03T00:32:05+00:00
Statement of Practice,1.3.4,,Engaging in Civil Discourse and Taking Informed Action,,2023-11-03T00:32:05+00:00
Disciplinary Competency,1.4,,Geography,,2023-11-03T00:32:05+00:00
Statement of Practice,1.4.1,,Physical Geography and Geographical Representations,,2023-11-03T00:32:05+00:00
Statement of Practice,1.4.2,,Human Population Patterns,,2023-11-03T00:32:05+00:00
Statement of Practice,1.4.3,,The Diversity of Human Cultures,,2023-11-03T00:32:05+00:00
Statement of Practice,1.4.4,,Human-Environment Interaction,,2023-11-03T00:32:05+00:00
Statement of Practice,1.4.5,,Global Interconnections and the Global Economy,,2023-11-03T00:32:05+00:00
Disciplinary Competency,1.5,,Economics,,2023-11-03T00:32:05+00:00
Statement of Practice,1.5.1,,Economic Decision Making,,2023-11-03T00:32:05+00:00
Statement of Practice,1.5.2,,Exchanges and Markets,,2023-11-03T00:32:05+00:00
Statement of Practice,1.5.3,,The United States Economy,,2023-11-03T00:32:05+00:00
,2,,Academic Standards,,2023-11-03T00:32:05+00:00
Grade Band,2.1,,K-2 Standards,,2023-11-03T00:32:05+00:00
Course,2.1.1,,Kindergarten: Myself and My Community,,2023-11-03T00:32:05+00:00
Driving Concept,2.1.1.1,,Driving Concept 1: Working Together,,2023-11-03T00:32:05+00:00
Standard,2.1.1.1.1,K.1,"Describe the roles and responsibilities of being a part of a family, classroom and local community.",,2023-11-03T00:32:05+00:00
Standard,2.1.1.1.2,K.2,"Identify different kinds of families and caregivers within a community (e.g., single-parent, blended, grandparent-headed, conditionally separated, foster, LGBTQ+, multiracial), and explain the importance of demonstrating respect for all people.",,2023-11-03T00:32:05+00:00
Standard,2.1.1.1.3,K.3,"Identify social and cultural factors that shape individual identities, including family, ethnicity, culture, religion, gender, interests and abilities, and explain that a person’s sense of identity can change over time.",,2023-11-03T00:32:05+00:00
Standard,2.1.1.1.4,K.4,Identify individuals (historical or present-day) whose actions made the local or global community more just or fair and explain how their actions helped their community.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.1.5,K.5,Explain why classrooms and schools have rules and describe the consequences of not following them.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.1.6,K.6,Identify an example of a rule that may not be fair for all and explain how it could be changed to make it fair.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.1.7,K.7,Identify which skills lead to respectful and productive conversations.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.1.8,K.8,"Use civil discourse skills, such as listening, turn taking, consensus building and voting procedures to take collaborative action in the classroom or school community.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.1.2,,Driving Concept 2: Showing Why History Matters,,2023-11-03T00:32:05+00:00
Standard,2.1.1.2.1,K.9,"Identify artifacts in the lives of students and their community, and use sequential language (e.g., first, next, then, after) to put artifacts in chronological order.",,2023-11-03T00:32:05+00:00
Standard,2.1.1.2.2,K.10,"Identify why artifacts are historically important, and describe how artifacts help us learn about the past.",,2023-11-03T00:32:05+00:00
Standard,2.1.1.2.3,K.11,Compare different kinds of artifacts to determine what they can and cannot tell us about the past and/or present.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.2.4,K.12,Evaluate the utility of an artifact in responding to a question about the past or present.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.2.5,K.13,"Evaluate sources of information, and identify how the creator’s job, training and/or experiences affect the reliability of that information.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.1.3,,Driving Concept 3: Who are We?,,2023-11-03T00:32:05+00:00
Standard,2.1.1.3.1,K.14,Identify and describe the historic achievements and contributions of individuals with different abilities.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.3.2,K.15,"Explain important contributions individuals with different gender, racial, religious and ethnic identities and ability statuses have made to the community.",,2023-11-03T00:32:05+00:00
Standard,2.1.1.3.3,K.16,Identify a time when someone used power unfairly and describe how individuals have resisted the unfair exercise of power.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.3.4,K.17,"Compare how historical people in our families and communities and from different countries lived, learned, worked and relaxed.",,2023-11-03T00:32:05+00:00
Standard,2.1.1.3.5,K.18,"Explain that while individuals may be different, everyone should have the same human rights.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.1.4,,Driving Concept 4: Where I Live,,2023-11-03T00:32:05+00:00
Standard,2.1.1.4.1,K.19,Explain the relationship between a map and a globe and explain how they help us to understand our place in the world and community.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.4.2,K.20,Explain the concept of relative location using directional words.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.4.3,K.21,"Identify geographic characteristics of the local community (e.g., climate, population, landforms, vegetation, culture, industry), and explain how these characteristics shape our interactions with our environment and communities.",,2023-11-03T00:32:05+00:00
Standard,2.1.1.4.4,K.22,"Explain some reasons why people live where they do, including why people live in different parts of Washington, DC, and identify the benefits and challenges of living in different places.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.1.5,,Driving Concept 5: Meeting Community Needs,,2023-11-03T00:32:05+00:00
Standard,2.1.1.5.1,K.23,"Compare the different jobs individuals around the world perform and the ways in which specific goods and services are produced, both inside and outside of the home.",,2023-11-03T00:32:05+00:00
Standard,2.1.1.5.2,K.24,Identify and explain the difference between what we want versus what we need to survive on a daily basis.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.5.3,K.25,Explain why people try to save money and resources.,,2023-11-03T00:32:05+00:00
Standard,2.1.1.5.4,K.26,"Identify a scarce resource in our classroom, community or world, and evaluate how to allocate it to promote fairness.",,2023-11-03T00:32:05+00:00
Standard,2.1.1.5.5,K.27,"Identify products that we use in our daily lives, where they come from, and how they connect us to local and global communities.",,2023-11-03T00:32:05+00:00
Course,2.1.2,,Grade 1: Working and Building Together,,2023-11-03T00:32:05+00:00
Driving Concept,2.1.2.1,,Driving Concept 1: Building a Community,,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.1,1.1,Explain what constitutes a community and describe characteristics of different local and global communities.,,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.2,1.2,"Describe the ways individuals with different backgrounds, including ethnicity, gender, religion, sexual orientation, ability, national origin, economic status and beliefs are all part of the same community.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.3,1.3,"Explain the ways in which different populations including but not limited to Latinx, Black, Asian, white, immigrant, religious, LGBTQ+ and Indigenous communities, have shaped and defined the community of Washington, DC.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.4,1.4,"Describe ways in which groups of people in the same community can hold different beliefs and live their daily lives in different ways, while still working together toward shared goals.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.5,1.5,"Identify and define the rights of learners in the classroom community, and describe how individuals can work together to respect the rights of community members.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.6,1.6,"Analyze the characteristics of just and effectives rules and laws, and evaluate the rules and processes of the classroom.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.7,1.7,"Describe how different individuals and groups in a local or global community provide services, uphold rights, and work to promote the common good for all members.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.8,1.8,"Describe the responsibilities of a leader, and identify characteristics of effective and just leaders.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.9,1.9,"Identify and describe the roles and responsibilities of current leaders, including the president of the United States and the mayor of Washington, DC.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.10,1.10,"Identify symbols, songs phrases and national holidays that unify the people of the United States and different communities within the United States.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.11,1.11,"Identify community leaders from the past (e.g., George Washington, Abraham Lincoln, Susan B. Anthony, Harriet Tubman, Dolores Huerta, Dr. Martin Luther King, Jr., Harvey Milk, Wilma Pearl Mankiller, Lee Yick and Liliʻuokalani), and compare how each person created change.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.12,1.12,"Describe how voting and elections determine who will be president, vice president, and mayor.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.13,1.13,"Describe how voting and elections can exemplify democratic principles, including but not limited to equality, freedom, fairness, respect for individual rights, citizen participation, majority rules, and accepting the results of an election.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.14,1.14,"Identify a source of information about Washington, DC, and explain how the author’s job, training and/ or experiences affect the reliability of information.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.1.15,1.15,"Identify issues or needs in the school, local or global community that students care about, and generate possible actions to create positive change.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.2.2,,Driving Concept 2: In This Space,,2023-11-03T00:32:05+00:00
Standard,2.1.2.2.1,1.16,"Analyze different representations of Washington, DC to make a claim about different places in the District.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.2.2,1.17,"Identify key political features of each region on a map, to include, local neighborhoods, wards, Washington, DC, the United States and North America.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.2.3,1.18,"Compare the features of a city, county, state, country and continent.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.2.4,1.19,Locate and explain physical features on maps.,,2023-11-03T00:32:05+00:00
Standard,2.1.2.2.5,1.20,"Describe the absolute and relative locations of Washington, DC area institutions, businesses or landmarks, and describe the physical characteristics of those places.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.2.6,1.21,"Construct a simple map of the classroom, school or local community, using cardinal directions, physical features and map symbols.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.2.7,1.22,"Describe how and why people have changed the physical landscape of the local community and/or the greater Washington, DC area over time.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.2.8,1.23,"Describe how location, weather and physical environment affect the way people live, including the effects on their food, clothing, shelter, transportation and recreation.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.2.9,1.24,"Identify a problem caused by humans to the local environment, and propose a solution.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.2.3,,Driving Concept 3: My Community Then and Now,,2023-11-03T00:32:05+00:00
Standard,2.1.2.3.1,1.25,Differentiate between events that happened long ago and events that happened in the not-so-distant past and order the events on a timeline.,,2023-11-03T00:32:05+00:00
Standard,2.1.2.3.2,1.26,"Analyze maps and images of the Chesapeake region and Washington, DC from different historical periods to describe the ways the community has changed over time.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.3.3,1.27,"Identify significant events in the history of the school community, and explain what makes each event significant.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.3.4,1.28,"Analyze texts, family or community stories, and/or historical photographs to compare family, school and/or community life in the past and the present.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.3.5,1.29,"Describe why some groups of people were treated unjustly in the past, and identify actions individuals took to promote greater equality and fairness in society.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.3.6,1.30,"Compare different accounts of the same historical event in Washington, DC, and propose possible reasons for the differences.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.2.4,,Driving Concept 4: Meeting a Community's Needs,,2023-11-03T00:32:05+00:00
Standard,2.1.2.4.1,1.31,"Describe and locate different human, natural or capital resources in Washington, DC, and compare the availability of those resources across the city.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.4.2,1.32,"Explain the varied ways that people labor, define the term income, and describe the kinds of work that people do inside and outside of the home.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.4.3,1.33,"Describe the goods and services that communities need (e.g., grocery stores, transportation, public safety), and identify how they are provided by local government and private businesses.",,2023-11-03T00:32:05+00:00
Standard,2.1.2.4.4,1.34,Explain how wealth and scarcity affect individual and group power and the ability to make decisions about personal savings and spending.,,2023-11-03T00:32:05+00:00
Standard,2.1.2.4.5,1.35,Analyze the reasons for and consequences of choices individuals make when purchasing goods and services.,,2023-11-03T00:32:05+00:00
Course,2.1.3,,Grade 2: This Wide World,,2023-11-03T00:32:05+00:00
Driving Concept,2.1.3.1,,Driving Concept 1: Understanding Ourselves in the Larger World,,2023-11-03T00:32:05+00:00
Standard,2.1.3.1.1,2.1,"Compare different representations of the Washington, DC and Chesapeake region, including maps representing the political geography of Indigenous Nations, to develop claims about the changes to the region over time.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.1.2,2.2,"Compare different kinds of maps, with a focus on physical and political maps, and identify key parts of a map (e.g., title, legend or key, scale, compass or cardinal directions).",,2023-11-03T00:32:05+00:00
Standard,2.1.3.1.3,2.3,"Create and compare visual representations of communities and school spaces, and evaluate the utility of each representation in understanding community and school spaces.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.1.4,2.4,"Identify and locate the seven continents and five oceans using maps, and describe major geographic features around the world.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.1.5,2.5,Identify and explain the different climate patterns in different global regions.,,2023-11-03T00:32:05+00:00
Standard,2.1.3.1.6,2.6,"Analyze data, images, maps and texts to compare how different people around the world live today and have lived in the past.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.1.7,2.7,"Compare different ways people get food and water today locally, nationally and globally.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.3.2,,Driving Concept 2: First Ancient Civilizations,,2023-11-03T00:32:05+00:00
Standard,2.1.3.2.1,2.8,"Analyze artifacts –– such as photographs, renderings, petroglyphs, cave dwellings, etc. –– and text-based sources to explain how historians learn about the past.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.2.2,2.9,"Describe characteristics of “ancient civilizations,” with a focus on using water and land for large-scale farming and explain that governments helped oversee the distribution of resources. *",,2023-11-03T00:32:05+00:00
Standard,2.1.3.2.3,2.10,"Explain the importance of using water to grow a food source and the importance of developing systems of irrigation in early civilizations, such as Egypt, Kush, Mesopotamia, and Olmec.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.2.4,2.11,"Compare examples of how food was grown in ancient civilizations, such as Egypt, Kush, Mesopotamia and Olmec to how food is grown by people around the world today.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.2.5,2.12,"Compare the different kinds of jobs or social roles of ancient people in Egypt, Kush, Mesopotamia and Olmec and how they were filled by people of different genders.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.2.6,2.13,"Compare cultural elements of early civilizations, such as forms of writing or art in Egypt, Kush, Mesopotamia and Olmec.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.2.7,2.14,"Compare scientific, religious, and technological innovations of early civilizations, such as the ziggurats of Mesopotamia, the pyramids of Egypt and Kush, and Olmec architecture.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.2.8,2.15,"Compare and describe basic features of government of early civilizations, such as the priesthoods and kings of Mesopotamia, the pharaohs of Egypt, the monarchy of Olmec and the ruling queens of Kush (e.g., identify patrilineal and matrilineal practices; Hatshepsut was a female pharaoh of Egypt).
* Note that “civilization” does not mean more advanced or superior but reflects a way of living that utilized a “fixed” location, which usually meant large-scale farming of grains was taking place, as well as the development of physical structures, sometimes writing or communication systems were developed, and formal governments were often formed to oversee the use of land, resources.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.3.3,,Driving Concept 3: Innovations of Long Ago,,2023-11-03T00:32:05+00:00
Standard,2.1.3.3.1,2.16,"Locate and identify key geographic characteristics of Central America, South America, Ancient China and Ancient Rome.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.3.2,2.17,"Explain the utility of different artifacts –– such as photographs, renderings, petroglyphs, cave dwellings, etc. –– and textbased sources in answering questions about the past.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.3.3,2.18,"Compare the crops grown in ancient civilizations across the Americas, Ancient Rome and Ancient China.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.3.4,2.19,"Compare the physical structures constructed across the Americas, Ancient Rome and Ancient China, and analyze the purposes of these structures (e.g., temples, pyramids, walls).",,2023-11-03T00:32:05+00:00
Standard,2.1.3.3.5,2.20,"Compare the scientific and technological innovations across the Americas, Ancient Rome and Ancient China (e.g., alphabets and language systems, roads, aqueducts).",,2023-11-03T00:32:05+00:00
Standard,2.1.3.3.6,2.21,"Describe governing and social structures developed in the Americas, Ancient Rome and Ancient China, including female-led kingdoms and matriarchal societies, and explain how different individuals exercised power in society.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.3.7,2.22,"Analyze the daily lives of different individuals in ancient societies including histories of same-sex relationships, and the evolution of gender roles and identities in civilizations.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.3.4,,"Driving Concept 4: Kingdoms, Cities and Communities",,2023-11-03T00:32:05+00:00
Standard,2.1.3.4.1,2.23,"Analyze primary sources to describe at least two of the significant architectural, cultural, and technological innovations of the empires in Mali, Songhai or Gedi between 1200 and 1600 CE.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.4.2,2.24,"Analyze primary sources to describe at least two of the significant architectural, cultural, and technological innovations of the monarchies in England, Spain or France between 1200 and 1600 CE.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.4.3,2.25,"Analyze primary sources to describe at least two of the significant architectural, cultural, and technological innovations of the Ottoman, Safavid or Mughal Empires between 1200 and 1600 CE.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.4.4,2.26,"Analyze primary sources to describe at least two of the significant architectural, cultural, and technological innovations of the Aztec and Incan Kingdoms between 1200 and 1600 CE.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.4.5,2.27,"Compare gender roles and the daily lives of individuals across societies in Africa, Europe, the Americas, and Asia between
1200 and 1600, and explain how women exercised power in different contexts.",,2023-11-03T00:32:05+00:00
Standard,2.1.3.4.6,2.28,"Compare the social or political structures of societies in Africa, Europe, the Americas and Asia between 1200 and 1600.",,2023-11-03T00:32:05+00:00
Driving Concept,2.1.3.5,,Driving Concept 5: Our World Today,,2023-11-03T00:32:05+00:00
Standard,2.1.3.5.1,2.29,Explain how people use water and land today to produce or grow food locally and nationally.,,2023-11-03T00:32:05+00:00
Standard,2.1.3.5.2,2.30,Explain how the climate has changed from long ago to today and explain how the changing climate impacts life on Earth.,,2023-11-03T00:32:05+00:00
