Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Range,1,,Elementary School Outcomes (K - Grade 5),KG-05,2025-04-11T15:03:10+00:00
Grade,1.1,,Kindergarten,KG,2025-04-11T15:04:49+00:00
Standard,1.1.1,,Demonstrates competency in a variety of motor skills and movement patterns.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.1.1,,Locomotor,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.1.1,S1.E1.K,"**Hopping, galloping, running, sliding, skipping, leaping** Performs locomotor skills while maintaining balance.",KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.1.2,S1.E3.K,"**Jumping & landing, horizontal plane** Performs jumping and landing actions with balance. Note: This outcome applies to both horizontal and vertical jumping and landing.",KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.1.3,S1.E5.K,**Dance** Performs locomotor skills in response to teacher-led creative dance,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.1.2,,Non-locomotor (stability),KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.2.1,S1.E7.Ka,**Balance** Maintains momentary stillness on different bases of support.,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.2.2,S1.E7.Kb,"**Balance** Forms wide, narrow, curled, and twisted body shapes.",KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.2.3,S1.E9.K,"**Weight transfer, rolling** Rolls sideways in a narrow body shape.",KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.2.4,S1.E10.K,**Curling & stretching; twisting & bending** Contrasts the actions of curling and stretching.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.1.3,,Manipulative,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.3.1,S1.E13.K,**Underhand throw** Throw underhand with opposite foot forward.,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.3.2,S1.E16.Ka,**Catching** Drops a ball and catches it before it bounces twice.,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.3.3,S1.E16.Kb,**Catching** Catches a large ball tossed by a skilled thrower.,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.3.4,S1.E17.K,"**Dribbling/ball control with hands** Dribbles a ball with one hand, attempting the second contact.",KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.3.5,S1.E18.K,"**Dribbling/ball control with feet** Taps a ball using the inside of the foot, sending it forward.",KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.3.6,S1.E21.K,"**Kicking** Kicks a stationary ball from a stationary position, demonstrating 2 of the 5 elements of a mature kicking pattern.",KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.3.7,S1.E22.K,"**Volley, underhand** Volleys a light-weight object, sending it upward.",KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.3.8,S1.E24.K,"**Striking, short implement** Strikes a lightweight object with a paddle or a short-handled racket.",KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.3.9,S1.E27.Ka,**Jumping rope** Executes a single jump with self- turned rope.,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.1.3.10,S1.E27.Kb,**Jumping rope** Jumps a long rope with teacher-assisted turning.,KG,2025-04-11T15:04:49+00:00
Standard,1.1.2,,"Applies knowledge of concepts, principles, strategies, and tactics related to movement and performance.",KG,2025-04-11T15:04:49+00:00
Cluster,1.1.2.1,,Movement concepts,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.2.1.1,S2.E1.Ka,**Space** Differentiates between movement in personal and general space.,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.2.1.2,S2.E1.Kb,**Space** Moves in personal space to a rhythm.,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.2.1.3,S2.E2.K,"**Pathways, shapes, levels** Travels in 3 different pathways.",KG,2025-04-11T15:04:49+00:00
Outcome,1.1.2.1.4,S2.E3.K,"**Speed, direction, force** Travels in general space with different speeds.",KG,2025-04-11T15:04:49+00:00
Standard,1.1.3,,Demonstrates the knowledge and skills to achieve and maintain a health-enhancing level of physical activity and fitness.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.3.1,,Physical activity knowledge,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.3.1.1,S3.E1.K,Identifies active-play opportunities outside of physical education class.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.3.2,,Engages in physical activity,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.3.2.1,S3.E2.K,Actively participates in physical education class.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.3.3,,Fitness knowledge,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.3.3.1,S3.E3.K,"Recognizes that when you move fast, your heart beats faster and breathe faster.",KG,2025-04-11T15:04:49+00:00
Cluster,1.1.3.4,,Nutrition,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.3.4.1,S3.E6.K,Recognizes that food provides energy for physical activity.,KG,2025-04-11T15:04:49+00:00
Standard,1.1.4,,Exhibits responsible personal and social behavior that respects self and others.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.4.1,,Personal responsibility,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.4.1.1,S4.E1.K,Follows directions in group settings.,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.4.1.2,S4.E2.K,Acknowledges responsibility for behavior when prompted.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.4.2,,Accepting feedback,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.4.2.1,S4.E3.K,Follows instruction/directions when prompted.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.4.3,,Working with others,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.4.3.1,S4.E4.K,Shares equipment and space with others.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.4.4,,Rules & etiquette,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.4.4.1,S4.E5.K,Recognizes the established protocol for class activities.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.4.5,,Safety,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.4.5.1,S4.E6.K,Follows teacher directions for safe participation and proper use of equipment with minimal reminders.,KG,2025-04-11T15:04:49+00:00
Standard,1.1.5,,"Recognizes the value of physical activity for health, enjoyment, challenge, self-expression, and/or social interaction.",KG,2025-04-11T15:04:49+00:00
Cluster,1.1.5.1,,Health,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.5.1.1,S5.E1.K,Recognizes that physical activity is important for good health.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.5.2,,Challenge,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.5.2.1,S5.E2.K,Acknowledges that some physical activities are challenging/difficult.,KG,2025-04-11T15:04:49+00:00
Cluster,1.1.5.3,,Self-expression & enjoyment,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.5.3.1,S5.E3.Ka,Identifies physical activities that are enjoyable.,KG,2025-04-11T15:04:49+00:00
Outcome,1.1.5.3.2,S5.E3.Kb,Discusses the enjoyment of playing with friends.,KG,2025-04-11T15:04:49+00:00
Grade,1.2,,Grade 1,01,2025-04-11T15:04:43+00:00
Standard,1.2.1,,Demonstrates competency in a variety of motor skills and movement patterns.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.1.1,,Locomotor,01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.1.1,S1.E1.1,"**Hopping, galloping, running, sliding, skipping, leaping** Hops, gallops, jogs, and slides using a mature pattern.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.1.2,S1.E3.1,"**Jumping & landing, horizontal plane** Demonstrates 2 of the 5 critical elements for jumping and landing in a horizontal plane using 2-foot take-offs and landings.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.1.3,S1.E4.1,"**Jumping & landing, vertical plane** Demonstrates 2 of the 5 critical elements for jumping and landing in a vertical plane.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.1.4,S1.E5.1,**Dance** Combines locomotor and non-locomotor skills in a teacher- designed dance.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.1.2,,Non-locomotor (stability),01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.2.1,S1.E7.1,**Balance** Maintains stillness on different bases of support with different body shapes.,01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.2.2,S1.E8.1,**Weight transfer** Transfers weight from one body part to another in self- space in dance and gymnastics environments.,01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.2.3,S1.E9.1,"**Weight transfer, rolling** Rolls with either a narrow or curled body shape.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.2.4,S1.E10.1,"**Curling & stretching; twisting & bending** Demonstrates twisting, curling, bending, and stretching actions.",01,2025-04-11T15:04:43+00:00
Cluster,1.2.1.3,,Manipulative,01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.3.1,S1.E13.1,"**Underhand throw** Throws underhand, demonstrating 2 of the 5 critical elements of a mature pattern.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.3.2,S1.E16.1a,**Catching** Catches a soft object from a self-toss before it bounces.,01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.3.3,S1.E16.1b,**Catching** Catches various sizes of balls self-tossed or tossed by a skilled thrower.,01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.3.4,S1.E17.1,**Dribbling/ball control with hands** Dribbles continuously in self-space using the preferred hand.,01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.3.5,S1.E18.1,**Dribbling/ball control with feet** Taps or dribbles a ball using the inside of the foot while walking in general space.,01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.3.6,S1.E21.1,"**Kicking** Approaches a stationary ball and kicks it forward, demonstrating 2 of the 5 critical elements of a mature pattern.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.3.7,S1.E22.1,"**Volley, underhand** Volleys an object with an open palm, sending it upward.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.3.8,S1.E24.1,"**Striking, short implement** Strikes a ball with a short-handled implement, sending it upward.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.3.9,S1.E27.1a,**Jumping rope** Jumps forward or backward consecutively using a self-turned rope.,01,2025-04-11T15:04:43+00:00
Outcome,1.2.1.3.10,S1.E27.1b,**Jumping rope** Jumps a long rope up to 5 times consecutively with teacher-assisted turning.,01,2025-04-11T15:04:43+00:00
Standard,1.2.2,,"Applies knowledge of concepts, principles, strategies, and tactics related to movement and performance.",01,2025-04-11T15:04:43+00:00
Cluster,1.2.2.1,,Movement concepts,01,2025-04-11T15:04:43+00:00
Outcome,1.2.2.1.1,S2.E1.1,**Space** Moves in self-space and general space in response to designated beats/rhythms.,01,2025-04-11T15:04:43+00:00
Outcome,1.2.2.1.2,S2.E2.1a,"**Pathways, shapes, levels** Travels demonstrating low, middle, and high levels.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.2.1.3,S2.E2.1b,"**Pathways, shapes, levels** Travels demonstrating a variety of relationships with objects.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.2.1.4,S2.E3.1a,"**Speed, direction, force** Differentiates between fast and slow speeds.",01,2025-04-11T15:04:43+00:00
Outcome,1.2.2.1.5,S2.E3.1b,"**Speed, direction, force** Differentiates between strong and light force.",01,2025-04-11T15:04:43+00:00
Standard,1.2.3,,Demonstrates the knowledge and skills to achieve and maintain a health-enhancing level of physical activity and fitness.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.3.1,,Physical activity knowledge,01,2025-04-11T15:04:43+00:00
Outcome,1.2.3.1.1,S3.E1.1,Discusses the benefits of being active and exercising and/or playing.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.3.2,,Engages in physical activity,01,2025-04-11T15:04:43+00:00
Outcome,1.2.3.2.1,S3.E2.1,Actively engages in physical education class,01,2025-04-11T15:04:43+00:00
Cluster,1.2.3.3,,Fitness knowledge,01,2025-04-11T15:04:43+00:00
Outcome,1.2.3.3.1,S3.E3.1,"Identifies the heart as a muscle that grows stronger with exercise, play, and physical activity.",01,2025-04-11T15:04:43+00:00
Cluster,1.2.3.4,,Assessment & program planning,01,2025-04-11T15:04:43+00:00
Cluster,1.2.3.5,,Nutrition,01,2025-04-11T15:04:43+00:00
Outcome,1.2.3.5.1,S3.E6.1,Differentiates between healthy and unhealthy foods.,01,2025-04-11T15:04:43+00:00
Standard,1.2.4,,Exhibits responsible personal and social behavior that respects self and others.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.4.1,,Personal responsibility,01,2025-04-11T15:04:43+00:00
Outcome,1.2.4.1.1,S4.E1.1,Accepts personal responsibility by using equipment and space appropriately.,01,2025-04-11T15:04:43+00:00
Outcome,1.2.4.1.2,S4.E2.1,Follows the rules and parameters of the learning environment.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.4.2,,Accepting feedback,01,2025-04-11T15:04:43+00:00
Outcome,1.2.4.2.1,S4.E3.1,Responds appropriately to general feedback from the teacher.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.4.3,,Working with others,01,2025-04-11T15:04:43+00:00
Outcome,1.2.4.3.1,S4.E4.1,Works independently with others in a variety of class environments.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.4.4,,Rules & etiquette,01,2025-04-11T15:04:43+00:00
Outcome,1.2.4.4.1,S4.E5.1,Exhibits the established protocols for class activities.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.4.5,,Safety,01,2025-04-11T15:04:43+00:00
Outcome,1.2.4.5.1,S4.E6.1,Follows teacher directions for safe participation and proper use of equipment without teacher reminders.,01,2025-04-11T15:04:43+00:00
Standard,1.2.5,,"Recognizes the value of physical activity for health, enjoyment, challenge, self-expression, and/or social interaction.",01,2025-04-11T15:04:43+00:00
Cluster,1.2.5.1,,Health,01,2025-04-11T15:04:43+00:00
Outcome,1.2.5.1.1,S5.E1.1,Identifies physical activity as a component of good health.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.5.2,,Challenge,01,2025-04-11T15:04:43+00:00
Outcome,1.2.5.2.1,S5.E2.1,Recognizes that challenge in physical activities can lead to success.,01,2025-04-11T15:04:43+00:00
Cluster,1.2.5.3,,Self-expression & enjoyment,01,2025-04-11T15:04:43+00:00
Outcome,1.2.5.3.1,S5.E3.1a,Describes positive feelings that result from participating in physical activities.,01,2025-04-11T15:04:43+00:00
Outcome,1.2.5.3.2,S5.E3.1b,Discusses personal reasons for enjoying physical activities.,01,2025-04-11T15:04:43+00:00
Grade,1.3,,Grade 2,02,2025-04-11T15:04:36+00:00
Standard,1.3.1,,Demonstrates competency in a variety of motor skills and movement patterns.,02,2025-04-11T15:04:36+00:00
Cluster,1.3.1.1,,Locomotor,02,2025-04-11T15:04:36+00:00
Outcome,1.3.1.1.1,S1.E2.2a,"**Jogging, running** Runs with a mature pattern.",02,2025-04-11T15:04:36+00:00
Outcome,1.3.1.1.2,S1.E2.2b,"**Jogging, running** Travels showing differentiation between jogging and sprinting.",02,2025-04-11T15:04:36+00:00
Outcome,1.3.1.1.3,S1.E3.2,"**Jumping & landing, horizontal plane** Demonstrates 4 of the 5 critical elements for jumping and landing in a horizontal plane using a variety of 1- and 2-foot take-offs and landings.",02,2025-04-11T15:04:36+00:00
Outcome,1.3.1.1.4,S1.E4.2,"**Jumping & landing, vertical plane** Demonstrates 4 of the 5 critical elements for jumping and landing in a vertical plane.",02,2025-04-11T15:04:36+00:00
Outcome,1.3.1.1.5,S1.E5.2,**Dance** Performs a teacher- and/or student- designed rhythmic activity with correct response to simple rhythms.,02,2025-04-11T15:04:36+00:00
Cluster,1.3.1.2,,Non-locomotor (stability),02,2025-04-11T15:04:36+00:00
Outcome,1.3.1.2.1,S1.E7.2a,"**Balance** Balances on different bases of support, combining levels, and shapes.",02,2025-04-11T15:04:36+00:00
Outcome,1.3.1.2.2,S1.E7.2b,**Balance** Balances in an inverted position* with stillness and supportive basis.,02,2025-04-11T15:04:36+00:00
Outcome,1.3.1.2.3,S1.E8.2,**Weight transfer** Transfers weight from feet to different body parts/bases of support for balance and/or travel.,02,2025-04-11T15:04:36+00:00
Outcome,1.3.1.2.4,S1.E9.2,"**Weight transfer, rolling** Rolls in different directions with either a narrow or curled body shape.",02,2025-04-11T15:04:36+00:00
