Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Domain,1,,Modern Languages,PK-12,2025-05-01T14:10:50+00:00
Grade Range,1.1,,Pre-Kindergarten - Grade 5,PK-05,2025-05-01T14:08:05+00:00
Goal,1.1.1,,Communication,PK-05,2025-05-01T14:08:05+00:00
Standard,1.1.1.1,,"Students engage in conversation, provide and obtain information, express feelings and emotions, and exchange opinions.",PK-05,2025-05-01T14:08:05+00:00
Proficiency Range,1.1.1.1.1,,**Junior Novice low** (Grades PK-1),PK-01,2025-05-01T14:08:59+00:00
Progress Indicator,1.1.1.1.1.1,JIP.1.1,"Recognize greetings, farewells and other expressions of courtesy.",PK-01,2025-05-01T14:08:59+00:00
Progress Indicator,1.1.1.1.1.2,JIP.1.2,"Name people and familiar objects in immediate environment based on visual cues, props and prompts.",PK-01,2025-05-01T14:08:59+00:00
Progress Indicator,1.1.1.1.1.3,JIP.1.3,"Respond nonverbally and/or give one to two word answers to simple questions about self, others and immediate environment.",PK-01,2025-05-01T14:08:59+00:00
Progress Indicator,1.1.1.1.1.4,JIP.1.4,Respond appropriately to questions by providing personal information.,PK-01,2025-05-01T14:08:59+00:00
Proficiency Range,1.1.1.1.2,,**Junior Novice mid** (Grades 2-3),02-03,2025-05-01T14:09:17+00:00
Progress Indicator,1.1.1.1.2.1,JIP.2.1,"*Perform required skills from previous grade levels and* use appropriate greetings, farewells and other expressions of courtesy and apology.",02-03,2025-05-01T14:09:17+00:00
Progress Indicator,1.1.1.1.2.2,JIP.2.2,*Perform required skills from previous grade levels and* describe similarities & differences between objects and people in immediate environment and beyond.,02-03,2025-05-01T14:09:17+00:00
Progress Indicator,1.1.1.1.2.3,JIP.2.3,*Perform required skills from previous grade levels and* use basic words and/or short memorized phrases to respond to simple questions within thematic context.,02-03,2025-05-01T14:09:17+00:00
Progress Indicator,1.1.1.1.2.4,JIP.2.4,"*Perform required skills from previous grade levels and* describe self, others and objects in the immediate environment.",02-03,2025-05-01T14:09:17+00:00
Proficiency Range,1.1.1.1.3,,**Junior Novice high** (Grades 4-5),04-05,2025-05-01T14:09:46+00:00
Progress Indicator,1.1.1.1.3.1,JIP.3.1,"*Perform required skills from previous grade levels and* initiate greetings, farewells and other expressions of courtesy and apology with explanations.",04-05,2025-05-01T14:09:46+00:00
Progress Indicator,1.1.1.1.3.2,JIP.3.2,*Perform required skills from previous grade levels and* express opinions/preferences about people and objects within a thematic context.,04-05,2025-05-01T14:09:46+00:00
Progress Indicator,1.1.1.1.3.3,JIP.3.3,*Perform required skills from previous grade levels and* expand on recombined/fragmented phrases and expand on response to simple questions on a variety of familiar topics.,04-05,2025-05-01T14:09:46+00:00
Progress Indicator,1.1.1.1.3.4,JIP.3.4,*Perform required skills from previous grade levels and* exchange basic and important information about daily life.,04-05,2025-05-01T14:09:46+00:00
Standard,1.1.1.2,,Students understand and interpret written and spoken language on a variety of topics.,PK-05,2025-05-01T14:08:05+00:00
Proficiency Range,1.1.1.2.1,,**Junior Novice low** (Grades PK-1),PK-01,2025-05-01T14:08:59+00:00
Progress Indicator,1.1.1.2.1.1,JI.1.1,Follow simple oral routine instructions and directions by responding appropriately.,PK-01,2025-05-01T14:08:59+00:00
Progress Indicator,1.1.1.2.1.2,JI.1.2,"Listen attentively and respond with words or appropriate gestures to songs, poems and short stories.",PK-01,2025-05-01T14:08:59+00:00
