Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Domain,1,,Health Education,KG-12,2025-04-04T14:51:58+00:00
Grade Range,1.1,,Grades K-5,KG-05,2025-04-04T14:52:27+00:00
Grade,1.1.1,,Kindergarten,KG,2025-04-04T14:52:51+00:00
Cluster,1.1.1.1,,Wellness Promotion and Disease Prevention,KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.1.1,WE.K.1,Identify and discuss the functions of sensory organs.,KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.1.2,WE.K.2,"Identify proper personal hygiene skills (e.g., brushing teeth, hand washing).",KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.1.3,WE.K.3,Identify healthy foods.,KG,2025-04-04T14:52:51+00:00
Cluster,1.1.1.2,,Wellness Information and Services,KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.2.1,WE.K.4,"Identify healthcare/safety professionals (e.g., teachers, policemen, school nurses, dentists, doctors).",KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.2.2,WE.K.5,Demonstrate when and how to call 9-1-1 emergency services.,KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.2.3,WE.K.6,"Identify healthy and unhealthy household products and recognize danger symbols (e.g., Mr. Yuck, skull and crossbones).",KG,2025-04-04T14:52:51+00:00
Cluster,1.1.1.3,,Wellness Behaviors,KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.3.1,WE.K.7,Identify proper clothing to wear for different weather conditions and activities.,KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.3.2,WE.K.8,"Describe the function of safety equipment used during play (e.g., helmets, knee pads, elbow pads).",KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.3.3,WE.K.9,"Demonstrate safety procedures (e.g., street crossing, fire drills, transportation safety).",KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.3.4,WE.K.10,Explain medication should be avoided without supervised use.,KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.3.5,WE.K.11,Identify unsafe actions that might lead to injuries.,KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.3.6,WE.K.12,"Explain that all people, including children, have the right to tell others not to touch their body.",KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.3.7,WE.K.13,Identify adults to notify when uncomfortable with certain touches.,KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.3.8,WE.K.14,"Recognize tobacco, alcohol, and other drugs as harmful substances.",KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.3.9,WE.K.15,Identify feelings and ways to deal with difficult emotions.,KG,2025-04-04T14:52:51+00:00
Standard,1.1.1.3.10,WE.K.16,"Recognize potentially harmful or dangerous situations and explore appropriate refusal skills (e.g., meeting strangers, using harmful substances).",KG,2025-04-04T14:52:51+00:00
Grade,1.1.2,,Grade 1,01,2025-04-04T14:53:08+00:00
Cluster,1.1.2.1,,Wellness Promotion and Disease Prevention,01,2025-04-04T14:53:08+00:00
Standard,1.1.2.1.1,WE.1.1,Identify ways germs enter the body and how to prevent the spread of illnesses.,01,2025-04-04T14:53:08+00:00
Standard,1.1.2.1.2,WE.1.2,Describe the effects of healthy and less healthy foods on the body.,01,2025-04-04T14:53:08+00:00
Standard,1.1.2.1.3,WE.1.3,"Explain the need for medical checkups and other health-care procedures (e.g., eye, dental exams).",01,2025-04-04T14:53:08+00:00
Cluster,1.1.2.2,,Wellness Information and Services,01,2025-04-04T14:53:08+00:00
Standard,1.1.2.2.1,WE.1.4,"Identify which “safety” helpers (e.g., police and teachers) to contact for different problems.",01,2025-04-04T14:53:08+00:00
Standard,1.1.2.2.2,WE.1.5,Demonstrate when and how to use 9-1-1 emergency services.,01,2025-04-04T14:53:08+00:00
Standard,1.1.2.2.3,WE.1.6,"Classify household products (e.g., harmful, safe).",01,2025-04-04T14:53:08+00:00
Cluster,1.1.2.3,,Wellness Behaviors,01,2025-04-04T14:53:08+00:00
Standard,1.1.2.3.1,WE.1.7,"Identify the proper safety equipment for different activities (e.g., rollerblading, bicycling, skateboarding, seatbelts and positioning when riding in a car).",01,2025-04-04T14:53:08+00:00
