Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Mathematical Habits of Mind,,2024-07-04T00:04:46+00:00
Standard,1.1,MHM1,Make sense of problems and persevere in solving them.,,2024-07-04T00:04:46+00:00
Standard,1.2,MHM2,Reason abstractly and quantitatively.,,2024-07-04T00:04:46+00:00
Standard,1.3,MHM3,Construct viable arguments and critique the reasoning of others.,,2024-07-04T00:04:46+00:00
Standard,1.4,MHM4,Model with mathematics.,,2024-07-04T00:04:46+00:00
Standard,1.5,MHM5,Use appropriate tools strategically.,,2024-07-04T00:04:46+00:00
Standard,1.6,MHM6,Attend to precision.,,2024-07-04T00:04:46+00:00
Standard,1.7,MHM7,Look for and make use of structure.,,2024-07-04T00:04:46+00:00
Standard,1.8,MHM8,Look for and express regularity in repeated reasoning.,,2024-07-04T00:04:46+00:00
,2,,Standards for Math Content,,2024-07-09T00:30:18+00:00
Grade Level,2.1,,Kindergarten,KG,2024-07-09T00:36:10+00:00
Domain,2.1.1,,Counting and Cardinality,KG,2024-07-09T00:36:10+00:00
Cluster,2.1.1.1,,Know number names and the count sequence.,KG,2024-07-09T00:36:10+00:00
Standard,2.1.1.1.1,M.K.1,Count to 100 by ones and by tens.,KG,2024-07-09T00:36:10+00:00
Standard,2.1.1.1.2,M.K.2,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,KG,2024-07-09T00:36:10+00:00
Standard,2.1.1.1.3,M.K.3,Write numbers from Oto 20. Represent a number of objects with a written numeral 0-20 (with O representing a count of no objects).,KG,2024-07-09T00:36:10+00:00
Cluster,2.1.1.2,,Count to tell the number of objects.,KG,2024-07-09T00:36:10+00:00
Standard,2.1.1.2.1,M.K.4,"Understand the relationship between numbers and quantities; connect counting to cardinality.
a. When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.
b. Understand that the last number name said tells the number of objects counted and the number of objects is the same regardless of their arrangement or the order in which they were counted.
c. Understand that each successive number name refers to a quantity that is one larger.",KG,2024-07-09T00:36:10+00:00
Standard,2.1.1.2.2,M.K.5,"Count to answer questions (e.g., ""How many?"") about as many as 20 things arranged in a line, a rectangular array, a circle, or as many as 10 things in a scattered configuration; given a number from 1-20, count out that many objects.",KG,2024-07-09T00:36:10+00:00
Cluster,2.1.1.3,,Compare numbers.,KG,2024-07-09T00:36:10+00:00
Standard,2.1.1.3.1,M.K.6,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group (e.g., by using matching and counting strategies).",KG,2024-07-09T00:36:10+00:00
Standard,2.1.1.3.2,M.K.7,Compare and order two numbers between 0-20 presented as written numerals.,KG,2024-07-09T00:36:10+00:00
Domain,2.1.2,,Operations and Algebraic Thinking,KG,2024-07-09T00:36:10+00:00
