Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Mathematical Habits of Mind,KG-12,2023-11-19T00:00:00+00:00
Standard,1.1,MHM1,Make sense of problems and persevere in solving them.,KG-12,2023-11-19T00:00:00+00:00
Standard,1.2,MHM2,Reason abstractly and quantitatively.,KG-12,2023-11-19T00:00:00+00:00
Standard,1.3,MHM3,Construct viable arguments and critique the reasoning of others.,KG-12,2023-11-19T00:00:00+00:00
Standard,1.4,MHM4,Model with mathematics.,KG-12,2023-11-19T00:00:00+00:00
Standard,1.5,MHM5,Use appropriate tools strategically.,KG-12,2023-11-19T00:00:00+00:00
Standard,1.6,MHM6,Attend to precision.,KG-12,2023-11-19T00:00:00+00:00
Standard,1.7,MHM7,Look for and make use of structure.,KG-12,2023-11-19T00:00:00+00:00
Standard,1.8,MHM8,Look for and express regularity in repeated reasoning.,KG-12,2023-11-19T00:00:00+00:00
,2,,Standards for Math Content,KG-PK,2023-11-19T00:00:00+00:00
Grade Level,2.1,,Pre-Kindergarten,PK,2023-11-19T00:00:00+00:00
Domain,2.1.1,,Measurement and Data,PK,2023-11-19T00:00:00+00:00
Cluster,2.1.1.1,,Direct Measurement (DM),PK,2023-11-19T00:00:00+00:00
Standard,2.1.1.1.1,M.PK.MD.DM.1,"Identify measurable attributes of objects, such as length and weight. Describe them using correct vocabulary (e.g., small, big, short, tall, empty, full, heavy, and light.",PK,2023-11-19T00:00:00+00:00
Standard,2.1.1.1.2,M.PK.MD.DM.2,"Estimate the size of objects in comparison to a common unit of measurement, (e.g., more/less, short/tall, long/short, big/little, light/heavy).",PK,2023-11-19T00:00:00+00:00
Standard,2.1.1.1.3,M.PK.MD.DM.3,Construct a sense of time through participation in the daily routine.,PK,2023-11-19T00:00:00+00:00
Cluster,2.1.1.2,,Representing and Interpreting Data,PK,2023-11-19T00:00:00+00:00
Standard,2.1.1.2.1,M.PK.MD.RI.1,"Sort objects into categories according to common characteristics (e.g., color, size, shape) and count the number of objects.",PK,2023-11-19T00:00:00+00:00
Standard,2.1.1.2.2,M.PK.MD.RI.2,Incorporate estimating and measuring activities into play.,PK,2023-11-19T00:00:00+00:00
Standard,2.1.1.2.3,M.PK.MD.RI.3,Recognize and interpret information/symbols presented in tables and graphs.,PK,2023-11-19T00:00:00+00:00
Domain,2.1.2,,Geometry,PK,2023-11-19T00:00:00+00:00
