Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Domain,1,,Physical Education,KG-12,2025-05-16T18:16:28+00:00
Grade Range,1.1,,Grades K-5,KG-05,2025-05-16T18:16:28+00:00
Grade,1.1.1,,Kindergarten,KG,2025-05-16T18:16:28+00:00
Cluster,1.1.1.1,,Development of Motor Skills/Movement Forms,KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.1.1,WE.K.17,"Develop a beginning movement vocabulary for body and spatial awareness (e.g., general/self-space, left, right, up, down, high, low).",KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.1.2,WE.K.18,Distinguish between personal space and general space.,KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.1.3,WE.K.19,"Distinguish between and perform locomotor movements of running, hopping, jumping, galloping, and sliding.",KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.1.4,WE.K.20,"Travel in straight, curved, and zigzag pathways.",KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.1.5,WE.K.21,Perform movements that promote cross lateral development.,KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.1.6,WE.K.22,"Make wide, narrow, round, and twisted body shapes.",KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.1.7,WE.K.23,"Move the body at high, medium, and low levels.",KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.1.8,WE.K.24,"Move to a variety of beats, tempos, and rhythms.",KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.1.9,WE.K.25,"Transfer weight to balance on different body parts or combinations of body parts (e.g., beginner gymnastics, yoga).",KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.1.10,WE.K.26,"Develop spatial awareness of an object or person (e.g., beside, under, near, far).",KG,2025-05-16T18:16:28+00:00
Cluster,1.1.1.2,,Physical Fitness,KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.2.1,WE.K.27,"Recognize body responses to physical activities (e.g., increased heart rate, faster breathing, perspiration).",KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.2.2,WE.K.28,Discuss the need for proper rest and exercise.,KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.2.3,WE.K.29,Locate and identify a variety of body parts.,KG,2025-05-16T18:16:28+00:00
Cluster,1.1.1.3,,"Responsible, Personal, and Social Behaviors",KG,2025-05-16T18:16:28+00:00
Standard,1.1.1.3.1,WE.K.30,"Demonstrate appropriate interactions with others (e.g., partners, small groups and large groups).",KG,2025-05-16T18:16:28+00:00
