Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Primary School (K-2),KG-02,2023-09-19T18:48:11+00:00
,1.1,,Science Indicators Grades K-2,KG-02,2023-09-19T18:48:19+00:00
,1.1.1,,Nature of Science,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.1.1,,Scientific knowledge is simultaneously reliable and subject to change based on empirical evidence and interpretation.,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.1.2,,Scientific knowledge is obtained through a combination of observations of the natural world and inferences based on those observations.,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.1.3,,Science is a creative human endeavor which is influenced bysocial and cultural biases,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.1.4,,A primary goal of science is the formation of theories and laws. Theories are inferred explanations of some aspect of the natural world based on successfully tested information from evidence and evaluated phenomena. Laws describe relationships among what has been observed in the natural world.,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.1.5,,Scientific investigations use a variety of methods to address questions about the natural and material world.,KG-02,2023-09-19T18:48:19+00:00
,1.1.2,,Practices of Scientists and Engineers,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.2.1,,Asking questions and defining problems,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.2.2,,Developing and using models,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.2.3,,Planning and carrying out investigations Analyzingandinterpretingdata Usingmathematical and computational thinking,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.2.4,,Constructing explanations and designing solutions,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.2.5,,Engaging in argument from evidence,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.2.6,,"Obtaining, evaluating, and communicating information",KG-02,2023-09-19T18:48:19+00:00
,1.1.3,,Science Connecting Concepts,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.3.1,,Observing patterns,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.3.2,,Investigating and explaining cause and effect,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.3.3,,"Recognizing scale, proportion, and quantity",KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.3.4,,Detining systems and system models,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.3.5,,"Tracking energy and matter flows into, out of, and within systems to understand system behavior",KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.3.6,,Determining the relationships between structure and function,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.3.7,,Studying stability and change,KG-02,2023-09-19T18:48:19+00:00
,1.1.4,,Science Lab Safety,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.4.1,,Requiring lab safety training and archiving signed student safety contracts including medical conditions,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.4.2,,"Wearing proper protective equipment as needed (e.g., goggles, apron, and gloves)",KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.4.3,,Requiring grade-appropriate lab equipment operation and safety training,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.4.4,,Storing and disposing of chemical/biological materials properly,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.4.5,,Following ethical classroom use of living organisms,KG-02,2023-09-19T18:48:19+00:00
,1.1.5,,Science Literacy,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.5.1,,Utilizing and connecting ideas among informational (factual) scientific texts,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.5.2,,Integrating and applying information presentedinvariousmediaformatswhen writing and speaking,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.5.3,,Citing evidence to support scientific claims,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.5.4,,Comparing and contrasting sets of data,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.5.5,,Building and appropriately using science domain vocabulary and phrases,KG-02,2023-09-19T18:48:19+00:00
College- and Career-Readiness Indicator for Science,1.1.5.6,,"Interpreting and applying visually expressed information (e.g., flowchart, diagram, model, graph, or table,",KG-02,2023-09-19T18:48:19+00:00
Course,1.2,,Kindergarten,KG,2023-09-19T18:48:26+00:00
Domain,1.2.1,,Physical Science,KG,2023-09-19T18:48:26+00:00
Topic,1.2.1.1,,Forces and Interactions: Pushes and Pulls,KG,2023-09-19T18:48:26+00:00
Standard,1.2.1.1.1,S.K.1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.,KG,2023-09-19T18:48:26+00:00
