Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Grouping,1,,Technology Standards,KG-12,2025-03-20T15:22:04+00:00
Course,1.1,,Kindergarten - Grade 2,KG-02,2025-03-27T18:48:12+00:00
Cluster,1.1.1,,Empowered Learner,KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.1.1,T.K-2.1,"With support and guidance, explore a variety of age-appropriate technologies that can assist with the learning process.",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.1.2,T.K-2.2,Explore multiple ways to share ideas and organize information about themselves and the things around them.,KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.1.3,T.K-2.3,"Use an input device (mouse, touch screen, etc.) to select an item and navigate the screen.",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.1.4,T.K-2.4,"Navigate the basic functions of an Internet browser (search, forward, back, print, etc.).",KG-02,2025-03-20T15:25:02+00:00
Cluster,1.1.2,,Digital Citizen,KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.2.1,T.K-2.5,"Demonstrate responsible use of technology (e.g., seek guidance and appropriate support when selecting digital content, understand how to be safe online, follow safety rules when using media, etc.).",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.2.2,T.K-2.6,"Practice using safe, legal, and ethical behavior when using technology.",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.2.3,T.K-2.7,"Collaborate with peers, teams, and individuals within their communities and home through the use of age-appropriate technology.",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.2.4,T.K-2.8,"With support and guidance, discuss the importance of fair use and copyright regulations.",KG-02,2025-03-20T15:25:02+00:00
Cluster,1.1.3,,Knowledge Constructor,KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.3.1,T.K-2.9,"With support and guidance, create original work through the use of age-appropriate technology and digital resources.",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.3.2,T.K-2.10,"Demonstrate creative learning through technology (e.g., digital storytelling, portfolio creation, digital media displays, etc.).",KG-02,2025-03-20T15:25:02+00:00
Cluster,1.1.4,,Innovative Designer,KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.4.1,T.K-2.11,"With support and guidance, select appropriate technology tools to solve problems and communicate information.",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.4.2,T.K-2.12,"With support and guidance, create a product using a step-by-step process through the use of age-appropriate digital and non-digital resources.",KG-02,2025-03-20T15:25:02+00:00
Cluster,1.1.5,,Computational Thinker,KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.5.1,T.K-2.13,"With support and guidance, research information on topics of interest through the use of age-appropriate technology and digital resources by the classroom teacher.",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.5.2,T.K-2.14,"With support and guidance, deepen learning across content areas through the use of age-appropriate technology and digital resources.",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.5.3,T.K-2.15,"With support and guidance, enter information into a spreadsheet and sort the information.",KG-02,2025-03-20T15:25:02+00:00
Cluster,1.1.6,,Creative Communicator,KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.6.1,T.K-2.16,"With support and guidance, communicate with others through the use of age-appropriate technology.",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.6.2,T.K-2.17,"With guidance, select appropriate digital learning tools and resources to produce and publish information.",KG-02,2025-03-20T15:25:02+00:00
Cluster,1.1.7,,Global Collaborator,KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.7.1,T.K-2.18,"With support and guidance, connect with others and explore different points of view on various topics through the use of age-appropriate technology resources.",KG-02,2025-03-20T15:25:02+00:00
Standard,1.1.7.2,T.K-2.19,Identify positive and negative impacts the use of technology can have on them as individuals and their family.,KG-02,2025-03-20T15:25:02+00:00
Course,1.2,,Grades 3-5,03-05,2025-03-27T18:48:24+00:00
Cluster,1.2.1,,Empowered Learner,03-05,2025-03-20T15:25:20+00:00
Standard,1.2.1.1,T.3-5.1,Explore a variety of age-appropriate technologies that can assist with the learning process.,03-05,2025-03-20T15:25:20+00:00
Standard,1.2.1.2,T.3-5.2,"Explore multiple ways to share ideas and organize information about themselves and the things around them using appropriate digital resources (pictures, portfolio, etc.).",03-05,2025-03-20T15:25:20+00:00
Standard,1.2.1.3,T.3-5.3,"Evaluate digital sources for accuracy, perspective, credibility, and relevance.",03-05,2025-03-20T15:25:20+00:00
Standard,1.2.1.4,T.3-5.4,Learn proper keyboarding techniques.,03-05,2025-03-20T15:25:20+00:00
Cluster,1.2.2,,Digital Citizen,03-05,2025-03-20T15:25:20+00:00
Standard,1.2.2.1,T.3-5.5,"Demonstrate responsible use of technology (e.g., seek guidance and appropriate support when selecting digital content, understand how to be safe online, follow safety rules when using media, etc.).",03-05,2025-03-20T15:25:20+00:00
Standard,1.2.2.2,T.3-5.6,"Practice using safe, legal, and ethical behavior when using technology and interacting online.",03-05,2025-03-20T15:25:20+00:00
Standard,1.2.2.3,T.3-5.7,"Collaborate with peers, teams, and individuals within their communities and home through the use of age-appropriate technology.",03-05,2025-03-20T15:25:20+00:00
Standard,1.2.2.4,T.3-5.8,Demonstrate an understanding of the role an online identity plays in the digital world and learn the permanence of decisions made when interacting online.,03-05,2025-03-20T15:25:20+00:00
Standard,1.2.2.5,T.3-5.9,Demonstrate appropriate methods of sharing personal data online and how to keep personal data private.,03-05,2025-03-20T15:25:20+00:00
Standard,1.2.2.6,T.3-5.10,Demonstrate responsible use of technology by respecting intellectual property with both print and digital media when using and sharing the work of others.,03-05,2025-03-20T15:25:20+00:00
Cluster,1.2.3,,Knowledge Constructor,03-05,2025-03-20T15:25:20+00:00
Standard,1.2.3.1,T.3-5.11,Create original work through the use of age-appropriate technology and digital resources and tools.,03-05,2025-03-20T15:25:20+00:00
Standard,1.2.3.2,T.3-5.12,"Demonstrate creativity and learning through technology (e.g., digital storytelling, portfolio creation, digital media displays, etc.).",03-05,2025-03-20T15:25:20+00:00
Cluster,1.2.4,,Innovative Designer,03-05,2025-03-20T15:25:20+00:00
Standard,1.2.4.1,T.3-5.13,"With support and guidance, select appropriate technology tools to solve problems and communicate information.",03-05,2025-03-20T15:25:20+00:00
Standard,1.2.4.2,T.3-5.14,"With support and guidance, create a product using a step-by-step process through the use of age-appropriate digital and non-digital resources.",03-05,2025-03-20T15:25:20+00:00
Standard,1.2.4.3,T.3-5.15,Use appropriate technology to transfer learning to a variety of tools or learning environments.,03-05,2025-03-20T15:25:20+00:00
Cluster,1.2.5,,Computational Thinker,03-05,2025-03-20T15:25:20+00:00
Standard,1.2.5.1,T.3-5.16,Research information on topics of interest through the use of age-appropriate technology and digital resources provided by the classroom teacher.,03-05,2025-03-20T15:25:20+00:00
Standard,1.2.5.2,T.3-5.17,"With support and guidance, deepen learning across content areas through the use of age-appropriate technology and digital resources.",03-05,2025-03-20T15:25:20+00:00
