Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Domain,1,,Goal Areas and Skill Sets,KG-12,2025-05-16T18:07:49+00:00
Domain,1.1,,Language,KG-12,2025-04-08T17:48:52+00:00
Skill Set,1.1.1,,"**Interpersonal Communication** Interpersonal Communication refers to communication between a minimum of two individuals and involves an exchange of information. Interpersonal communication may be oral or written, and participants utilize the language to negotiate meaning.",KG-12,2025-04-08T17:48:52+00:00
Skill Set,1.1.2,,"**Presentational Speaking** Presentational Speaking is one-way verbal communication. Learners use the target language to present information, concepts and ideas in order to inform, explain, persuade, and narrate. More advanced learners are able to adapt the language to various audiences.",KG-12,2025-04-08T17:48:52+00:00
Skill Set,1.1.3,,"**Presentational Writing** Presentational Writing is one-way written communication. Learners use the target language to present information, concepts, and ideas in order to inform, explain, persuade, and narrate. More advanced learners are able to adapt the language to various audiences.",KG-12,2025-04-08T17:48:52+00:00
Skill Set,1.1.4,,**Interpretive Listening** Interpretive Listening is analyzing and interpreting another person’s spoken words. Learners use these words to determine the main idea and context of a spoken passage.,KG-12,2025-04-08T17:48:52+00:00
Skill Set,1.1.5,,**Interpretive Reading** Interpretive Reading is analyzing and interpreting written text. Learners use these words to determine the main idea and context of a written passage.,KG-12,2025-04-08T17:48:52+00:00
Domain,1.2,,Interculturality,KG-12,2025-04-08T17:48:52+00:00
Skill Set,1.2.1,,"**Investigation of Products and Practices** Investigation of Products and Practices involves the study of common products that are produced by and representative of the target culture(s). In addition, it encompasses common traditions and behaviors that are typical of the target culture(s).",KG-12,2025-04-08T17:48:52+00:00
Skill Set,1.2.2,,"**Understanding of Cultural Perspectives** Understanding of Cultural Perspectives is the insight into the values, norms, and thoughts that are representative of the target culture(s). These perspectives are typically shaped by the society in which the individual lives.",KG-12,2025-04-08T17:48:52+00:00
Skill Set,1.2.3,,**Participate in Cultural Interaction** Participate in Cultural Interaction is the process in which the learner is able to conduct himself appropriately in interactions with those from the target culture. The learner will recognize cultural differences and will avoid behaviors that are unacceptable by and to individuals from the target culture.,KG-12,2025-04-08T17:48:52+00:00
Domain,2,,Standard Areas and Indicators,KG-12,2025-05-16T18:08:06+00:00
Content Area,2.1,,Modern Languages,KG-12,2025-04-08T17:48:52+00:00
Proficiency,2.1.1,,Exploration,KG-12,2025-04-08T17:48:52+00:00
Indicator,2.1.1.1,,**Interpersonal Communication** Communicate on familiar topics using a variety of words and phrases that have been practiced and memorized.,KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.1.1,WL.EX.1,Greet peers.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.1.1.1,WL.EX.1.a,Say hello and goodbye.,KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.1.2,WL.EX.2,Introduce self to another individual.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.1.2.1,WL.EX.2.a,Give name.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.1.2.2,WL.EX.2.b,Give age.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.1.2.3,WL.EX.2.c,Give location.,KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.1.3,WL.EX.3,Answer a few simple questions.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.1.3.1,WL.EX.3.a,Respond to yes/no questions.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.1.3.2,WL.EX.3.b,Answer either/or questions.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.1.3.3,WL.EX.3.c,"Respond to who, what, when, and where questions.",KG-12,2025-04-08T17:48:52+00:00
Indicator,2.1.1.2,,**Presentational Speaking** Present information about self and other very familiar topics using words or memorized phrases.,KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.2.1,WL.EX.4,Recite previously learned words and phrases.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.1.1,WL.EX.4.a,Count from 1-30.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.1.2,WL.EX.4.b,Say the date and day of the week.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.1.3,WL.EX.4.c,List the months.,KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.2.2,WL.EX.5,"State the names of familiar people, places, and objects in pictures using words or memorized phrases.",KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.2.1,WL.EX.5.a,Name famous landmarks and people.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.2.2,WL.EX.5.b,Name countries on a map.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.2.3,WL.EX.5.c,List items seen every day.,KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.2.3,WL.EX.6,Introduce self to a group.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.3.1,WL.EX.6.a,"State name, age, and location.",KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.3.2,WL.EX.6.b,"Give phone number, home address, and e-mail address.",KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.2.4,WL.EX.7,"Recite short memorized phrases, parts of poems and rhymes.",KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.4.1,WL.EX.7.a,Sing a short song.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.4.2,WL.EX.7.b,Recite a nursery rhyme.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.2.4.3,WL.EX.7.c,Recite a simple poem.,KG-12,2025-04-08T17:48:52+00:00
Indicator,2.1.1.3,,"**Presentational Writing** Copy familiar words, characters, or phrases.",KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.3.1,WL.EX.8,"Copy letters and words from the wall or board, in a book, or on the computer.",KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.3.1.1,WL.EX.8.a,Copy the letters of the alphabet.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.3.1.2,WL.EX.8.b,"Copy a simple phrase like “Happy Birthday,” “Happy Holidays,” etc.",KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.3.2,WL.EX.9,Write previously learned words and phrases.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.3.2.1,WL.EX.9.a,"Write name, home address, and e-mail address.",KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.3.2.2,WL.EX.9.b,Write numbers such as a phone number.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.3.2.3,WL.EX.9.c,Write the date and the day of the week.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.3.2.4,WL.EX.9.d,Write the months.,KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.3.3,WL.EX.10,"List familiar people, places, and objects in pictures and posters.",KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.3.3.1,WL.EX.10.a,Label famous landmarks and people.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.3.3.2,WL.EX.10.b,Write the names of countries on a map.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.3.3.3,WL.EX.10.c,List items seen every day.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.3.3.4,WL.EX.10.d,Label items in a room.,KG-12,2025-04-08T17:48:52+00:00
Indicator,2.1.1.4,,**Interpretive Listening** Recognize memorized words and phrases when they are spoken,KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.4.1,WL.EX.11,Identify the sound of a letter or a word.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.4.1.1,WL.EX.11.a,Recognize the sounds of letters when they are spoken or spelled out.,KG-12,2025-04-08T17:48:52+00:00
Standard Group,2.1.1.4.2,WL.EX.12,"Understand isolated words that have been memorized, particularly when accompanied by gesture or pictures.",KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.4.2.1,WL.EX.12.a,Understand greetings.,KG-12,2025-04-08T17:48:52+00:00
Standard,2.1.1.4.2.2,WL.EX.12.b,Recognize color words.,KG-12,2025-04-08T17:48:52+00:00
