Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,WCCTS.e,Grades PK-5,PK-5,2023-03-09T23:03:07+00:00
Content Area,1.1,WCCTS.e.4C,"Creativity, Critical Thinking, Communication and Collaboration",,2023-06-26T16:39:14+00:00
Standard,1.1.1,WCCTS.e.4C.1,Students will think and work creatively to develop innovative solutions to problems and opportunities.,,2023-06-26T16:42:39+00:00
Learning Priority,1.1.1.1,WCCTS.e.4C.1.a,"Develop original solutions, products and services to meet a given need.",,2023-06-26T16:43:42+00:00
Performance Indicator,1.1.1.1.1,WCCTS.e.4C.1.a.1,Recognize that there can be multiple ways to solve a problem.,,2023-06-26T17:06:04+00:00
Performance Indicator,1.1.1.1.2,WCCTS.e.4C.1.a.2,Explain how human needs and desires drive innovation.,,2023-06-26T17:05:43+00:00
Performance Indicator,1.1.1.1.3,WCCTS.e.4C.1.a.3,Explain how a solution to one problem may or may not work for a related problem or situation.,,2023-06-26T17:05:21+00:00
Learning Priority,1.1.1.2,WCCTS.e.4C.1.b,"Work creatively with others to develop solutions, products and services.",,2023-06-26T16:45:33+00:00
Performance Indicator,1.1.1.2.1,WCCTS.e.4C.1.b.1,Recognize that an individual’s background and experiences influence their perspective of problems and solutions.,,2023-06-26T17:08:21+00:00
Performance Indicator,1.1.1.2.2,WCCTS.e.4C.1.b.2,Participate with a group to develop new ideas.,,2023-06-26T17:08:00+00:00
Performance Indicator,1.1.1.2.3,WCCTS.e.4C.1.b.3,Explain the value of multiple perspectives in solving problems and recognizing opportunities.,,2023-06-26T17:07:31+00:00
Standard,1.1.2,WCCTS.e.4C.2,Students will formulate and defend judgments and decisions by employing critical thinking skills.,,2023-06-26T17:09:21+00:00
Learning Priority,1.1.2.1,WCCTS.e.4C.2.a,"Develop effective resolutions for a given problem, decision or opportunity using available information.",,2023-06-26T17:11:12+00:00
Performance Indicator,1.1.2.1.1,WCCTS.e.4C.2.a.1,Differentiate between problems and symptoms.,,2023-06-26T17:15:42+00:00
Performance Indicator,1.1.2.1.2,WCCTS.e.4C.2.a.2,"Explain problems, decisions and opportunities faced by individuals and communities.",,2023-06-26T17:15:53+00:00
Performance Indicator,1.1.2.1.3,WCCTS.e.4C.2.a.3,Explain the negative aspects of making decisions without adequate information and/or thought.,,2023-06-26T17:16:03+00:00
Performance Indicator,1.1.2.1.4,WCCTS.e.4C.2.a.4,Describe the concept of systems thinking.,,2023-06-26T17:16:15+00:00
Learning Priority,1.1.2.2,WCCTS.e.4C.2.b,Develop and implement a resolution for a new situation using personal knowledge and experience.,,2023-06-26T17:11:24+00:00
Performance Indicator,1.1.2.2.1,WCCTS.e.4C.2.b.1,Describe how past experience relates to new situations.,,2023-06-26T17:18:51+00:00
Performance Indicator,1.1.2.2.2,WCCTS.e.4C.2.b.2,Describe how knowledge learned in one class can be used in other classes and situations.,,2023-06-26T17:19:04+00:00
Standard,1.1.3,WCCTS.e.4C.3,Students will communicate and collaborate with others to accomplish tasks and develop solutions to problems and opportunities.,,2023-06-26T17:20:24+00:00
Learning Priority,1.1.3.1,WCCTS.e.4C.3.a,Communicate thoughts and feelings with others using verbal and non-verbal language.,,2023-06-26T17:23:25+00:00
Performance Indicator,1.1.3.1.1,WCCTS.e.4C.3.a.1,Discuss a shared experience with others.,,2023-06-26T17:27:24+00:00
Performance Indicator,1.1.3.1.2,WCCTS.e.4C.3.a.2,Identify a person’s emotions based on expressions and body language.,,2023-06-26T17:27:36+00:00
Performance Indicator,1.1.3.1.3,WCCTS.e.4C.3.a.3,Describe various ways people communicate with each other without using words.,,2023-06-26T17:27:46+00:00
Performance Indicator,1.1.3.1.4,WCCTS.e.4C.3.a.4,Demonstrate effective listening skills.,,2023-06-26T17:27:57+00:00
Learning Priority,1.1.3.2,WCCTS.e.4C.3.b,Work collaboratively with others.,,2023-06-26T17:23:36+00:00
Performance Indicator,1.1.3.2.1,WCCTS.e.4C.3.b.1,Describe various ways of generating ideas in a group setting.,,2023-06-26T17:31:00+00:00
Performance Indicator,1.1.3.2.2,WCCTS.e.4C.3.b.2,Complete an assignment as part of a group.,,2023-06-26T17:31:10+00:00
Performance Indicator,1.1.3.2.3,WCCTS.e.4C.3.b.3,Compare the impact of face-to-face discussion with the use of technology for communication.,,2023-06-26T17:31:20+00:00
Learning Priority,1.1.3.3,WCCTS.e.4C.3.c,Use interpersonal skills to resolve conflicts with others in an ethical manner.,,2023-06-26T17:23:48+00:00
Performance Indicator,1.1.3.3.1,WCCTS.e.4C.3.c.1,Compare and contrast ways of resolving conflicts with another person.,,2023-06-26T17:35:31+00:00
Performance Indicator,1.1.3.3.2,WCCTS.e.4C.3.c.2,Describe ways of resolving conflicts within a team or group.,,2023-06-26T17:35:41+00:00
Performance Indicator,1.1.3.3.3,WCCTS.e.4C.3.c.3,Explain ways in which an act might be considered ethical or unethical.,,2023-06-26T17:35:53+00:00
Content Area,1.2,WCCTS.e.CD,Career Development,,2023-03-09T23:12:43+00:00
Standard,1.2.1,WCCTS.e.CD.1,"Students will consider, analyze and apply an awareness of self, identity and culture to identify skills and talents.",,2023-03-09T23:08:29+00:00
