Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Domain,1,EE,Essential Elements for English Language Arts,,2023-12-04T16:06:19+00:00
Strand,1.1,EE.RF,Reading Foundational Skills - Print Concepts,,2023-12-01T17:09:03+00:00
Grade Level,1.1.1,EE.RF.K,Kindergarten,Kindergarten,2023-12-05T20:33:54+00:00
Standard,1.1.1.1,EE.RF.K.1,Demonstrate emerging understanding of the organization of print.,,2023-12-01T17:09:03+00:00
Standard,1.1.1.1.1,EE.RF.K.a,"With guidance and support during shared reading, demonstrate understanding that books are read one page at a time from beginning to end.",,2023-12-01T17:09:03+00:00
Grade Level,1.1.2,EE.RF.1,Grade 1,01,2023-12-05T20:34:15+00:00
Standard,1.1.2.1,EE.RF.1.1,Demonstrate emerging understanding of the organization of print.,,2023-12-01T17:09:03+00:00
Standard,1.1.2.1.1,EE.RF.1.a,"Demonstrate understanding of the organization and basic features of print (e.g., left-to-right, top-to- bottom orientation of print, one-to- one correspondence between written and spoken word).",,2023-12-01T17:09:03+00:00
Strand,1.2,EE.RF,Reading Foundational Skills - Phonological Awareness,,2023-12-01T17:09:03+00:00
Grade Level,1.2.1,EE.RF.K,Kindergarten,Kindergarten,2023-12-05T20:34:51+00:00
Standard,1.2.1.1,EE.RF.K.2,"Demonstrate emerging understanding of spoken words, syllables, and sounds (phonemes).",,2023-12-01T17:09:03+00:00
Standard,1.2.1.1.1,EE.RF.K.2.a,"With guidance and support, recognize rhyming words.",,2023-12-01T17:09:03+00:00
Standard,1.2.1.1.2,EE.RF.K.2.b,"With guidance and support, recognize the number of words in a spoken message.",,2023-12-01T17:09:03+00:00
Standard,1.2.1.1.3,EE.RF.K.2.c,"With guidance and support, identify syllables in spoken words.",,2023-12-01T17:09:03+00:00
Standard,1.2.1.1.4,EE.RF.K.2.d,"With guidance and support, identify single syllable spoken words with the same onset (beginning sound) as a familiar word.",,2023-12-01T17:09:03+00:00
Standard,1.2.1.1.5,EE.RF.K.2.e,"With guidance and support, recognize the number of sounds in three-phoneme (consonant-vowel- consonant, or CVC) words",,2023-12-01T17:09:03+00:00
Standard,1.2.1.1.6,EE.RF.K.2.f,"With guidance and support, recognize if words are minimal pairs",,2023-12-01T17:09:03+00:00
Grade Level,1.2.2,EE.RF.1,Grade 1,01,2023-12-05T20:35:08+00:00
Standard,1.2.2.1,EE.RF.1.2,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",,2023-12-01T17:09:03+00:00
Standard,1.2.2.1.1,EE.RF.1.2.a,Recognize rhyming words.,,2023-12-01T17:09:03+00:00
Standard,1.2.2.1.2,EE.RF.1.2.b,"With guidance and support, match orally presented segmented phonemes (e.g., C-A-T) to pictures or words illustrating the corresponding word.",,2023-12-01T17:09:03+00:00
Standard,1.2.2.1.3,EE.RF.1.2.c,Identify a single syllable spoken word with the same onset (beginning sound) as a familiar word.,,2023-12-01T17:09:03+00:00
