Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,M.EE,Essential Elements for Mathematics,,2023-12-13T22:20:22+00:00
Grade Level,1.1,M.EE.K,Kindergarten,Kindergarten,2023-12-13T22:30:33+00:00
Domain,1.1.1,M.EE.K.CC,Counting and Cardinality,,2023-12-13T22:20:22+00:00
Cluster Statement,1.1.1.1,M.EE.K.CC.A,Know number names and the count sequence.,,2023-12-13T22:20:22+00:00
Standard,1.1.1.1.1,M.EE.K.CC.A.1,"Starting with one, count to 10 by ones.",,2023-12-13T22:20:22+00:00
Cluster Statement,1.1.1.2,M.EE.K.CC.B,Tell the number of objects.,,2023-12-13T22:20:22+00:00
Standard,1.1.1.2.1,M.EE.K.CC.B.4,"Connect counting to cardinality to 10. Demonstrate one-to-one correspondence, pairing each object with one and only one number and each number with one and only one object (one-to-one correspondence). Understand that the last number name said tells the number of objects counted (cardinality).",,2023-12-13T22:20:22+00:00
Standard,1.1.1.2.2,M.EE.K.CC.B.6,"Count out up to three objects from a larger set, pairing each object with one and only one number name to tell how many.",,2023-12-13T22:20:22+00:00
Standard,1.1.1.2.3,M.EE.K.CC.B.7,Identify whether the number of objects in one group is greater than (more) or less than (when the quantities are clearly different) or equal to the number objects in another group.,,2023-12-13T22:20:22+00:00
Domain,1.1.2,M.EE.K.OA,Operations and Algebraic Thinking,,2023-12-13T22:20:22+00:00
Cluster Statement,1.1.2.1,M.EE.K.OA.A,Understand addition as putting together and adding to and understand subtraction as taking apart and taking from.,,2023-12-13T22:20:22+00:00
Standard,1.1.2.1.1,M.EE.K.OA.A.1,"Represent addition as ""putting together"" or subtraction as ""taking from"" in everyday activities (e.g., with objects, fingers, sounds, drawings, verbal explanations, or numbers).",,2023-12-13T22:20:22+00:00
Domain,1.1.3,M.EE.K.MD,Measurement and Data,,2023-12-13T22:20:22+00:00
Cluster Statement,1.1.3.1,M.EE.K.MD.A,Describe and compare measurable attributes.,,2023-12-13T22:20:22+00:00
Standard,1.1.3.1.1,M.EE.K.MD.A.1,"Classify objects according to attributes (e.g., big/small, heavy/light).",,2023-12-13T22:20:22+00:00
Standard,1.1.3.1.2,M.EE.K.MD.A.2,"Classify objects according to attributes (e.g., big/small, heavy/light).",,2023-12-13T22:20:22+00:00
Standard,1.1.3.1.3,M.EE.K.MD.A.3,"Classify objects according to attributes (e.g., big/small, heavy/light).",,2023-12-13T22:20:22+00:00
Domain,1.1.4,M.EE.K.G,Geometry,,2023-12-13T22:20:22+00:00
Cluster Statement,1.1.4.1,M.EE.K.G.A,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",,2023-12-13T22:20:22+00:00
Standard,1.1.4.1.1,M.EE.K.G.A.2,"Match shapes of the same size and orientation, including circles, squares, rectangles, and triangles.",,2023-12-13T22:20:22+00:00
Standard,1.1.4.1.2,M.EE.K.G.A.3,"Match shapes of the same size and orientation, including circles, squares, rectangles, and triangles.",,2023-12-13T22:20:22+00:00
Grade Level,1.2,M.EE.1,Grade 1,01,2023-12-13T22:31:05+00:00
Domain,1.2.1,M.EE.1.OA,Operations and Algebraic Thinking,,2023-12-13T22:20:22+00:00
Cluster Statement,1.2.1.1,M.EE.1.OA.A,Represent and solve problems involving addition and subtraction.,,2023-12-13T22:20:22+00:00
Standard,1.2.1.1.1,M.EE.1.OA.A.1,"Represent addition and subtraction e.g., by using objects, fingers, mental images, drawings, sounds (e.g., claps), or acting out situations.",,2023-12-13T22:20:22+00:00
Standard,1.2.1.1.2,M.EE.1.OA.A.2,"Use ""putting together"" to solve problems with two sets.",,2023-12-13T22:20:22+00:00
Cluster Statement,1.2.1.2,M.EE.1.OA.C,Add and subtract within 20.,,2023-12-13T22:20:22+00:00
