Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,,Health Science,,2023-10-02T17:08:06+00:00
Education Level,1.1,hs.e,Grade PK-5,PK-5,2023-11-09T18:55:39+00:00
Content Area,1.1.1,hs.e.HSF,Health Science Foundation,,2023-11-09T18:23:35+00:00
Standard,1.1.1.1,hs.e.HSF.1,Academic Foundations in Health Science: Students will apply the academic subject matter required for proficiency within their area.,,2023-11-09T18:23:35+00:00
Learning Priority,1.1.1.1.1,hs.e.HSF.1.a,Relate the knowledge of structures to the functions of the human body.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.1.1,hs.e.HSF.1.a.1,"Identify parts of the human body. (i.e., cell, tissue, organ, and system).",,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.1.2,hs.e.HSF.1.a.2,Name basic directional terms in relation to the human body.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.1.3,hs.e.HSF.1.a.3,Match individual organs to the correct body systems.,,2023-11-09T18:23:35+00:00
Learning Priority,1.1.1.1.2,hs.e.HSF.1.b,Identify diseases and disorders which affect the human body and related biomedical therapies.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.2.1,hs.e.HSF.1.b.1,Describe signs of illness.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.2.2,hs.e.HSF.1.b.2,Identify methods that promote recovery from human diseases and disorders.,,2023-11-09T18:23:35+00:00
Learning Priority,1.1.1.1.3,hs.e.HSF.1.c,Use appropriate mathematical tools as they apply to the practice of healthcare.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.3.1,hs.e.HSF.1.c.1,"Demonstrate accurate measurement of length, volume, and mass of discrete objects.",,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.3.2,hs.e.HSF.1.c.2,"Read information contained in diagrams, charts, graphs and tables.",,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.3.3,hs.e.HSF.1.c.3,Tell time using a 12- hour clock.,,2023-11-09T18:23:35+00:00
Learning Priority,1.1.1.1.4,hs.e.HSF.1.d,"Use knowledge of life stages to interact effectively with patients, clients, and residents.",,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.4.1,hs.e.HSF.1.d.1,Identify life stages throughout develop.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.4.2,hs.e.HSF.1.d.2,Identify ways in which people grow and develop.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.1.4.3,hs.e.HSF.1.d.3,Identify basic human needs.,,2023-11-09T18:23:35+00:00
Standard,1.1.1.2,hs.e.HSF.2,Communications within Healthcare Settings: Students will apply various methods of giving and obtaining health care information and communicate effectively both orally and in writing.,,2023-11-09T18:23:35+00:00
Learning Priority,1.1.1.2.1,hs.e.HSF.2.a,Apply the concepts of effective verbal and nonverbal communication in the healthcare industry.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.2.1.1,hs.e.HSF.2.a.1,Identify types of verbal and nonverbal communication used with patients.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.2.1.2,hs.e.HSF.2.a.2,"Identify barriers to communication with patients and healthcare workers (i.e. body language, interrupting).",,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.2.1.3,hs.e.HSF.2.a.3,Discuss why knowing the difference between opinions vs. factual information is important when dealing with illness.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.2.1.4,hs.e.HSF.2.a.4,Identify the sender and the receiver in communication between a doctor and a patient.,,2023-11-09T18:23:35+00:00
Performance Indicator,1.1.1.2.1.5,hs.e.HSF.2.a.5,List qualities of a good listener and speaker in healthcare scenarios.,,2023-11-09T18:23:35+00:00
